"method"	"cutoff"	"fit"	"se"	"lower"	"upper"
"seurat"	0	0.759993031444831	0.0448920607150176	0.661555151680194	0.836860319762807
"scvi"	0	0.803242216734551	0.0389019230479366	0.715899338150751	0.868659128587459
"seurat"	0.05	0.751249589470882	0.0459772060591192	0.650908730033402	0.830269688540848
"scvi"	0.05	0.767080729973288	0.043962064586086	0.670314335614929	0.842134080822871
"seurat"	0.1	0.742295631657249	0.0470525711781554	0.6401014736076	0.823474093457753
"scvi"	0.1	0.726535873500989	0.0488722636652748	0.62127533419634	0.811420987521333
"seurat"	0.15	0.733133861504427	0.0481153153030813	0.629142032598536	0.816471849409066
"scvi"	0.15	0.681860404658028	0.0533489907274391	0.569615925428425	0.77632637504683
"seurat"	0.2	0.723767585881843	0.0491625109971077	0.618039666931652	0.809261634146444
"scvi"	0.2	0.633567440889818	0.0570876917825205	0.516385463613266	0.736826431941258
"seurat"	0.25	0.714200729348503	0.0501911572437993	0.606804223538177	0.801842514161255
"scvi"	0.25	0.582433021464747	0.0598005103999104	0.462771012694493	0.693116635449515
"seurat"	0.5	0.663539444792154	0.0549479133360164	0.549012721255379	0.761611026549221
"scvi"	0.5	0.322753947396531	0.053796701849083	0.227311408645754	0.435675043822969
"seurat"	0.75	0.608816563859073	0.0587776299265549	0.489648084680737	0.716282255469164
"scvi"	0.75	0.140027928754266	0.029723597821239	0.0912161139784257	0.208954280331485
