"method"	"cutoff"	"fit"	"se"	"lower"	"upper"
"seurat"	0	0.810681201436561	0.0404510791336888	0.718654731602638	0.877727781308099
"scvi"	0	0.83827462683013	0.0357374411207687	0.755601768490519	0.896801174006516
"seurat"	0.05	0.807659632227749	0.0409293240147321	0.714717834041138	0.875592601251343
"scvi"	0.05	0.808235465745366	0.0408399440420529	0.715463438495769	0.876001860768685
"seurat"	0.1	0.804601461768032	0.0414114253993537	0.710739986816279	0.873429832184996
"scvi"	0.1	0.774120225142223	0.0460595588113942	0.671588892852003	0.851709007426342
"seurat"	0.15	0.801506617129997	0.0418973316892754	0.70672132804132	0.871239380660251
"scvi"	0.15	0.735918849070832	0.0511789741468421	0.624489898328831	0.823621239701277
"seurat"	0.2	0.798375037837169	0.042386986688724	0.702662019512607	0.869021159485305
"scvi"	0.2	0.693812164368677	0.0559344714208869	0.574901420573126	0.791522557649505
"seurat"	0.25	0.795206676201096	0.0428803294733783	0.69856224722774	0.866775087832429
"scvi"	0.25	0.648201176149031	0.0600363937209704	0.523747941694983	0.755325483903992
"seurat"	0.5	0.778812400702065	0.0453998809311743	0.677464694762555	0.855124601880901
"scvi"	0.5	0.395760153266173	0.0630063350472901	0.280973809547756	0.523310738431437
"seurat"	0.75	0.761499338800224	0.0479995552222734	0.655398177231498	0.842769564987761
"scvi"	0.75	0.188854994554019	0.0404742761522905	0.121812091601462	0.280990498671278
