label	key	method	cutoff	reference	subsample_ref	f1_score_mean	f1_score_std	n_queries	precision_mean	precision_std	recall_mean	recall_std
Astrocyte	class	scvi_knn	0.0	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	50.0	0.9043816677210289	0.18938679960180574	64	0.9211287603515776	0.1563518233606532	0.9102401706104782	0.1963962814697442
Astrocyte	class	scvi_knn	0.0	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	100.0	0.8548409770700094	0.2031616725225602	64	0.8259395712237375	0.2022324523901066	0.9221284680178353	0.19176595706964633
Astrocyte	class	scvi_knn	0.0	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	500.0	0.8733792901579549	0.1988744657516	64	0.8579896921486189	0.19094549793396842	0.9198963251606924	0.19167655299137473
Astrocyte	class	scvi_knn	0.0	Single-cell RNA-seq for all cortical  hippocampal regions 10x	50.0	0.8869724909572498	0.1839981096057871	64	0.9411493890485487	0.1412029024111882	0.8609561873052344	0.20036837143529102
Astrocyte	class	scvi_knn	0.0	Single-cell RNA-seq for all cortical  hippocampal regions 10x	100.0	0.897456384429683	0.183378585865665	64	0.9232280467224444	0.15175513340677083	0.8988196731351723	0.19582986540083414
Astrocyte	class	scvi_knn	0.0	Single-cell RNA-seq for all cortical  hippocampal regions 10x	500.0	0.9127729142582182	0.18231008273043323	64	0.9399556783549854	0.13904641527320025	0.9098058224025716	0.19609346126450142
Astrocyte	class	scvi_knn	0.0	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	50.0	0.7364579922200474	0.2513534952759159	64	0.9968703427719822	0.01715953709246424	0.6375969292414242	0.278914996171025
Astrocyte	class	scvi_knn	0.0	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	100.0	0.8124964232140643	0.20832985758317157	64	0.9972930295510941	0.015001259976881629	0.7257336210884489	0.2375781914625329
Astrocyte	class	scvi_knn	0.0	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	500.0	0.8391941541205441	0.1946116204886022	64	0.9974152191894128	0.0142847944572012	0.7602522988975678	0.2222406128681535
Astrocyte	class	scvi_knn	0.0	whole cortex	50.0	0.8965433616725242	0.1828755457468823	64	0.9294816810296687	0.14872183240618314	0.8907393589221666	0.19674137695129482
