"method"	"cutoff"	"fit"	"SE"	"df"	"lower"	"upper"	"key"
"seurat"	0	0.889059916670922	0.0607549079258161	Inf	0.705554271045037	0.964030783119723	"class"
"scvi"	0	0.924116493664562	0.0431953290245326	Inf	0.784544873845286	0.976035524972753	"class"
"seurat"	0.05	0.885430132954358	0.0624863688114682	Inf	0.697960956438277	0.96275103090465	"class"
"scvi"	0.05	0.91297268642339	0.0489412042735468	Inf	0.758266701305834	0.972287494541655	"class"
"seurat"	0.1	0.881697391348879	0.0642500538379761	Inf	0.690257606001146	0.961427599616985	"class"
"scvi"	0.1	0.900368801424053	0.0552555557843507	Inf	0.729886820495584	0.967972531397303	"class"
"seurat"	0.15	0.877859811269866	0.066045421574424	Inf	0.682446989712534	0.960059130998128	"class"
"scvi"	0.15	0.886167131674387	0.0621359010401113	Inf	0.699495371253487	0.963011293677939	"class"
"seurat"	0.2	0.873915546915739	0.0678718390024298	Inf	0.674532098565551	0.958644234057744	"class"
"scvi"	0.2	0.870232883190148	0.0695598775214744	Inf	0.66724324400669	0.957315450419691	"class"
"seurat"	0.25	0.869862792792442	0.069728577412809	Inf	0.666516143222089	0.957181484989193	"class"
"scvi"	0.25	0.852439576013086	0.0774803898433239	Inf	0.633343869149713	0.950787366906611	"class"
"seurat"	0.5	0.847912050323892	0.0794343863511159	Inf	0.625047796049207	0.949097830409102	"class"
"scvi"	0.5	0.732646266865527	0.120653769532931	Inf	0.450366327019702	0.901621404797425	"class"
"seurat"	0.75	0.823012129521353	0.0897273170595413	Inf	0.581654251713758	0.939585604062094	"class"
"scvi"	0.75	0.565205573145949	0.151376718795525	Inf	0.279893851437673	0.81299970435039	"class"
"seurat"	0	0.940888018692056	0.0366055294753618	Inf	0.81418187320354	0.982999495778137	"family"
"scvi"	0	0.959781072281353	0.0254060081990829	Inf	0.867885499008652	0.988596254479473	"family"
"seurat"	0.05	0.937167457527876	0.0387554155569916	Inf	0.804147626166185	0.981878277970963	"family"
"scvi"	0.05	0.951196931320022	0.0305526043760424	Inf	0.842899295650616	0.986072923124926	"family"
"seurat"	0.1	0.93322933930082	0.0410111936987391	Inf	0.793708592195847	0.980684592553961	"family"
"scvi"	0.1	0.940893461724462	0.0366019281429918	Inf	0.814199038236222	0.983000870684985	"family"
"seurat"	0.15	0.929063077019224	0.0433754655558159	Inf	0.782863160387475	0.979413954750198	"family"
"scvi"	0.15	0.928578024396363	0.0436491707312737	Inf	0.781613847922239	0.979265455518069	"family"
"seurat"	0.2	0.924657841463053	0.0458505372612995	Inf	0.771611374802902	0.978061629073295	"family"
"scvi"	0.2	0.91393127301305	0.0517705556349584	Inf	0.745102797060587	0.97473034612436	"family"
"seurat"	0.25	0.920002593243506	0.0484383617805873	Inf	0.759955062924184	0.976622618972804	"family"
"scvi"	0.25	0.8966152789889	0.0610077487456304	Inf	0.704792818483665	0.969234507667974	"family"
"seurat"	0.5	0.892580410615366	0.0631041779039819	Inf	0.695808417693014	0.967932876728484	"family"
"scvi"	0.5	0.759140279327453	0.120339459136103	Inf	0.464567151978913	0.919673057307462	"family"
"seurat"	0.75	0.857217087728457	0.0805579966594056	Inf	0.623015157704843	0.956159461155877	"family"
"scvi"	0.75	0.533891474227154	0.163784127190529	Inf	0.239723377808323	0.806237449827627	"family"
"seurat"	0	0.972643206564464	0.00924158402570525	Inf	0.947365893784884	0.985961085340194	"global"
"scvi"	0	0.98008759785743	0.00677801566472456	Inf	0.961416731072001	0.989819103813105	"global"
"seurat"	0.05	0.970527384208542	0.00993440432111875	Inf	0.943409857118641	0.984858969262148	"global"
"scvi"	0.05	0.974599943885972	0.00859732433353042	Inf	0.951041475079633	0.986977482042342	"global"
"seurat"	0.1	0.96825326164205	0.0106756146305015	Inf	0.939175412756146	0.983671809540361	"global"
"scvi"	0.1	0.967649867151171	0.0108714173797289	Inf	0.938055886849972	0.983356098252758	"global"
"seurat"	0.15	0.965809848199637	0.011468026347031	Inf	0.93464590004814	0.982393280334792	"global"
"scvi"	0.15	0.958878319041741	0.0136935862049686	Inf	0.921908703001413	0.978749385077461	"global"
"seurat"	0.2	0.963185525764591	0.012314521896555	Inf	0.929804111841781	0.98101662331918	"global"
"scvi"	0.2	0.947856578830044	0.0171639543064006	Inf	0.901991957086783	0.972902813882199	"global"
"seurat"	0.25	0.960368034906778	0.0132180398004287	Inf	0.924632349893975	0.979534624299925	"global"
"scvi"	0.25	0.934083785279348	0.0213819359279436	Inf	0.877669357989726	0.965504469922541	"global"
"seurat"	0.5	0.942908216860226	0.018695065647815	Inf	0.893180279042517	0.970257127968301	"global"
"scvi"	0.5	0.803144416774955	0.0549034458052478	Inf	0.67380417787304	0.8896024445	"global"
"seurat"	0.75	0.918409976759133	0.0260256725376957	Inf	0.850713042544791	0.956961548243911	"global"
"scvi"	0.75	0.540150030087709	0.0862605974925488	Inf	0.372919353819159	0.698803406953069	"global"
"seurat"	0	0.869159042983603	0.066593959522327	Inf	0.678265689594828	0.954404311122043	"subclass"
"scvi"	0	0.904899564064535	0.050393607278845	Inf	0.751225307524455	0.967723994630285	"subclass"
"seurat"	0.05	0.865189094734693	0.0683009286319831	Inf	0.670698926020061	0.952880478649606	"subclass"
"scvi"	0.05	0.892489342387966	0.0561882755803316	Inf	0.724859486588118	0.963178373723969	"subclass"
"seurat"	0.1	0.861117938603482	0.0700322913577223	Inf	0.663042419701191	0.95130835685316	"subclass"
"scvi"	0.1	0.878676767217913	0.062425658257201	Inf	0.696826895626372	0.958020367032709	"subclass"
"seurat"	0.15	0.85694416606552	0.0717871925615828	Inf	0.655299191575946	0.949686592545275	"subclass"
"scvi"	0.15	0.863361289804626	0.0690805020932923	Inf	0.667249153853725	0.952175731686287	"subclass"
"seurat"	0.2	0.852666421672697	0.0735646910935951	Inf	0.647472435756878	0.948013806535855	"subclass"
"scvi"	0.2	0.846450293050031	0.0761095294472547	Inf	0.636291766496908	0.945563649267013	"subclass"
"seurat"	0.25	0.848283408195304	0.0753637573458383	Inf	0.639565516110227	0.946288593973374	"subclass"
"scvi"	0.25	0.827863614840168	0.0834487365039282	Inf	0.604162680168918	0.938096869745115	"subclass"
"seurat"	0.5	0.824748652286536	0.0846401092440864	Inf	0.598957503918123	0.936825226139063	"subclass"
"scvi"	0.5	0.708525235247999	0.120933689897419	Inf	0.435487579058929	0.884521310613952	"subclass"
"seurat"	0.75	0.798430611742858	0.0942470697357326	Inf	0.556938486433771	0.925826684174074	"subclass"
"scvi"	0.75	0.551294694382734	0.144859094488072	Inf	0.280526621012714	0.794726897245617	"subclass"
