metric	method	key	n	mean	std	median	q25	q75
label_f1	scvi_knn	class	29472	0.6462211579590158	0.38142941290988397	0.8444444444444444	0.25	0.9523809523809524
label_f1	scvi_knn	family	33984	0.8259391057305199	0.25296889988925736	0.9230769230769232	0.8	0.989010989010989
label_f1	scvi_knn	global	14544	0.7683022319033703	0.2659416392465116	0.9090909090909092	0.6	0.9696969696969696
label_f1	scvi_knn	subclass	30096	0.649742046445162	0.38032327497829577	0.8461538461538461	0.2666666666666666	0.9565217391304348
label_f1	scvi_rf	class	29472	0.5254459898075801	0.3961092858384424	0.6363636363636364	0.0	0.912280701754386
label_f1	scvi_rf	family	33984	0.6885145210922646	0.3501734115769728	0.8571428571428571	0.4827586206896552	0.9655172413793104
label_f1	scvi_rf	global	14544	0.6511491291093698	0.33434456356530284	0.7894736842105263	0.4	0.9418604651162792
label_f1	scvi_rf	subclass	30096	0.5257694082691474	0.3936059771445492	0.6363636363636364	0.0	0.9090909090909092
label_f1	seurat	class	29472	0.6552222364706586	0.386103163585939	0.8571428571428571	0.2666666666666666	0.9714285714285714
label_f1	seurat	family	33984	0.8024070075429541	0.3024367196187891	0.9411764705882352	0.7777777777777778	1.0
label_f1	seurat	global	14544	0.7431529073803309	0.31959473105717606	0.9078014184397164	0.544	0.9888888888888888
label_f1	seurat	subclass	30096	0.6612806737907367	0.3889760502462703	0.8571428571428571	0.2666666666666666	0.981132075471698
