method	reference	cutoff	subsample_ref	score_inner	held_out_study
scvi	Dissection Angular gyrus AnG	0.0	50	0.9290577523604692	CMC
scvi	Dissection Angular gyrus AnG	0.0	100	0.9329713413276072	CMC
scvi	Dissection Angular gyrus AnG	0.0	500	0.9376888992445912	CMC
scvi	Dissection Angular gyrus AnG	0.05	50	0.9290577523604692	CMC
scvi	Dissection Angular gyrus AnG	0.05	100	0.9329713413276072	CMC
scvi	Dissection Angular gyrus AnG	0.05	500	0.9376888992445912	CMC
scvi	Dissection Angular gyrus AnG	0.1	50	0.9290577523604692	CMC
scvi	Dissection Angular gyrus AnG	0.1	100	0.9329713413276072	CMC
scvi	Dissection Angular gyrus AnG	0.1	500	0.9376888992445912	CMC
scvi	Dissection Angular gyrus AnG	0.15	50	0.9291587174717615	CMC
scvi	Dissection Angular gyrus AnG	0.15	100	0.9322728423696559	CMC
scvi	Dissection Angular gyrus AnG	0.15	500	0.936861534360678	CMC
scvi	Dissection Angular gyrus AnG	0.2	50	0.9259751836461498	CMC
scvi	Dissection Angular gyrus AnG	0.2	100	0.9309167207222383	CMC
scvi	Dissection Angular gyrus AnG	0.2	500	0.9351334841863873	CMC
scvi	Dissection Angular gyrus AnG	0.25	50	0.9241033985864353	CMC
scvi	Dissection Angular gyrus AnG	0.25	100	0.9267103576225961	CMC
scvi	Dissection Angular gyrus AnG	0.25	500	0.9438699891976121	CMC
scvi	Dissection Angular gyrus AnG	0.5	50	0.8569625064666868	CMC
scvi	Dissection Angular gyrus AnG	0.5	100	0.8646088157171385	CMC
scvi	Dissection Angular gyrus AnG	0.75	50	0.6075250082350472	CMC
scvi	Dissection Angular gyrus AnG	0.75	100	0.6527448703729427	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.0	50	0.9328538478482047	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.0	100	0.9289181659589743	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.0	500	0.9391958760189366	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.05	50	0.9328538478482047	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.05	100	0.9289181659589743	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.05	500	0.9391958760189366	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.1	50	0.9328538478482047	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.1	100	0.9289181659589743	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.1	500	0.9391958760189366	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.15	50	0.9327893643419533	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.15	100	0.9290509923582775	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.15	500	0.939197019616751	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.2	50	0.931771159054995	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.2	100	0.9280863887941789	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.2	500	0.9378171804550026	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.25	50	0.9257755629001847	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.25	100	0.9247239310504825	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.25	500	0.9434391410147764	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.5	50	0.8392288598419341	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.5	100	0.8492761283889945	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.75	50	0.5639727240676388	CMC
scvi	Dissection Anterior cingulate cortex ACC	0.75	100	0.6255762072772243	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.0	50	0.9028005420688974	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.0	100	0.899371101309283	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.0	500	0.8654862899524032	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.05	50	0.9028005420688974	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.05	100	0.899371101309283	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.05	500	0.8654862899524032	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.1	50	0.9028005420688974	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.1	100	0.899371101309283	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.1	500	0.8654862899524032	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.15	50	0.9028629064024633	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.15	100	0.8994253182750143	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.15	500	0.8654905295357366	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.2	50	0.8976511506828379	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.2	100	0.8963168702806424	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.2	500	0.8642426410478754	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.25	50	0.8809148238141941	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.25	100	0.8822507766107438	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.25	500	0.8592698747094297	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.5	50	0.7068533481684683	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.5	100	0.7053694863849944	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.75	50	0.31064742248824073	CMC
scvi	Dissection Dorsolateral prefrontal cortex DFC	0.75	100	0.3512212248691759	CMC
scvi	Dissection Primary auditory cortexA1	0.0	50	0.9272146654747672	CMC
scvi	Dissection Primary auditory cortexA1	0.0	100	0.9331300714929701	CMC
scvi	Dissection Primary auditory cortexA1	0.0	500	0.9333590215066547	CMC
scvi	Dissection Primary auditory cortexA1	0.05	50	0.9272146654747672	CMC
scvi	Dissection Primary auditory cortexA1	0.05	100	0.9331300714929701	CMC
scvi	Dissection Primary auditory cortexA1	0.05	500	0.9333590215066548	CMC
