"method"	"cutoff"	"fit"	"se"	"lower"	"upper"
"seurat"	0	0.612559243050552	0.0522224865410983	0.506696183899524	0.708762020156752
"scvi"	0	0.550112965273786	0.0544643051205673	0.442697534971056	0.6530505868238
"seurat"	0.05	0.601308643740607	0.0527398387635236	0.494931004025867	0.698911153342388
"scvi"	0.05	0.495075033023233	0.0549966259891497	0.389139347639536	0.601454773293892
"seurat"	0.1	0.589950039682492	0.0532083376077082	0.483165786526448	0.688878201901453
"scvi"	0.1	0.440156202712719	0.0542032676608966	0.338122280388497	0.547510464114727
"seurat"	0.15	0.578494671727332	0.0536260802029545	0.471413562579576	0.678669574803745
"scvi"	0.15	0.386664245049202	0.0521590571979519	0.290605128084506	0.492434417668456
"seurat"	0.2	0.566954189825494	0.0539913487934046	0.45968731922917	0.668292294126944
"scvi"	0.2	0.335774161589142	0.0490499116033489	0.247265024633606	0.43754923717767
"seurat"	0.25	0.555340608144009	0.0543026256826679	0.447999942036487	0.657753985690305
"scvi"	0.25	0.288432118888331	0.0451382796983022	0.208483653929958	0.384159017739115
"seurat"	0.5	0.496615902527084	0.0550115557464562	0.390582960535739	0.602954113661177
"scvi"	0.5	0.118454339700094	0.0229938125437975	0.0802648009597373	0.171427508746285
"seurat"	0.75	0.437984415923023	0.0542760784464047	0.335918870947483	0.545583615087438
"scvi"	0.75	0.0426440539318614	0.00901722996022678	0.0280800897316245	0.0642622916152342
