"method"	"cutoff"	"fit"	"se"	"lower"	"upper"
"seurat"	0	0.969810204476658	0.00583447311570188	0.956016957997896	0.979371174869581
"scvi"	0	0.958963440464791	0.00784232427852306	0.940517567299554	0.971860277745596
"seurat"	0.05	0.967145266933022	0.00632450550990659	0.952215653724559	0.977520431237029
"scvi"	0.05	0.94679840975324	0.0100245491060979	0.923359086403465	0.963353717913306
"seurat"	0.1	0.964253758678974	0.00685391468672184	0.948099301745133	0.975509909146146
"scvi"	0.1	0.931285537378141	0.0127207569112017	0.90176089416983	0.952405216651479
"seurat"	0.15	0.961118002779831	0.00742541478254889	0.943644621260332	0.97332677838056
"scvi"	0.15	0.911671310713006	0.0159922721932465	0.874891958115049	0.938399536785959
"seurat"	0.2	0.957719231606065	0.00804181079698078	0.938827158734539	0.970957335025342
"scvi"	0.2	0.88713681502975	0.0198696675856161	0.841951426767542	0.920621822764934
"seurat"	0.25	0.954037573096539	0.00870598063380232	0.933621335165174	0.968386968922747
"scvi"	0.25	0.856857526612007	0.0243272080669398	0.802284870386941	0.898277079712906
"seurat"	0.5	0.930614110864835	0.012845800008547	0.900804555523031	0.9519434020209
"scvi"	0.5	0.605270041589835	0.047408411744645	0.509625580800659	0.693479825409517
"seurat"	0.75	0.896547950760726	0.018593072684977	0.854020339376672	0.927734544635152
"scvi"	0.75	0.282015579776549	0.0404042489213149	0.209882092775465	0.367412156848411
