process	method	step	subsample_ref	mean_duration	sd_duration	mean_realtime	sd_realtime	mean_memory	sd_memory	count
MAP_QUERY	scVI	Query Processing	50	0.021595964360587	0.007321423177783568	0.004366247379454927	0.001690841097755542	0.0204016804245283	0.0014436932985990446	3710
MAP_QUERY	scVI	Query Processing	100	0.021595964360587	0.007321299808308573	0.004366247379454927	0.0016908126062760214	0.0204016804245283	0.0014436689716779015	4240
MAP_QUERY	scVI	Query Processing	500	0.021595964360587	0.007321587680118704	0.004366247379454927	0.00169087908863548	0.0204016804245283	0.001443725736406978	3180
PREDICT_SEURAT	Seurat	Prediction	50	0.018075817610062894	0.003980716018199239	0.003603045073375262	0.001905720440513273	0.019106721698113206	0.01672438100544906	37100
PREDICT_SEURAT	Seurat	Prediction	100	0.01900156184486373	0.005043982693801366	0.004076619496855346	0.0020819132669446343	0.017013266509433963	0.014962087577139965	42400
PREDICT_SEURAT	Seurat	Prediction	500	0.028244245283018866	0.006922722695964919	0.006530733752620545	0.0030181324054682716	0.020107090212264152	0.015463204898077789	31800
QUERY_PROCESS_SEURAT	Seurat	Query Processing	50	0.021059224318658278	0.006755017813009596	0.005783280922431866	0.002536768294316554	0.02993458873820755	0.019319919722812485	3710
QUERY_PROCESS_SEURAT	Seurat	Query Processing	100	0.021059224318658278	0.006754903987735338	0.005783280922431866	0.0025367255485600182	0.02993458873820755	0.019319594172943936	4240
QUERY_PROCESS_SEURAT	Seurat	Query Processing	500	0.021059224318658278	0.00675516958899319	0.005783280922431866	0.0025368252920201398	0.02993458873820755	0.01932035381490522	3180
REF_PROCESS_SEURAT	Seurat	Ref Processing	50	0.026688888888888887	0.010090588301330748	0.011863888888888889	0.006035304505503069	0.0300390625	0.019919192672061783	70
REF_PROCESS_SEURAT	Seurat	Ref Processing	100	0.041527777777777775	0.02187179753532298	0.026083333333333333	0.018796186018581854	0.036083984375	0.017325131418125247	80
REF_PROCESS_SEURAT	Seurat	Ref Processing	500	0.11199999999999999	0.055301178459261156	0.06855555555555555	0.05627897175361945	0.03248046875	0.015079540850524781	60
RF_PREDICT	scVI	Prediction	50	0.01763038259958071	0.004256315584032239	0.002650817610062893	0.0014878063683821088	0.013181935436320754	0.0014831425253039937	37100
RF_PREDICT	scVI	Prediction	100	0.018397264150943393	0.0035591070010865095	0.002552814465408805	0.0011825028284524793	0.013209371314858491	0.0012368949491482646	42400
RF_PREDICT	scVI	Prediction	500	0.018843427672955975	0.004520084447212843	0.0032865251572327045	0.0013836690677214907	0.013074292452830188	9.95023707222449e-4	31800
