"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"female False / femaleemale False"	1.74844179175183	1.64050847745966	Inf	1	0.59548495484702	0.975804450861899
"female False / male False"	0.994773601286446	0.00436689326220211	Inf	1	-1.19369009569154	0.755070675120455
"female False / maleale False"	1.6093500872789	1.5099969394142	Inf	1	0.507138601421658	0.986693655959451
"female False / None False"	1.34568055714599	0.779372004075941	Inf	1	0.512633745921307	0.986143077990783
"femaleemale False / male False"	0.568948652439694	0.533824550633909	Inf	1	-0.601072352306982	0.974959678082724
"femaleemale False / maleale False"	0.920448192711312	0.00535264053172786	Inf	1	-14.254674666705	0
"femaleemale False / None False"	0.769645614451774	0.803528848341297	Inf	1	-0.250784460182834	0.999129696761212
"male False / maleale False"	1.61780538325271	1.51792384447831	Inf	1	0.512725651257373	0.986133736254477
"male False / None False"	1.35275057098998	0.783457619847069	Inf	1	0.521687478196625	0.985201456053963
"maleale False / None False"	0.836163969407852	0.872972817795778	Inf	1	-0.171385953201203	0.999807185590038
