"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Primary auditory cortexA1 seurat"	0.488470309249247	0.00659475755887858	Inf	1	-53.0690533752064	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Primary somatosensory cortex S1 seurat"	0.483855587771008	0.00653907713785852	Inf	1	-53.7176803052834	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Primary visual cortexV1 seurat"	0.512640000473711	0.00691626993919402	Inf	1	-49.526194532315	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / (Human Multiple Cortical Areas SMART-seq seurat)"	0.958735899393337	0.0127801921070026	Inf	1	-3.16120284174654	0.154909852319087
"Dissection Dorsolateral prefrontal cortex DFC seurat / whole cortex seurat"	0.547833162251134	0.00738217457774626	Inf	1	-44.6585887321334	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat)"	0.521167738743398	0.00564644857816386	Inf	1	-60.1504334434444	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat)"	0.49207560572879	0.00665308848542272	Inf	1	-52.4481349291089	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Angular gyrus AnG scvi"	0.479539281620727	0.00654335938363749	Inf	1	-53.8603380144233	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Anterior cingulate cortex ACC scvi"	0.558238342139242	0.00754129469932602	Inf	1	-43.1538366461354	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Dorsolateral prefrontal cortex DFC scvi"	1.32690501561936	0.0143992077963354	Inf	1	26.0649053492511	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Primary auditory cortexA1 scvi"	0.460870861358942	0.00628776423223591	Inf	1	-56.7781796062917	0
