metric	stat	class	family	global	subclass
f1_score	mean	0.9483339254134936	0.9911021239672706	0.9960501482596887	0.9155526481014613
f1_score	std	0.1549306449194355	0.06531958750072399	0.03808752332541137	0.2246583862474521
precision	mean	0.9712453288881248	0.9941775958346549	0.9959713158770941	0.9695425139465962
precision	std	0.11368682865534231	0.050311738114768745	0.03995330155613683	0.12209612182443595
recall	mean	0.9495137769622487	0.9914210090696775	0.996369365621837	0.9157083733029839
recall	std	0.16357512082462042	0.0681782036342913	0.037281524178455025	0.2328818147865637
