"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Angular gyrus AnG seurat"	0.606794278217099	0.00794386088755993	Inf	1	-38.1594627114355	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Anterior cingulate cortex ACC seurat"	0.657195784573813	0.0084415338898245	Inf	1	-32.6804644129331	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Primary auditory cortexA1 seurat"	0.604104272089085	0.00790874319520944	Inf	1	-38.4983626807466	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Primary somatosensory cortex S1 seurat"	0.595903467328115	0.00781852187280871	Inf	1	-39.4557029457078	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Primary visual cortexV1 seurat"	0.630414367521503	0.00824410053397028	Inf	1	-35.2809002114591	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / (Human Multiple Cortical Areas SMART-seq seurat)"	0.720003788551982	0.0093784336709076	Inf	1	-25.219604095122	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / whole cortex seurat"	0.651247920941213	0.0084690829716206	Inf	1	-32.9784654743115	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat)"	0.74218744910687	0.00897396683215021	Inf	1	-24.658631559062	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat)"	0.697583304915958	0.00907298241140271	Inf	1	-27.6891316804007	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Dorsolateral prefrontal cortex DFC scvi"	1.1423205419457	0.0132409897792803	Inf	1	11.4794422777764	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Angular gyrus AnG scvi"	0.388317593290852	0.00516646790498578	Inf	1	-71.0973031128103	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Anterior cingulate cortex ACC scvi"	0.437917237956879	0.00564646414060058	Inf	1	-64.0399640539992	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Primary auditory cortexA1 scvi"	0.368970701399411	0.00491092717400192	Inf	1	-74.9100549048103	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Primary somatosensory cortex S1 scvi"	0.37235676380735	0.00493246139375144	Inf	1	-74.5778376686449	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Primary visual cortexV1 scvi"	0.469224867206945	0.00611105476478371	Inf	1	-58.0996045317391	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / (Human Multiple Cortical Areas SMART-seq scvi)"	0.870108112498966	0.0108323340441224	Inf	1	-11.1762557211613	5.32907051820075e-14
"Dissection Dorsolateral prefrontal cortex DFC seurat / whole cortex scvi"	0.331323477140526	0.00443688375215717	Inf	1	-82.4902901789307	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.380107096775447	0.00473672422158649	Inf	1	-77.6229364520025	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.34607332342185	0.00462869245129454	Inf	1	-79.3355796240732	0
"Dissection Angular gyrus AnG seurat / Dissection Anterior cingulate cortex ACC seurat"	1.08306193411185	0.013372645816793	Inf	1	6.46243426660299	1.95279878933974e-08
"Dissection Angular gyrus AnG seurat / Dissection Primary auditory cortexA1 seurat"	0.995566856470833	0.0123384960542923	Inf	1	-0.358496090291007	1
"Dissection Angular gyrus AnG seurat / Dissection Primary somatosensory cortex S1 seurat"	0.982051889281185	0.0122066616484051	Inf	1	-1.45707905502484	0.996584616236039
"Dissection Angular gyrus AnG seurat / Dissection Primary visual cortexV1 seurat"	1.03892602509998	0.0128398418003852	Inf	1	3.08991341603187	0.186043050134064
"Dissection Angular gyrus AnG seurat / (Human Multiple Cortical Areas SMART-seq seurat)"	1.18656983824488	0.0146027049168473	Inf	1	13.9003380096225	0
"Dissection Angular gyrus AnG seurat / whole cortex seurat"	1.07325982514985	0.0132342702136667	Inf	1	5.7336062930653	1.84657842816627e-06
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.22312862159411	0.0163136970256957	Inf	1	15.1009796325386	0
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.14962076927557	0.0141159052827771	Inf	1	11.3555638344693	0
"Dissection Angular gyrus AnG seurat / Dissection Dorsolateral prefrontal cortex DFC scvi"	1.88254995630826	0.0245965108246311	Inf	1	48.4195644357662	0
"Dissection Angular gyrus AnG seurat / Dissection Angular gyrus AnG scvi"	0.639949332468689	0.00805229493872625	Inf	1	-35.474582229754	0
"Dissection Angular gyrus AnG seurat / Dissection Anterior cingulate cortex ACC scvi"	0.721689794510886	0.00896905333694499	Inf	1	-26.2442699206087	0
"Dissection Angular gyrus AnG seurat / Dissection Primary auditory cortexA1 scvi"	0.608065558039755	0.00766244393178496	Inf	1	-39.4777362027161	0
"Dissection Angular gyrus AnG seurat / Dissection Primary somatosensory cortex S1 scvi"	0.61364580579339	0.00769534939029048	Inf	1	-38.9412059608895	0
"Dissection Angular gyrus AnG seurat / Dissection Primary visual cortexV1 scvi"	0.773284923822347	0.00952266269851603	Inf	1	-20.8783527438393	0
"Dissection Angular gyrus AnG seurat / (Human Multiple Cortical Areas SMART-seq scvi)"	1.43394251352459	0.0168373947973406	Inf	1	30.6955168041162	0
"Dissection Angular gyrus AnG seurat / whole cortex scvi"	0.54602274450252	0.00692735170442437	Inf	1	-47.6943360482827	0
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.626418393219345	0.00857019206517986	Inf	1	-34.1881389047456	0
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.57033056481464	0.0072216741573621	Inf	1	-44.3474646536501	0
"Dissection Anterior cingulate cortex ACC seurat / Dissection Primary auditory cortexA1 seurat"	0.91921507451671	0.0113608441483011	Inf	1	-6.81553425169753	1.78250936233582e-09
"Dissection Anterior cingulate cortex ACC seurat / Dissection Primary somatosensory cortex S1 seurat"	0.90673659404945	0.0112384629952853	Inf	1	-7.8989886533444	8.19122547568440e-13
"Dissection Anterior cingulate cortex ACC seurat / Dissection Primary visual cortexV1 seurat"	0.959248951863443	0.0118267117433931	Inf	1	-3.37449754371147	0.0849569570968121
"Dissection Anterior cingulate cortex ACC seurat / (Human Multiple Cortical Areas SMART-seq seurat)"	1.09556970000789	0.0134517360826066	Inf	1	7.43380468577416	2.01680894207357e-11
"Dissection Anterior cingulate cortex ACC seurat / whole cortex seurat"	0.990949632100186	0.0121810987855127	Inf	1	-0.739612194712955	0.999999892337106
"Dissection Anterior cingulate cortex ACC seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.12932472564195	0.0147815123694481	Inf	1	9.29189913468305	2.07611705604904e-13
"Dissection Anterior cingulate cortex ACC seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.0614543204478	0.0129966677072525	Inf	1	4.87087177712715	0.000199521642801903
"Dissection Anterior cingulate cortex ACC seurat / Dissection Dorsolateral prefrontal cortex DFC scvi"	1.73817387262533	0.0222530928938469	Inf	1	43.181568874487	0
"Dissection Anterior cingulate cortex ACC seurat / Dissection Angular gyrus AnG scvi"	0.590870487008181	0.00742654700101924	Inf	1	-41.8621852634065	0
"Dissection Anterior cingulate cortex ACC seurat / Dissection Anterior cingulate cortex ACC scvi"	0.666342128534597	0.00825019796632819	Inf	1	-32.7874486664218	0
"Dissection Anterior cingulate cortex ACC seurat / Dissection Primary auditory cortexA1 scvi"	0.561431935596918	0.00706605652679051	Inf	1	-45.8664396566714	0
"Dissection Anterior cingulate cortex ACC seurat / Dissection Primary somatosensory cortex S1 scvi"	0.566584224286863	0.00709594767182437	Inf	1	-45.3629658255226	0
"Dissection Anterior cingulate cortex ACC seurat / Dissection Primary visual cortexV1 scvi"	0.713980336181301	0.00878056208694575	Inf	1	-27.3945871634074	0
"Dissection Anterior cingulate cortex ACC seurat / (Human Multiple Cortical Areas SMART-seq scvi)"	1.32397092757256	0.0155166207874129	Inf	1	23.9454999473337	0
"Dissection Anterior cingulate cortex ACC seurat / whole cortex scvi"	0.504147295094698	0.00638842318952389	Inf	1	-54.048365010678	0
"Dissection Anterior cingulate cortex ACC seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.578377259406714	0.00778170296956462	Inf	1	-40.6952411950298	0
"Dissection Anterior cingulate cortex ACC seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.526590905701375	0.00666018372580996	Inf	1	-50.7071944305471	0
"Dissection Primary auditory cortexA1 seurat / Dissection Primary somatosensory cortex S1 seurat"	0.986424852231866	0.01227337385456	Inf	1	-1.09852317769989	0.999933205976642
"Dissection Primary auditory cortexA1 seurat / Dissection Primary visual cortexV1 seurat"	1.04355224196881	0.0129131752303133	Inf	1	3.44509882134906	0.0684851903478191
"Dissection Primary auditory cortexA1 seurat / (Human Multiple Cortical Areas SMART-seq seurat)"	1.19185349585776	0.0146879008828826	Inf	1	14.2417761021839	0
"Dissection Primary auditory cortexA1 seurat / whole cortex seurat"	1.07803892644079	0.0133068440008472	Inf	1	6.08767233957183	2.1646057768443e-07
"Dissection Primary auditory cortexA1 seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.22857507122119	0.0163877733314003	Inf	1	15.4327460903706	0
"Dissection Primary auditory cortexA1 seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.15473989697773	0.0141957700076023	Inf	1	11.7033695624073	0
"Dissection Primary auditory cortexA1 seurat / Dissection Dorsolateral prefrontal cortex DFC scvi"	1.8909327325155	0.0247319384491098	Inf	1	48.7085526257812	0
"Dissection Primary auditory cortexA1 seurat / Dissection Angular gyrus AnG scvi"	0.642798952485456	0.0081053963679002	Inf	1	-35.0467522108709	0
"Dissection Primary auditory cortexA1 seurat / Dissection Anterior cingulate cortex ACC scvi"	0.724903395307062	0.0090270733920002	Inf	1	-25.8349133915638	0
"Dissection Primary auditory cortexA1 seurat / Dissection Primary auditory cortexA1 scvi"	0.610773203313815	0.00771255864909015	Inf	1	-39.0440148878649	0
"Dissection Primary auditory cortexA1 seurat / Dissection Primary somatosensory cortex S1 scvi"	0.616378299262284	0.00774579799685954	Inf	1	-38.506296727088	0
"Dissection Primary auditory cortexA1 seurat / Dissection Primary visual cortexV1 scvi"	0.776728271734106	0.00958660438541666	Inf	1	-20.471463230575	0
"Dissection Primary auditory cortexA1 seurat / (Human Multiple Cortical Areas SMART-seq scvi)"	1.44032769291632	0.0169549304051848	Inf	1	30.9958986661678	0
"Dissection Primary auditory cortexA1 seurat / whole cortex scvi"	0.548454120337138	0.00697234413951913	Inf	1	-47.2480796834631	0
"Dissection Primary auditory cortexA1 seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.6292077615359	0.00861578560494925	Inf	1	-33.8341795833771	0
"Dissection Primary auditory cortexA1 seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.572870180548592	0.00726893727675567	Inf	1	-43.905148616837	0
"Dissection Primary somatosensory cortex S1 seurat / Dissection Primary visual cortexV1 seurat"	1.05791357507639	0.0131308902262712	Inf	1	4.53580051995388	0.000989030657078449
"Dissection Primary somatosensory cortex S1 seurat / (Human Multiple Cortical Areas SMART-seq seurat)"	1.20825574615349	0.0149359178352205	Inf	1	15.3037229656534	0
"Dissection Primary somatosensory cortex S1 seurat / whole cortex seurat"	1.09287486421458	0.0135275897386397	Inf	1	7.17497292953553	1.37465816507643e-10
"Dissection Primary somatosensory cortex S1 seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.24548268268123	0.0166489052972648	Inf	1	16.4222379205166	0
"Dissection Primary somatosensory cortex S1 seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.17063139109385	0.0144345170735411	Inf	1	12.7766711809524	0
"Dissection Primary somatosensory cortex S1 seurat / Dissection Dorsolateral prefrontal cortex DFC scvi"	1.9169556892622	0.0251386704093576	Inf	1	49.6222178957849	0
"Dissection Primary somatosensory cortex S1 seurat / Dissection Angular gyrus AnG scvi"	0.651645131437099	0.0082420071230889	Inf	1	-33.8595167702398	0
"Dissection Primary somatosensory cortex S1 seurat / Dissection Anterior cingulate cortex ACC scvi"	0.734879493016533	0.00917886383268166	Inf	1	-24.663042408626	0
"Dissection Primary somatosensory cortex S1 seurat / Dissection Primary auditory cortexA1 scvi"	0.619178644913386	0.00784172518158952	Inf	1	-37.8501367198205	0
"Dissection Primary somatosensory cortex S1 seurat / Dissection Primary somatosensory cortex S1 scvi"	0.624860878015875	0.00787559835074282	Inf	1	-37.3084017054348	0
"Dissection Primary somatosensory cortex S1 seurat / Dissection Primary visual cortexV1 scvi"	0.787417581761748	0.00974995005336231	Inf	1	-19.3016478666444	0
"Dissection Primary somatosensory cortex S1 seurat / (Human Multiple Cortical Areas SMART-seq scvi)"	1.46014943729111	0.0172536713157864	Inf	1	32.0351062385354	0
"Dissection Primary somatosensory cortex S1 seurat / whole cortex scvi"	0.556001928678313	0.0070880998914806	Inf	1	-46.0439288292791	0
"Dissection Primary somatosensory cortex S1 seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.637866898945486	0.00875244373081339	Inf	1	-32.768141256426	0
"Dissection Primary somatosensory cortex S1 seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.580754001941888	0.00739064236462289	Inf	1	-42.7023768302965	0
"Dissection Primary visual cortexV1 seurat / (Human Multiple Cortical Areas SMART-seq seurat)"	1.14211195944455	0.0140289949237174	Inf	1	10.8177999126955	2.03392858111329e-13
"Dissection Primary visual cortexV1 seurat / whole cortex seurat"	1.03304739627305	0.01271907337482	Inf	1	2.64072252800276	0.473221719044391
"Dissection Primary visual cortexV1 seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.17730097431759	0.0156866189244548	Inf	1	12.2502098149089	0
