method	reference	cutoff	subsample_ref	score_inner	held_out_study
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.0	50	0.6175174315833333	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.0	100	0.6393863018690477	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.0	500	0.6504356768611111	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.05	50	0.6175174315833333	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.05	100	0.6393863018690477	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.05	500	0.6504356768611111	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.1	50	0.6175528620595238	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.1	100	0.6393863018690477	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.1	500	0.6504356768611111	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.15	50	0.6167817962857143	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.15	100	0.6406849893611111	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.15	500	0.651560406623016	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.2	50	0.6146152974642857	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.2	100	0.6356608379325397	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.2	500	0.6485499114246032	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.25	50	0.5957897828531746	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.25	100	0.6202494673611111	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.25	500	0.6486043810436508	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.5	50	0.46137259223015875	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.5	100	0.49430550861111106	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.5	500	0.5609601189047618	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.75	50	0.26866047881349203	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.75	100	0.32700113587261903	GSE124952
scvi	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	0.75	500	0.40817953275873015	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.0	50	0.6473359654484127	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.0	100	0.6565549689920634	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.0	500	0.6541285726111111	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.05	50	0.6473359654484127	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.05	100	0.6565549689920634	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.05	500	0.6541285726111111	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.1	50	0.6473359654484127	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.1	100	0.6565549689920634	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.1	500	0.6541285726111111	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.15	50	0.6474231439642857	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.15	100	0.6505457320714285	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.15	500	0.6534337619880952	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.2	50	0.6384540514246032	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.2	100	0.6469673328015874	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.2	500	0.6532351645039682	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.25	50	0.6167766950714285	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.25	100	0.6245920087896826	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.25	500	0.6375805136547619	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.5	50	0.4502045631428571	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.5	100	0.4998567850674603	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.5	500	0.5298751031825396	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.75	50	0.25716456669880955	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.75	100	0.32016190097182534	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions 10x	0.75	500	0.386940774618254	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.0	50	0.5698438414484127	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.0	100	0.6001486325515873	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.0	500	0.6146939879087302	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.05	50	0.5698438414484127	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.05	100	0.6001486325515873	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.05	500	0.6146939879087302	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.1	50	0.569741800531746	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.1	100	0.6001486325515873	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.1	500	0.6146939879087302	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.15	50	0.5599377028253968	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.15	100	0.5968097197579365	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.15	500	0.6167962673928572	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.2	50	0.531756930015873	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.2	100	0.5773144356230159	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.2	500	0.6013638804007936	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.25	50	0.4690788989801587	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.25	100	0.5308355716111112	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.25	500	0.5800389644285714	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.5	50	0.24747518688928571	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.5	100	0.3025798853079365	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.5	500	0.35088014810753965	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.75	50	0.06700720500595238	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.75	100	0.06586780710277777	GSE124952
scvi	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	0.75	500	0.1554403174734127	GSE124952
scvi	whole cortex	0.0	50	0.6732246563769841	GSE124952
scvi	whole cortex	0.0	100	0.6825979956190475	GSE124952
scvi	whole cortex	0.0	500	0.6682402591150794	GSE124952
scvi	whole cortex	0.05	50	0.6732246563769841	GSE124952
scvi	whole cortex	0.05	100	0.6825979956190475	GSE124952
scvi	whole cortex	0.05	500	0.6682402591150794	GSE124952
scvi	whole cortex	0.1	50	0.6732246563769841	GSE124952
scvi	whole cortex	0.1	100	0.6825979956190475	GSE124952
scvi	whole cortex	0.1	500	0.6681713251150794	GSE124952
scvi	whole cortex	0.15	50	0.6653435039404761	GSE124952
scvi	whole cortex	0.15	100	0.6832044836984127	GSE124952
scvi	whole cortex	0.15	500	0.6678098803531746	GSE124952
scvi	whole cortex	0.2	50	0.6532326331944445	GSE124952
scvi	whole cortex	0.2	100	0.6726471681071429	GSE124952
scvi	whole cortex	0.2	500	0.6619082288531746	GSE124952
scvi	whole cortex	0.25	50	0.637293609154762	GSE124952
scvi	whole cortex	0.25	100	0.6446360242976191	GSE124952
scvi	whole cortex	0.25	500	0.647449875281746	GSE124952
scvi	whole cortex	0.5	50	0.44849629081904757	GSE124952
