"method"	"cutoff"	"fit"	"se"	"lower"	"upper"	"key"
"seurat"	0	0.712709334352124	0.0673413013338871	0.565591434458971	0.825385794778976	"class"
"scvi"	0	0.732895041820957	0.0643867676318235	0.590160878314246	0.839443215968067	"class"
"seurat"	0.05	0.707894108422338	0.0679989645532653	0.559852971252368	0.821975719476533	"class"
"scvi"	0.05	0.698332229091579	0.0692790499155925	0.548529317652711	0.815177051920322	"class"
"seurat"	0.1	0.703031804018628	0.0686493641351967	0.55409414528414	0.818516289333177	"class"
"scvi"	0.1	0.661363527483159	0.0736438285545826	0.506202222334037	0.788172179095069	"class"
"seurat"	0.15	0.698123078016359	0.0692920195501622	0.548316427995116	0.815007401734937	"class"
"scvi"	0.15	0.62231462926271	0.0772800616796707	0.463781070348664	0.758394693691831	"class"
"seurat"	0.2	0.693168625550893	0.069926448096768	0.54252131355969	0.811448977150953	"class"
"scvi"	0.2	0.581611465684443	0.0800052277147946	0.421872827313807	0.72589103765149	"class"
"seurat"	0.25	0.688169180036043	0.0705521655738031	0.53671031743187	0.807840959795974	"class"
"scvi"	0.25	0.539765826838909	0.0816735953006075	0.381055647350347	0.690801674311719	"class"
"seurat"	0.5	0.662525395347654	0.0735331239258638	0.507471448301461	0.789056772093886	"class"
"scvi"	0.5	0.333908309893736	0.0731508428536818	0.208289101506838	0.488538876093681	"class"
"seurat"	0.75	0.635888557758968	0.0762240788641626	0.478072331432012	0.769039149032853	"class"
"scvi"	0.75	0.176459439142209	0.0478502300992204	0.101017759867833	0.290063311352441	"class"
"seurat"	0	0.793479378448874	0.0322513030452331	0.723171969926083	0.849643025844469	"family"
"scvi"	0	0.82504314920202	0.0284162065889182	0.762243970803997	0.873996975572781	"family"
"seurat"	0.05	0.788358983334937	0.0328281183882132	0.716952990418993	0.845629632095703	"family"
"scvi"	0.05	0.797565313052153	0.0317726593691369	0.728180440031132	0.852818778261469	"family"
"seurat"	0.1	0.783146330678325	0.033406634895048	0.710645269490017	0.841532289791104	"family"
"scvi"	0.1	0.766990742116539	0.0351592714370229	0.691207866556074	0.828782181600285	"family"
"seurat"	0.15	0.777841471014273	0.0339863903543209	0.704249967270507	0.837350380960036	"family"
"scvi"	0.15	0.733342279987259	0.0384628972625415	0.651606241391948	0.801737001201273	"family"
"seurat"	0.2	0.77244454663535	0.0345669030317813	0.697768366806273	0.833083341504603	"family"
"scvi"	0.2	0.696755844404149	0.0415517289689038	0.609786531289033	0.77160189508026	"family"
"seurat"	0.25	0.766955794600211	0.0351476719752639	0.691201875438385	0.828730664071286	"family"
"scvi"	0.25	0.657494097700299	0.0442834355810442	0.566281567964082	0.738386256934496	"family"
"seurat"	0.5	0.738149902839535	0.038036538390507	0.657154121038492	0.805669282984287	"family"
"scvi"	0.5	0.43865991130671	0.0484527537944136	0.346988102530204	0.534718992679696	"family"
"seurat"	0.75	0.707142996823419	0.0408465507422133	0.621267594208687	0.780428450739222	"family"
"scvi"	0.75	0.241339095611658	0.0361143766568811	0.177704280772523	0.318923233238379	"family"
"seurat"	0	0.942348210711638	0.0207716505478571	0.885389416840817	0.971898262625834	"global"
"scvi"	0	0.927750669155454	0.0256431705518518	0.858480361887888	0.96451634460631	"global"
"seurat"	0.05	0.938382342414566	0.0221013358209852	0.878033500456074	0.96989450715964	"global"
