"method"	"cutoff"	"fit"	"se"	"lower"	"upper"
"seurat"	0	0.701988849230179	0.0561211332669647	0.581996341235079	0.799408127516029
"scvi"	0	0.684651224972503	0.0579201978119077	0.562031435065532	0.786011635607515
"seurat"	0.05	0.695826008349497	0.0567709107848028	0.574872819441077	0.794658671146905
"scvi"	0.05	0.637725391346426	0.0619692161039141	0.509939794736832	0.748616297362884
"seurat"	0.1	0.689592075472613	0.0574091227010916	0.567714116292803	0.789828999977331
"scvi"	0.1	0.588018561027228	0.0649714841976871	0.457626943571862	0.707124713843795
"seurat"	0.15	0.683288532544893	0.0580349743243528	0.560523052245521	0.784919199683638
"scvi"	0.15	0.53644902222539	0.0666875225999067	0.406227755736206	0.661881965619908
"seurat"	0.2	0.676916955140682	0.0586476718184604	0.553302504861002	0.779929426410186
"scvi"	0.2	0.484087908474319	0.0669727159977842	0.356799640171337	0.613474807393777
"seurat"	0.25	0.670479011988505	0.0592464241362458	0.546055404459946	0.774859908745916
"scvi"	0.25	0.432073840702414	0.0658024388295656	0.310239495934466	0.562720396859321
"seurat"	0.5	0.637358624745762	0.0620037700678395	0.509527275378836	0.748329455799135
"scvi"	0.5	0.210482395316812	0.0445823506458019	0.136124472883049	0.310842979333022
"seurat"	0.75	0.602880994787019	0.0642990014706084	0.472796814699372	0.719884334999313
"scvi"	0.75	0.0854387011537987	0.020990154748482	0.0522938316105917	0.136564217876602
