"method"	"cutoff"	"fit"	"se"	"lower"	"upper"
"seurat"	0	0.922014177592663	0.0185349439784381	0.877051941494772	0.951443991207602
"scvi"	0	0.951932957063466	0.0117950788365015	0.922774700495182	0.970434555332819
"seurat"	0.05	0.920138942051743	0.0189416939464408	0.874243995448197	0.95023780509412
"scvi"	0.05	0.943371663682124	0.0137706647377925	0.90951449171075	0.965047267788251
"seurat"	0.1	0.91822261424492	0.0193555472443387	0.871381118662538	0.949003350910924
"scvi"	0.1	0.933392201922017	0.0160258074031911	0.894238225203326	0.958720144306157
"seurat"	0.15	0.916264487337471	0.0197765379946149	0.868462663565464	0.947740048760459
"scvi"	0.15	0.921799868439375	0.0185809708225053	0.876732321241124	0.951305544790473
"seurat"	0.2	0.914263851747518	0.0202046955329617	0.865487995025473	0.946447310921188
"scvi"	0.2	0.908388038499414	0.0214507593145117	0.856792668881302	0.942638909017427
"seurat"	0.25	0.912219995654117	0.0206400441333243	0.862456491469622	0.945124541954718
"scvi"	0.25	0.892943137344803	0.0246407206921521	0.834237230620196	0.932539257941546
"seurat"	0.5	0.90132740712511	0.0229251123760477	0.846425789483628	0.938038866232542
"scvi"	0.5	0.778410546919256	0.0444601562944969	0.679446061957766	0.853413456746674
"seurat"	0.75	0.889247266151304	0.0253901791854683	0.828890858644884	0.930108915636514
"scvi"	0.75	0.596690105992094	0.0620339001876827	0.47164531573487	0.710317359194435
