"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Angular gyrus AnG seurat"	0.541743280187218	0.00603393573825162	Inf	1	-55.0335011351547	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Anterior cingulate cortex ACC seurat"	0.576747678877837	0.00628525021212564	Inf	1	-50.5013020581232	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Primary auditory cortexA1 seurat"	0.534483809093702	0.00597355639836964	Inf	1	-56.0519416992255	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Primary somatosensory cortex S1 seurat"	0.555061956878265	0.00617083421773358	Inf	1	-52.950927582067	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Primary visual cortexV1 seurat"	0.5511517241154	0.00615154545676064	Inf	1	-53.3761746311451	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / (Human Multiple Cortical Areas SMART-seq seurat)"	0.810336782219833	0.00878413412649254	Inf	1	-19.4006771509241	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / whole cortex seurat"	0.608486166347788	0.00669253345525196	Inf	1	-45.1674137428056	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat)"	0.674233959655367	0.00682515013313015	Inf	1	-38.9395487001093	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat)"	0.591575354032039	0.00654952868636448	Inf	1	-47.4167051913842	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Dorsolateral prefrontal cortex DFC scvi"	0.74700728025654	0.00719601434983973	Inf	1	-30.2788922866714	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Angular gyrus AnG scvi"	0.319674937269141	0.00365907375895303	Inf	1	-99.6354554702964	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Anterior cingulate cortex ACC scvi"	0.357259827812235	0.00397586560401971	Inf	1	-92.4892092680937	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Primary auditory cortexA1 scvi"	0.318538049021195	0.00365760195670524	Inf	1	-99.631338843704	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Primary somatosensory cortex S1 scvi"	0.315243737628483	0.00361281188364087	Inf	1	-100.730476134588	0
