key	method_display	reference	subsample_ref	mean_f1	n_celltypes	total_duration_hrs	total_memory_gb	pareto
subclass	scVI	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	500	0.8679718549525003	23	0.04043939203354297	0.0204016804245283	TRUE
subclass	scVI	whole cortex	500	0.8666874518191713	23	0.04043939203354297	0.0204016804245283	TRUE
subclass	scVI	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	100	0.8656266293424164	23	0.03999322851153039	0.0204016804245283	TRUE
subclass	scVI	Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD	500	0.8636449197860985	23	0.04043939203354297	0.0204016804245283	FALSE
subclass	Seurat	Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD	100	0.8625087026801083	23	0.08158856394129976	0.036083984375	FALSE
subclass	scVI	whole cortex	50	0.8595673266482589	23	0.03922634696016771	0.0204016804245283	TRUE
subclass	scVI	Dissection Anterior cingulate cortex ACC	100	0.8595245932910675	23	0.03999322851153039	0.0204016804245283	FALSE
subclass	Seurat	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	100	0.8589985879262251	23	0.08158856394129976	0.036083984375	FALSE
subclass	scVI	Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD	100	0.8589126660219072	23	0.03999322851153039	0.0204016804245283	FALSE
subclass	scVI	whole cortex	100	0.8577052193330998	23	0.03999322851153039	0.0204016804245283	FALSE
subclass	scVI	Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD	50	0.8562363916539711	23	0.03922634696016771	0.0204016804245283	TRUE
subclass	scVI	Dissection Primary auditory cortexA1	100	0.8553106109726719	23	0.03999322851153039	0.0204016804245283	FALSE
subclass	Seurat	whole cortex	500	0.8542003469020443	23	0.16130346960167713	0.03248046875	FALSE
subclass	scVI	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	50	0.8539597052502736	23	0.03922634696016771	0.0204016804245283	TRUE
subclass	scVI	Dissection Primary visual cortexV1	100	0.8532019244284967	23	0.03999322851153039	0.0204016804245283	FALSE
subclass	Seurat	Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD	500	0.8529250153426167	23	0.16130346960167713	0.03248046875	FALSE
subclass	scVI	Dissection Primary auditory cortexA1	500	0.8506417938071105	23	0.04043939203354297	0.0204016804245283	FALSE
subclass	Seurat	Dissection Primary visual cortexV1	500	0.8492754859661903	23	0.16130346960167713	0.03248046875	FALSE
subclass	scVI	Dissection Angular gyrus AnG	50	0.8492672707242315	23	0.03922634696016771	0.0204016804245283	TRUE
subclass	Seurat	Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD	50	0.8490191904817879	23	0.06582393081761004	0.0300390625	FALSE
subclass	Seurat	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	50	0.8489414473030505	23	0.06582393081761004	0.0300390625	FALSE
subclass	Seurat	whole cortex	100	0.8488508562209899	23	0.08158856394129976	0.036083984375	FALSE
subclass	Seurat	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	500	0.8481116575415919	23	0.16130346960167713	0.03248046875	FALSE
subclass	Seurat	whole cortex	50	0.8474896025564931	23	0.06582393081761004	0.0300390625	FALSE
subclass	Seurat	Dissection Primary visual cortexV1	100	0.8474246382510078	23	0.08158856394129976	0.036083984375	FALSE
subclass	scVI	Dissection Anterior cingulate cortex ACC	500	0.8469044324744925	23	0.04043939203354297	0.0204016804245283	FALSE
subclass	scVI	Dissection Anterior cingulate cortex ACC	50	0.8468080544718598	23	0.03922634696016771	0.0204016804245283	TRUE
subclass	Seurat	Dissection Primary auditory cortexA1	500	0.8464724701280794	23	0.16130346960167713	0.03248046875	FALSE
subclass	Seurat	Dissection Primary somatosensory cortex S1	100	0.8459449849239656	23	0.08158856394129976	0.036083984375	FALSE
subclass	scVI	Dissection Primary somatosensory cortex S1	100	0.8456214471052419	23	0.03999322851153039	0.0204016804245283	FALSE
subclass	Seurat	Dissection Primary somatosensory cortex S1	500	0.8455354715123168	23	0.16130346960167713	0.03248046875	FALSE
subclass	scVI	Dissection Primary somatosensory cortex S1	500	0.8454963631137836	23	0.04043939203354297	0.0204016804245283	FALSE
subclass	Seurat	Dissection Angular gyrus AnG	50	0.8448624873210261	23	0.06582393081761004	0.0300390625	FALSE
subclass	scVI	Dissection Angular gyrus AnG	500	0.8445306626610887	23	0.04043939203354297	0.0204016804245283	FALSE
subclass	Seurat	Dissection Primary auditory cortexA1	50	0.8444857273550073	23	0.06582393081761004	0.0300390625	FALSE
subclass	Seurat	Dissection Angular gyrus AnG	100	0.8443749275271968	23	0.08158856394129976	0.036083984375	FALSE
subclass	scVI	Dissection Primary visual cortexV1	50	0.8433122373861779	23	0.03922634696016771	0.0204016804245283	TRUE
subclass	Seurat	Dissection Primary visual cortexV1	50	0.8414204527183413	23	0.06582393081761004	0.0300390625	FALSE
subclass	Seurat	Dissection Angular gyrus AnG	500	0.8412184782288701	23	0.16130346960167713	0.03248046875	FALSE
subclass	Seurat	Dissection Anterior cingulate cortex ACC	500	0.8408682193049246	23	0.16130346960167713	0.03248046875	FALSE
subclass	scVI	Dissection Angular gyrus AnG	100	0.8405768732017447	23	0.03999322851153039	0.0204016804245283	FALSE
subclass	Seurat	Dissection Anterior cingulate cortex ACC	100	0.840429416974419	23	0.08158856394129976	0.036083984375	FALSE
subclass	scVI	Dissection Primary somatosensory cortex S1	50	0.8393849877098625	23	0.03922634696016771	0.0204016804245283	TRUE
subclass	Seurat	Dissection Primary auditory cortexA1	100	0.8390378632698559	23	0.08158856394129976	0.036083984375	FALSE
subclass	scVI	Dissection Primary auditory cortexA1	50	0.835947418956915	23	0.03922634696016771	0.0204016804245283	TRUE
subclass	Seurat	Dissection Anterior cingulate cortex ACC	50	0.8355286667150889	23	0.06582393081761004	0.0300390625	FALSE
subclass	Seurat	Dissection Primary somatosensory cortex S1	50	0.8318196653366513	23	0.06582393081761004	0.0300390625	FALSE
subclass	scVI	Dissection Primary visual cortexV1	500	0.8267482147396849	23	0.04043939203354297	0.0204016804245283	FALSE
subclass	Seurat	Human Multiple Cortical Areas SMART-seq	50	0.8131904142613029	23	0.06582393081761004	0.0300390625	FALSE
subclass	Seurat	Human Multiple Cortical Areas SMART-seq	100	0.8083934482231414	23	0.08158856394129976	0.036083984375	FALSE
subclass	Seurat	Human Multiple Cortical Areas SMART-seq	500	0.7846180517974484	23	0.16130346960167713	0.03248046875	FALSE
subclass	scVI	Human Multiple Cortical Areas SMART-seq	100	0.7709524389934141	23	0.03999322851153039	0.0204016804245283	FALSE
subclass	scVI	Dissection Dorsolateral prefrontal cortex DFC	50	0.7620755285962578	23	0.03922634696016771	0.0204016804245283	TRUE
subclass	scVI	Dissection Dorsolateral prefrontal cortex DFC	100	0.7500820096439429	23	0.03999322851153039	0.0204016804245283	FALSE
subclass	Seurat	Dissection Dorsolateral prefrontal cortex DFC	50	0.7475677434550654	23	0.06582393081761004	0.0300390625	FALSE
subclass	scVI	Human Multiple Cortical Areas SMART-seq	500	0.7386118447111926	23	0.04043939203354297	0.0204016804245283	FALSE
subclass	scVI	Human Multiple Cortical Areas SMART-seq	50	0.7317065208506786	23	0.03922634696016771	0.0204016804245283	TRUE
subclass	Seurat	Dissection Dorsolateral prefrontal cortex DFC	100	0.719198046663236	23	0.08158856394129976	0.036083984375	FALSE
subclass	scVI	Dissection Dorsolateral prefrontal cortex DFC	500	0.7123828349277805	23	0.04043939203354297	0.0204016804245283	FALSE
subclass	Seurat	Dissection Dorsolateral prefrontal cortex DFC	500	0.6746967753097912	23	0.16130346960167713	0.03248046875	FALSE
class	scVI	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	500	0.9453129041730834	17	0.04043939203354297	0.0204016804245283	TRUE
class	scVI	Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD	500	0.9413877110806922	17	0.04043939203354297	0.0204016804245283	TRUE
class	scVI	Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD	100	0.9409961134666933	17	0.03999322851153039	0.0204016804245283	TRUE
class	scVI	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	100	0.9406128198012871	17	0.03999322851153039	0.0204016804245283	TRUE
class	Seurat	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	100	0.9355761168508148	17	0.08158856394129976	0.036083984375	FALSE
class	Seurat	Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD	100	0.9350809658398962	17	0.08158856394129976	0.036083984375	FALSE
class	scVI	whole cortex	500	0.9335792350725967	17	0.04043939203354297	0.0204016804245283	FALSE
class	Seurat	Dissection Primary visual cortexV1	500	0.9335212332414333	17	0.16130346960167713	0.03248046875	FALSE
class	scVI	Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD	50	0.9334187463075092	17	0.03922634696016771	0.0204016804245283	TRUE
class	scVI	Dissection Primary auditory cortexA1	100	0.9333943650080664	17	0.03999322851153039	0.0204016804245283	FALSE
class	Seurat	Dissection Primary auditory cortexA1	500	0.9308236812753907	17	0.16130346960167713	0.03248046875	FALSE
class	scVI	Dissection Primary visual cortexV1	100	0.9306942673048164	17	0.03999322851153039	0.0204016804245283	FALSE
class	scVI	Dissection Anterior cingulate cortex ACC	100	0.9290449046576548	17	0.03999322851153039	0.0204016804245283	FALSE
class	Seurat	Dissection Primary visual cortexV1	100	0.9289064745748037	17	0.08158856394129976	0.036083984375	FALSE
class	Seurat	whole cortex	50	0.928830985731525	17	0.06582393081761004	0.0300390625	FALSE
class	Seurat	whole cortex	500	0.9280213327084283	17	0.16130346960167713	0.03248046875	FALSE
class	scVI	Dissection Anterior cingulate cortex ACC	500	0.9274474173991675	17	0.04043939203354297	0.0204016804245283	FALSE
class	scVI	Dissection Primary somatosensory cortex S1	50	0.9266754748082955	17	0.03922634696016771	0.0204016804245283	TRUE
class	scVI	whole cortex	50	0.9266421572161857	17	0.03922634696016771	0.0204016804245283	TRUE
class	Seurat	Dissection Primary somatosensory cortex S1	500	0.9265282631201477	17	0.16130346960167713	0.03248046875	FALSE
class	Seurat	Dissection Primary somatosensory cortex S1	100	0.9264520314133036	17	0.08158856394129976	0.036083984375	FALSE
class	Seurat	Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD	500	0.9263767725795832	17	0.16130346960167713	0.03248046875	FALSE
class	scVI	Dissection Primary auditory cortexA1	500	0.9262046192726395	17	0.04043939203354297	0.0204016804245283	FALSE
class	scVI	whole cortex	100	0.9247837850530096	17	0.03999322851153039	0.0204016804245283	FALSE
class	Seurat	Dissection Primary visual cortexV1	50	0.9247795183055109	17	0.06582393081761004	0.0300390625	FALSE
class	scVI	Dissection Primary somatosensory cortex S1	500	0.9247232410105115	17	0.04043939203354297	0.0204016804245283	FALSE
class	scVI	Dissection Angular gyrus AnG	50	0.9243165880466065	17	0.03922634696016771	0.0204016804245283	TRUE
class	scVI	Dissection Primary somatosensory cortex S1	100	0.9216627535254687	17	0.03999322851153039	0.0204016804245283	FALSE
class	scVI	Dissection Anterior cingulate cortex ACC	50	0.9215281642028365	17	0.03922634696016771	0.0204016804245283	TRUE
class	scVI	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	50	0.9214172927938296	17	0.03922634696016771	0.0204016804245283	TRUE
class	Seurat	Dissection Anterior cingulate cortex ACC	500	0.9197305456988102	17	0.16130346960167713	0.03248046875	FALSE
class	scVI	Dissection Angular gyrus AnG	500	0.9195815610487548	17	0.04043939203354297	0.0204016804245283	FALSE
class	Seurat	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	500	0.9187661190624336	17	0.16130346960167713	0.03248046875	FALSE
class	Seurat	whole cortex	100	0.9185030647813387	17	0.08158856394129976	0.036083984375	FALSE
class	Seurat	Dissection Primary auditory cortexA1	50	0.9178884030106871	17	0.06582393081761004	0.0300390625	FALSE
class	Seurat	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	50	0.9171358236038838	17	0.06582393081761004	0.0300390625	FALSE
class	Seurat	Dissection Angular gyrus AnG	100	0.9168120222307677	17	0.08158856394129976	0.036083984375	FALSE
class	scVI	Dissection Primary auditory cortexA1	50	0.9166247808930529	17	0.03922634696016771	0.0204016804245283	TRUE
class	Seurat	Dissection Angular gyrus AnG	500	0.9162306056970395	17	0.16130346960167713	0.03248046875	FALSE
class	scVI	Dissection Angular gyrus AnG	100	0.9148856683881152	17	0.03999322851153039	0.0204016804245283	FALSE
class	Seurat	Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD	50	0.9140375664615821	17	0.06582393081761004	0.0300390625	FALSE
class	Seurat	Dissection Primary auditory cortexA1	100	0.913333563916956	17	0.08158856394129976	0.036083984375	FALSE
class	Seurat	Dissection Anterior cingulate cortex ACC	100	0.9133002403329449	17	0.08158856394129976	0.036083984375	FALSE
class	Seurat	Dissection Angular gyrus AnG	50	0.9132541996308479	17	0.06582393081761004	0.0300390625	FALSE
class	scVI	Dissection Primary visual cortexV1	500	0.9116463224196145	17	0.04043939203354297	0.0204016804245283	FALSE
class	Seurat	Dissection Anterior cingulate cortex ACC	50	0.910747984104322	17	0.06582393081761004	0.0300390625	FALSE
class	Seurat	Dissection Primary somatosensory cortex S1	50	0.9103866253807323	17	0.06582393081761004	0.0300390625	FALSE
class	scVI	Dissection Primary visual cortexV1	50	0.9073105728130013	17	0.03922634696016771	0.0204016804245283	TRUE
class	scVI	Dissection Dorsolateral prefrontal cortex DFC	50	0.8808491534261251	17	0.03922634696016771	0.0204016804245283	TRUE
class	scVI	Dissection Dorsolateral prefrontal cortex DFC	100	0.8664046685717214	17	0.03999322851153039	0.0204016804245283	FALSE
class	Seurat	Dissection Dorsolateral prefrontal cortex DFC	50	0.8528019473610461	17	0.06582393081761004	0.0300390625	FALSE
class	Seurat	Dissection Dorsolateral prefrontal cortex DFC	100	0.8309232239419733	17	0.08158856394129976	0.036083984375	FALSE
class	scVI	Dissection Dorsolateral prefrontal cortex DFC	500	0.8291161864352562	17	0.04043939203354297	0.0204016804245283	FALSE
class	scVI	Human Multiple Cortical Areas SMART-seq	100	0.8017598326052415	17	0.03999322851153039	0.0204016804245283	FALSE
class	Seurat	Dissection Dorsolateral prefrontal cortex DFC	500	0.7815917642425525	17	0.16130346960167713	0.03248046875	FALSE
class	Seurat	Human Multiple Cortical Areas SMART-seq	100	0.7752444666382394	17	0.08158856394129976	0.036083984375	FALSE
class	scVI	Human Multiple Cortical Areas SMART-seq	500	0.773451269441393	17	0.04043939203354297	0.0204016804245283	FALSE
class	Seurat	Human Multiple Cortical Areas SMART-seq	50	0.7687025635009055	17	0.06582393081761004	0.0300390625	FALSE
class	Seurat	Human Multiple Cortical Areas SMART-seq	500	0.7465430053179919	17	0.16130346960167713	0.03248046875	FALSE
class	scVI	Human Multiple Cortical Areas SMART-seq	50	0.7447702545910211	17	0.03922634696016771	0.0204016804245283	TRUE
