label	key	method	cutoff	reference	subsample_ref	f1_score_mean	f1_score_std	n_queries	precision_mean	precision_std	recall_mean	recall_std
Astrocyte	class	scvi_knn	0.0	Dissection Angular gyrus AnG	100.0	0.974809541720457	0.0821650164954625	1015	0.969654654322142	0.10200926241262517	0.9885748569985023	0.07230100663387867
Astrocyte	class	scvi_knn	0.0	Dissection Angular gyrus AnG	500.0	0.9826864636454586	0.07195814872364324	1015	0.9810367574406983	0.08257805375296133	0.9894520126122183	0.06975214112912717
Astrocyte	class	scvi_knn	0.0	Dissection Anterior cingulate cortex ACC	100.0	0.9857410324775859	0.06854597648321327	1015	0.9899884707520176	0.06518894526368654	0.98567908282194	0.0775096868179288
Astrocyte	class	scvi_knn	0.0	Dissection Anterior cingulate cortex ACC	500.0	0.9806709786626072	0.07513381179176742	1015	0.9784794816568215	0.08779979798932679	0.9888420036449592	0.07162191333798289
Astrocyte	class	scvi_knn	0.0	Dissection Dorsolateral prefrontal cortex DFC	100.0	0.9396516147218623	0.12531400407949728	1015	0.9342497237568738	0.14372690567721536	0.9669797596411263	0.12014750800737847
Astrocyte	class	scvi_knn	0.0	Dissection Dorsolateral prefrontal cortex DFC	500.0	0.8910229883391492	0.2017746368365558	1015	0.9603289198623044	0.12365847592381507	0.8758788364066524	0.2328244444403028
Astrocyte	class	scvi_knn	0.0	Dissection Primary auditory cortexA1	100.0	0.9816104435480969	0.07242335590568241	1015	0.9809350684892557	0.08163176048199017	0.9879032106372008	0.07294099370990136
Astrocyte	class	scvi_knn	0.0	Dissection Primary auditory cortexA1	500.0	0.9823507329729259	0.07601728123831365	1015	0.9810134917080731	0.08679872969436754	0.9891734784099315	0.07098023863029199
Astrocyte	class	scvi_knn	0.0	Dissection Primary somatosensory cortex S1	100.0	0.9742942094541351	0.08218252309872347	1015	0.9660102163132791	0.10588084500319643	0.9910326077149808	0.0646018532403247
Astrocyte	class	scvi_knn	0.0	Dissection Primary somatosensory cortex S1	500.0	0.9825027693295253	0.07310449513299774	1015	0.9788898646077802	0.08797827021450562	0.9916785759396597	0.06407439185169549
Astrocyte	class	scvi_knn	0.0	Dissection Primary visual cortexV1	100.0	0.971034277529021	0.08803769332891248	1015	0.9616571810783633	0.11424808699727426	0.9902684999729335	0.06730026313943296
Astrocyte	class	scvi_knn	0.0	Dissection Primary visual cortexV1	500.0	0.9824612615531039	0.07248894565364247	1015	0.9796590109397991	0.08570454634161388	0.9907137443836952	0.06671952654246087
Astrocyte	class	scvi_knn	0.0	Human Multiple Cortical Areas SMART-seq	100.0	0.9339549064558799	0.1609292114314165	1015	0.9793886616161616	0.08069288508510099	0.9239240161879324	0.18638252669648195
Astrocyte	class	scvi_knn	0.0	Human Multiple Cortical Areas SMART-seq	500.0	0.9462414816072552	0.12478712567492868	1015	0.9611924429888979	0.11247697006556152	0.952952788838051	0.13728516479877242
Astrocyte	class	scvi_knn	0.0	Single-nucleus transcriptome data from the dlPFC	100.0	0.9801639613934265	0.08499951761464193	1015	0.9868709966514594	0.07195472761967174	0.9812973717585886	0.09334739055381387
Astrocyte	class	scvi_knn	0.0	Single-nucleus transcriptome data from the dlPFC	500.0	0.9861516025636714	0.07305018814621343	1015	0.9921844181459567	0.06065792918770211	0.9853315700230401	0.08236725856061354
Astrocyte	class	scvi_knn	0.0	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	100.0	0.9599875323022428	0.10375199188047425	1015	0.9504697276420327	0.13056198563800062	0.9848021259857729	0.0826973139604133
Astrocyte	class	scvi_knn	0.0	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	500.0	0.9760850670026984	0.08256659421378798	1015	0.9730186689990717	0.09987779128595986	0.9875195416895994	0.07428891074471607
Astrocyte	class	scvi_knn	0.0	Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD	100.0	0.962060254866549	0.09836639763179959	1015	0.9517386116893507	0.1286999357296411	0.9861510744762823	0.07570833305816772
Astrocyte	class	scvi_knn	0.0	Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD	500.0	0.9854256529180345	0.06878338352975347	1015	0.9871101799131357	0.0722368130985135	0.9881451148028574	0.07271122703984799
Astrocyte	class	scvi_knn	0.0	whole cortex	100.0	0.9788590619332945	0.07875758710166268	1015	0.9775543381085253	0.09108518150703572	0.9875103796039757	0.07485656344091489
Astrocyte	class	scvi_knn	0.0	whole cortex	500.0	0.9808531749135653	0.07698528177419547	1015	0.9827191532438909	0.08465200965256862	0.9858304312436833	0.07739180609665282
Astrocyte	class	scvi_knn	0.05	Dissection Angular gyrus AnG	100.0	0.974809541720457	0.0821650164954625	1015	0.969654654322142	0.10200926241262533	0.9885748569985023	0.07230100663387873
Astrocyte	class	scvi_knn	0.05	Dissection Angular gyrus AnG	500.0	0.9826864636454586	0.07195814872364313	1015	0.9810367574406983	0.08257805375296133	0.9894520126122183	0.0697521411291269
Astrocyte	class	scvi_knn	0.05	Dissection Anterior cingulate cortex ACC	100.0	0.9857410324775859	0.06854597648321324	1015	0.9899884707520176	0.06518894526368658	0.98567908282194	0.07750968681792876
Astrocyte	class	scvi_knn	0.05	Dissection Anterior cingulate cortex ACC	500.0	0.9806709786626072	0.0751338117917676	1015	0.9784794816568215	0.08779979798932677	0.9888420036449592	0.07162191333798311
Astrocyte	class	scvi_knn	0.05	Dissection Dorsolateral prefrontal cortex DFC	100.0	0.9396516147218623	0.12531400407949728	1015	0.9342497237568738	0.1437269056772154	0.9669797596411263	0.12014750800737833
Astrocyte	class	scvi_knn	0.05	Dissection Dorsolateral prefrontal cortex DFC	500.0	0.8910229883391492	0.20177463683655586	1015	0.9603289198623044	0.1236584759238151	0.8758788364066524	0.2328244444403029
