"method"	"cutoff"	"fit"	"se"	"lower"	"upper"
"seurat"	0	0.778488327526616	0.0445519889389435	0.679279825965664	0.853621640375918
"scvi"	0	0.818543361633656	0.0383783036220082	0.731065157606669	0.8821537806433
"seurat"	0.05	0.774569851401853	0.0451024693914236	0.674363732486285	0.850764070517884
"scvi"	0.05	0.785283509045624	0.0435565872245874	0.68791238286715	0.858522851908437
"seurat"	0.1	0.77060248417074	0.0456536926778726	0.669403870260462	0.847863623427623
"scvi"	0.1	0.747805621126218	0.0487078508323647	0.641227476538841	0.831064463745868
"seurat"	0.15	0.766586335473877	0.0462054208351458	0.664400929430569	0.844920094541674
"scvi"	0.15	0.706233272683686	0.0535748112918215	0.591697715641724	0.799525454031261
"seurat"	0.2	0.762521542840973	0.0467574088896773	0.659355637581844	0.841933293840423
"scvi"	0.2	0.660915405536432	0.0578656735059077	0.54022652331395	0.763776687649332
"seurat"	0.25	0.758408272254128	0.0473094049455729	0.654268759778835	0.838903046350929
"scvi"	0.25	0.612442985211123	0.0612840901473575	0.487876193639498	0.723860094462536
"seurat"	0.5	0.737122617052595	0.0500602189238912	0.628239974292952	0.823095099159678
"scvi"	0.5	0.356331149084721	0.0592505766388711	0.25017308154877	0.478773168946148
"seurat"	0.75	0.714667141150138	0.0527697000813069	0.601307634549231	0.806184254338429
"scvi"	0.75	0.162432317354494	0.0352088054880579	0.104563242681245	0.243614921145296
