process	method	step	subsample_ref	mean_duration	sd_duration	mean_realtime	sd_realtime	mean_memory	sd_memory	count
MAP_QUERY	scVI RF/kNN	Query Processing	100	0.018806224601050647	0.004368778352100578	0.003573471107146397	8.612953540803088e-4	0.02061348335749331	7.547700065296236e-4	7847
MAP_QUERY	scVI RF/kNN	Query Processing	500	0.018806224601050647	0.004368743551516273	0.003573471107146397	8.612884932191789e-4	0.02061348335749331	7.54763994222492e-4	8968
PREPARE_REFERENCES:REF_PROCESS_SEURAT	Seurat	Ref Processing	100	0.03838383838383838	0.021645135091219375	0.025638888888888888	0.021504561618476647	0.03926669034090909	0.0142822512231479	77
PREPARE_REFERENCES:REF_PROCESS_SEURAT	Seurat	Ref Processing	500	0.0748989898989899	0.04133302309845135	0.051893939393939395	0.04086162575013982	0.03134765625	0.016971234418367735	88
SCVI_PIPELINE:CLASSIFY_ALL	scVI RF/kNN	Prediction	100	0.025512582174491184	0.021416452569692972	0.003447347342418707	0.004163560221533852	0.0132620014787426	0.0011576291726153897	172634
SCVI_PIPELINE:CLASSIFY_ALL	scVI RF/kNN	Prediction	500	0.02013992258670559	0.013682170556955081	0.003059517735337316	0.002396526025050731	0.013344362064170081	0.0011989102509835875	197296
SCVI_PIPELINE:SCVI_PREDICT	scVI RF/kNN	Embedding	100	0.02639977833644203	0.02838779615293939	0.0030405977707494212	0.002358166283629123	0.015944824020760685	0.0014477969074476382	86317
SCVI_PIPELINE:SCVI_PREDICT	scVI RF/kNN	Embedding	500	0.02530228016111156	0.03155229780144941	0.004928630641833139	0.007576547408099456	0.016178839472163652	0.0031745954010272397	98648
SEURAT_PIPELINE:PREDICT_SEURAT	Seurat	Prediction	100	0.03493721785202606	0.023211731513204933	0.005047727497995117	0.004722545608626278	0.017660860775180438	0.014576648032556141	86317
SEURAT_PIPELINE:PREDICT_SEURAT	Seurat	Prediction	500	0.033636606925634575	0.012543844439476768	0.007323576983032826	0.00403999990742679	0.021283304970703916	0.015011931437376605	98648
SEURAT_PIPELINE:QUERY_PROCESS_SEURAT	Seurat	Query Processing	100	0.02368242640499554	0.007145901709920874	0.005405565467340668	0.001612682659069738	0.03029800401427297	0.019452073130774905	7847
SEURAT_PIPELINE:QUERY_PROCESS_SEURAT	Seurat	Query Processing	500	0.02368242640499554	0.007145844787473717	0.005405565467340668	0.0016126698128472222	0.03029800401427297	0.01945191818047614	8968
