"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"	"key"
"female / male"	1.00350730515068	0.00436336601176847	Inf	1	0.805215184292409	0.69978643713025	"class"
"female / None"	0.71026909002714	0.469661083096934	Inf	1	-0.517375502912011	0.862866679655453	"class"
"male / None"	0.70778666620717	0.468016816057745	Inf	1	-0.522673429447888	0.860252344794327	"class"
"female / male"	0.933318644750296	0.00583497471124809	Inf	1	-11.0380978441824	1.79856129989275e-14	"family"
"female / None"	0.720017181429722	0.521747058557131	Inf	1	-0.453306610695127	0.892934736927409	"family"
"male / None"	0.771459121147588	0.559016899845924	Inf	1	-0.35807813418188	0.931767239434926	"family"
"female / male"	0.96495350978008	0.00613714932603376	Inf	1	-5.60929144486068	6.08927540612925e-08	"global"
"female / None"	1.39108943441981	0.590082553023983	Inf	1	0.778163703113721	0.716464202043389	"global"
"male / None"	1.44161290706829	0.611494351986687	Inf	1	0.862294193442566	0.664112911871892	"global"
"female / male"	0.975404839632822	0.00419870325258032	Inf	1	-5.7851644437762	2.17189503048942e-08	"subclass"
"female / None"	0.633618008471492	0.439222385625377	Inf	1	-0.658267018478168	0.787665520733518	"subclass"
"male / None"	0.64959489919079	0.450295136652309	Inf	1	-0.622345960879558	0.807862242475831	"subclass"
