"sex"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"	"key"
"female"	0.808649626923922	0.0940853307771547	Inf	0.562059065973693	0.932955206809914	"class"
"male"	0.808107286608836	0.0942879371750547	Inf	0.56119949370605	0.932735260062618	"class"
"None"	0.856112610846531	0.0311889271582807	Inf	0.783660569776632	0.907174591763	"class"
"female"	0.9226177268954	0.0474464059088244	Inf	0.764214508964433	0.977708114818283	"family"
"male"	0.927403084934846	0.0447424371201919	Inf	0.776425498346253	0.979163160642186	"family"
"None"	0.943049562334537	0.0145055203070314	Inf	0.907003044672582	0.96565319894751	"family"
"female"	0.972456288472965	0.010310227046842	Inf	0.943193060588212	0.986855098415313	"global"
"male"	0.97339591769184	0.00996763420964197	Inf	0.94507652308843	0.987309469432743	"global"
"None"	0.962092574763027	0.00646947798534907	Inf	0.947164350954506	0.972923541624269	"global"
"female"	0.778797637692901	0.110422754512721	Inf	0.500594102416567	0.925184643776758	"subclass"
"male"	0.783057869965754	0.108887725847487	Inf	0.506821532950665	0.926889618177778	"subclass"
"None"	0.847481396285911	0.034923275507952	Inf	0.765922464436397	0.904178185490399	"subclass"
