"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"	"key"
"seurat / scvi_rf"	0.850427641130511	0.00365890891154384	Inf	1	-37.6568109498439	0	"class"
"seurat / scvi_knn"	1.29408428980144	0.00520080276313895	Inf	1	64.1476437711542	0	"class"
"scvi_rf / scvi_knn"	1.52168653417844	0.0061320066145591	Inf	1	104.180146552344	0	"class"
"seurat / scvi_rf"	0.775833738788951	0.00480172571242636	Inf	1	-41.0102183503007	0	"family"
"seurat / scvi_knn"	1.46760173567146	0.00797579945102254	Inf	1	70.590473673997	0	"family"
"scvi_rf / scvi_knn"	1.89164464278433	0.0104991060879229	Inf	1	114.850016418684	0	"family"
"seurat / scvi_rf"	0.703539432302448	0.00491769169316643	Inf	1	-50.305415117446	0	"global"
"seurat / scvi_knn"	2.32738632683751	0.0137768389083675	Inf	1	142.706904440845	0	"global"
"scvi_rf / scvi_knn"	3.30811070421562	0.0197776567758137	Inf	1	200.112096497573	0	"global"
"seurat / scvi_rf"	0.872721610274637	0.0037391016540256	Inf	1	-31.7753203347886	0	"subclass"
"seurat / scvi_knn"	1.17430803193376	0.00476644097846415	Inf	1	39.5865001993342	0	"subclass"
"scvi_rf / scvi_knn"	1.34557001695446	0.00546646515617017	Inf	1	73.0616629732746	0	"subclass"
