"effect"	"component"	"group"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	NA	"(Intercept)"	1.91420296991044	0.608026208546058	3.14822444000856	0.00164265516815284	0.0024053164962238	"macro_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"class"	186576.241110416	-373062.482220833	-372560.369060399
"fixed"	"cond"	NA	"referenceDissection Anterior cingulate cortex ACC"	-0.0186883161129293	0.0110835477696483	-1.68613123715731	0.0917705246046322	0.121373919638385	"macro_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"class"	186576.241110416	-373062.482220833	-372560.369060399
"fixed"	"cond"	NA	"referenceDissection Dorsolateral prefrontal cortex DFC"	-1.19899312614449	0.00941847936696256	-127.302198096885	0	0	"macro_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"class"	186576.241110416	-373062.482220833	-372560.369060399
"fixed"	"cond"	NA	"referenceDissection Primary auditory cortexA1"	-0.0164677174583601	0.0110734686442073	-1.48713271220347	0.136979763303584	0.175505321732717	"macro_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"class"	186576.241110416	-373062.482220833	-372560.369060399
"fixed"	"cond"	NA	"referenceDissection Primary somatosensory cortex S1"	-0.0136447743207873	0.0110917114663617	-1.23017753952295	0.218630628736669	0.271631993278891	"macro_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"class"	186576.241110416	-373062.482220833	-372560.369060399
"fixed"	"cond"	NA	"referenceDissection Primary visual cortexV1"	-0.00898602367422275	0.0109619518795029	-0.819746681339221	0.412360532226854	0.479125448380955	"macro_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"class"	186576.241110416	-373062.482220833	-372560.369060399
"fixed"	"cond"	NA	"referenceHuman Multiple Cortical Areas SMART-seq"	-0.746603929481928	0.00959211585608979	-77.8351659512044	0	0	"macro_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"class"	186576.241110416	-373062.482220833	-372560.369060399
"fixed"	"cond"	NA	"referenceSingle-nucleus transcriptome data from the dlPFC"	-0.36785092920481	0.0101206347322918	-36.3466263663396	2.97076499784947e-289	2.03002274853047e-288	"macro_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"class"	186576.241110416	-373062.482220833	-372560.369060399
"fixed"	"cond"	NA	"referencewhole cortex"	-0.311821666571807	0.0102307231312941	-30.4789468515667	4.95480229044929e-204	2.25718771009356e-203	"macro_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"class"	186576.241110416	-373062.482220833	-372560.369060399
"fixed"	"cond"	NA	"referenceWhole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD"	0.0527617864436688	0.0111065157410978	4.75052551795633	2.02888688483509e-06	3.61671140340168e-06	"macro_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"class"	186576.241110416	-373062.482220833	-372560.369060399
