"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"	"key"
"Dissection Angular gyrus AnG seurat / Dissection Anterior cingulate cortex ACC seurat"	1.01886403561953	0.0112926282095658	Inf	1	1.68613123715731	0.999243231404546	"class"
"Dissection Angular gyrus AnG seurat / Dissection Dorsolateral prefrontal cortex DFC seurat"	3.31677566620402	0.0312389831769861	Inf	1	127.302198096885	0	"class"
"Dissection Angular gyrus AnG seurat / Dissection Primary auditory cortexA1 seurat"	1.01660405769349	0.0112573331564428	Inf	1	1.48713271220347	0.999938265910836	"class"
"Dissection Angular gyrus AnG seurat / Dissection Primary somatosensory cortex S1 seurat"	1.0137382890992	0.0112440926050915	Inf	1	1.23017753952295	0.999999180525018	"class"
"Dissection Angular gyrus AnG seurat / Dissection Primary visual cortexV1 seurat"	1.00902651919197	0.0110609001485247	Inf	1	0.819746681339221	0.99999999998312	"class"
"Dissection Angular gyrus AnG seurat / (Human Multiple Cortical Areas SMART-seq seurat)"	2.1098227294543	0.0202376640567373	Inf	1	77.8351659512044	0	"class"
"Dissection Angular gyrus AnG seurat / (Single-nucleus transcriptome data from the dlPFC seurat)"	1.44462667127512	0.0146205388645021	Inf	1	36.3466263663396	0	"class"
"Dissection Angular gyrus AnG seurat / whole cortex seurat"	1.36591108370212	0.0139742581193223	Inf	1	30.4789468515667	0	"class"
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat)"	0.948605956368205	0.0105357069865026	Inf	1	-4.75052551795633	0.000960337985935311	"class"
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat)"	0.944361434033537	0.0105186014397655	Inf	1	-5.13958141044929	0.000137324670329786	"class"
"Dissection Angular gyrus AnG seurat / Dissection Angular gyrus AnG scvi_rf"	0.951552407732992	0.0105785175155553	Inf	1	-4.46703257405896	0.00353253395755959	"class"
"Dissection Angular gyrus AnG seurat / Dissection Anterior cingulate cortex ACC scvi_rf"	0.958648300496632	0.010550424673348	Inf	1	-3.8372562592897	0.0432079003272762	"class"
"Dissection Angular gyrus AnG seurat / Dissection Dorsolateral prefrontal cortex DFC scvi_rf"	1.77300929821999	0.0178375455633051	Inf	1	56.9228482985447	0	"class"
"Dissection Angular gyrus AnG seurat / Dissection Primary auditory cortexA1 scvi_rf"	0.980852784797674	0.0108353941845889	Inf	1	-1.75007255646728	0.998506834397306	"class"
"Dissection Angular gyrus AnG seurat / Dissection Primary somatosensory cortex S1 scvi_rf"	0.971052753721217	0.0107781291017378	Inf	1	-2.64648643902661	0.718242805841952	"class"
"Dissection Angular gyrus AnG seurat / Dissection Primary visual cortexV1 scvi_rf"	1.05261767670286	0.0114297706569371	Inf	1	4.72260798891837	0.00109661079441814	"class"
"Dissection Angular gyrus AnG seurat / (Human Multiple Cortical Areas SMART-seq scvi_rf)"	1.32639771003489	0.0134954308545818	Inf	1	27.7622324764638	0	"class"
"Dissection Angular gyrus AnG seurat / (Single-nucleus transcriptome data from the dlPFC scvi_rf)"	1.32163523215009	0.0137613836803386	Inf	1	26.7824906141361	0	"class"
"Dissection Angular gyrus AnG seurat / whole cortex scvi_rf"	1.10380472970878	0.0120102764850084	Inf	1	9.07682096365578	4.27990975992998e-13	"class"
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD scvi_rf)"	0.823440653422866	0.00939140906967957	Inf	1	-17.0330892594448	0	"class"
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD scvi_rf)"	0.853574606634633	0.00975615421046744	Inf	1	-13.8517612494434	0	"class"
"Dissection Angular gyrus AnG seurat / Dissection Angular gyrus AnG scvi_knn"	1.26677596621641	0.0136295777680085	Inf	1	21.9787386006522	0	"class"
"Dissection Angular gyrus AnG seurat / Dissection Anterior cingulate cortex ACC scvi_knn"	1.58462607192352	0.0162140663808519	Inf	1	44.99057540999	0	"class"
"Dissection Angular gyrus AnG seurat / Dissection Dorsolateral prefrontal cortex DFC scvi_knn"	2.92312701732566	0.0289512909246387	Inf	1	108.302725405855	0	"class"
"Dissection Angular gyrus AnG seurat / Dissection Primary auditory cortexA1 scvi_knn"	1.35380833266898	0.0143154908277275	Inf	1	28.6471349198143	0	"class"
"Dissection Angular gyrus AnG seurat / Dissection Primary somatosensory cortex S1 scvi_knn"	1.29393254486785	0.0137830112862708	Inf	1	24.1912583297363	0	"class"
"Dissection Angular gyrus AnG seurat / Dissection Primary visual cortexV1 scvi_knn"	1.51770103251743	0.0158417345888006	Inf	1	39.9691003503996	0	"class"
"Dissection Angular gyrus AnG seurat / (Human Multiple Cortical Areas SMART-seq scvi_knn)"	2.6584123979354	0.0264728124348145	Inf	1	98.184020767078	0	"class"
"Dissection Angular gyrus AnG seurat / (Single-nucleus transcriptome data from the dlPFC scvi_knn)"	1.59254423934124	0.0164780133557031	Inf	1	44.9728492130339	0	"class"
"Dissection Angular gyrus AnG seurat / whole cortex scvi_knn"	1.79249500330429	0.0184078270479391	Inf	1	56.8299195794595	0	"class"
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD scvi_knn)"	1.45903273587975	0.0151835799830245	Inf	1	36.3013337528547	0	"class"
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD scvi_knn)"	1.29325073032172	0.0137419637393357	Inf	1	24.2011304867909	0	"class"
"Dissection Anterior cingulate cortex ACC seurat / Dissection Dorsolateral prefrontal cortex DFC seurat"	3.25536631998911	0.0305666063033476	Inf	1	125.703340690363	0	"class"
"Dissection Anterior cingulate cortex ACC seurat / Dissection Primary auditory cortexA1 seurat"	0.997781865050652	0.0110249820378468	Inf	1	-0.20096840606896	1	"class"
"Dissection Anterior cingulate cortex ACC seurat / Dissection Primary somatosensory cortex S1 seurat"	0.994969155509337	0.0110121316834214	Inf	1	-0.455694561413418	1	"class"
"Dissection Anterior cingulate cortex ACC seurat / Dissection Primary visual cortexV1 seurat"	0.990344622949042	0.0108321650690923	Inf	1	-0.887044564559736	0.999999999842676	"class"
