"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"	"key"
"Dissection Angular gyrus AnG"	"seurat"	0.860562797928218	0.0495825473330987	Inf	0.733040019121638	0.932757701527278	"class"
"Dissection Anterior cingulate cortex ACC"	"seurat"	0.858305156379283	0.0502531310409002	Inf	0.729367060908337	0.931576003855758	"class"
"Dissection Dorsolateral prefrontal cortex DFC"	"seurat"	0.650441203574285	0.0939384781484948	Inf	0.452941208311407	0.807018490530575	"class"
"Dissection Primary auditory cortexA1"	"seurat"	0.858575005030717	0.050173102714743	Inf	0.729805461921099	0.931717317645752	"class"
"Dissection Primary somatosensory cortex S1"	"seurat"	0.858917431137892	0.0500716763765823	Inf	0.730361457582543	0.931896790940151	"class"
"Dissection Primary visual cortexV1"	"seurat"	0.859481027105117	0.0499040505263198	Inf	0.73127897029402	0.932191532644359	"class"
"Human Multiple Cortical Areas SMART-seq"	"seurat"	0.745236950447768	0.0784439733645255	Inf	0.56551368225152	0.867974427403026	"class"
"Single-nucleus transcriptome data from the dlPFC"	"seurat"	0.810324693543228	0.0635043710829332	Inf	0.655276296763261	0.905674543754427	"class"
"whole cortex"	"seurat"	0.818786962532986	0.0613061421638464	Inf	0.667816205697362	0.910354950204162	"class"
"Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD"	"seurat"	0.866774312102305	0.0477147160121401	Inf	0.743240647287138	0.935991318684021	"class"
"Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD"	"seurat"	0.867291318534671	0.0475590725186058	Inf	0.744091712506637	0.936260659952916	"class"
"Dissection Angular gyrus AnG"	"scvi_rf"	0.866415780242005	0.0478229714372639	Inf	0.742649547109857	0.935804896131073	"class"
"Dissection Anterior cingulate cortex ACC"	"scvi_rf"	0.865553549643149	0.0480833706829779	Inf	0.741228277201631	0.935356741505816	"class"
"Dissection Dorsolateral prefrontal cortex DFC"	"scvi_rf"	0.776831085454415	0.0716274595046652	Inf	0.607666372464632	0.886660511709099	"class"
"Dissection Primary auditory cortexA1"	"scvi_rf"	0.862866508369193	0.0488922746523742	Inf	0.73681148142203	0.933958508761489	"class"
"Dissection Primary somatosensory cortex S1"	"scvi_rf"	0.864050384392783	0.0485368393804105	Inf	0.73875362927091	0.93457533478041	"class"
"Dissection Primary visual cortexV1"	"scvi_rf"	0.854294954068438	0.051431616850766	Inf	0.722893197152344	0.929466687383761	"class"
"Human Multiple Cortical Areas SMART-seq"	"scvi_rf"	0.823101802323295	0.0601598997545924	Inf	0.674301364390188	0.912719882663867	"class"
"Single-nucleus transcriptome data from the dlPFC"	"scvi_rf"	0.823624935306812	0.0600198686985915	Inf	0.675091563342621	0.913005739807061	"class"
"whole cortex"	"scvi_rf"	0.848284523240835	0.053176644618011	Inf	0.7132808838684	0.926289813617609	"class"
"Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD"	"scvi_rf"	0.882283688247066	0.0429140799321123	Inf	0.769304643966792	0.943963439708522	"class"
"Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD"	"scvi_rf"	0.878499246323092	0.0441046021488407	Inf	0.762861374237816	0.942032525154909	"class"
"Dissection Angular gyrus AnG"	"scvi_knn"	0.82969923563316	0.0583825681504852	Inf	0.684313591223842	0.916317070926213	"class"
"Dissection Anterior cingulate cortex ACC"	"scvi_knn"	0.795698547439215	0.0671664089846907	Inf	0.634093658054653	0.89747037418781	"class"
"Dissection Dorsolateral prefrontal cortex DFC"	"scvi_knn"	0.678594093154957	0.0901115386916037	Inf	0.484390808359511	0.825935921398093	"class"
"Dissection Primary auditory cortexA1"	"scvi_knn"	0.820103762827162	0.0609581478283704	Inf	0.669788751214389	0.911078210170241	"class"
"Dissection Primary somatosensory cortex S1"	"scvi_knn"	0.826681161680678	0.0592006568673142	Inf	0.679714895271193	0.914675716235163	"class"
"Dissection Primary visual cortexV1"	"scvi_knn"	0.802623956184158	0.065455112338381	Inf	0.644044447399559	0.901374344146327	"class"
"Human Multiple Cortical Areas SMART-seq"	"scvi_knn"	0.698937439762097	0.0869401981019102	Inf	0.50811199320597	0.839165962711169	"class"
"Single-nucleus transcriptome data from the dlPFC"	"scvi_knn"	0.794887073136036	0.0673637605697942	Inf	0.632938248381607	0.897010078781801	"class"
"whole cortex"	"scvi_knn"	0.774930438155257	0.0720632088911524	Inf	0.605050851770232	0.885560249885024	"class"
"Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD"	"scvi_knn"	0.8087948785383	0.0638952324742294	Inf	0.653032763574312	0.904822924583037	"class"
"Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD"	"scvi_knn"	0.826756667096108	0.0591802380343561	Inf	0.679829727853319	0.914716806600563	"class"
"Dissection Angular gyrus AnG"	"seurat"	0.959136136338321	0.0176248737773291	Inf	0.906736635048998	0.982658328027286	"family"
"Dissection Anterior cingulate cortex ACC"	"seurat"	0.955266642507374	0.019214834688905	Inf	0.898435528026865	0.980971039924342	"family"
"Dissection Dorsolateral prefrontal cortex DFC"	"seurat"	0.703154355225172	0.0938297470067825	Inf	0.495325260038019	0.851121935926343	"family"
"Dissection Primary auditory cortexA1"	"seurat"	0.957402207740415	0.0183387758134556	Inf	0.903007261307718	0.981903026425835	"family"
"Dissection Primary somatosensory cortex S1"	"seurat"	0.957444765209817	0.0183214994494431	Inf	0.903097690851196	0.98192176546566	"family"
"Dissection Primary visual cortexV1"	"seurat"	0.958298288856192	0.0179702349840123	Inf	0.904932162547654	0.98229360886963	"family"
"Human Multiple Cortical Areas SMART-seq"	"seurat"	0.911613502719696	0.0362242207904772	Inf	0.810359166067596	0.961381807750581	"family"
"Single-nucleus transcriptome data from the dlPFC"	"seurat"	0.8836857172984	0.0462093821726574	Inf	0.758900440109007	0.948287127242766	"family"
"whole cortex"	"seurat"	0.902040808145752	0.0397252776232057	Inf	0.792320728226811	0.956944120924906	"family"
"Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD"	"seurat"	0.956449204440378	0.0187300606257068	Inf	0.900964594904629	0.981487277880277	"family"
"Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD"	"seurat"	0.956304528175037	0.018789562294193	Inf	0.900654227984745	0.981424267950699	"family"
"Dissection Angular gyrus AnG"	"scvi_rf"	0.962503244430943	0.0162276241211371	Inf	0.914041926252738	0.98411784146632	"family"
"Dissection Anterior cingulate cortex ACC"	"scvi_rf"	0.958013740204666	0.0180853013700066	Inf	0.904329021387939	0.982167883926982	"family"
"Dissection Dorsolateral prefrontal cortex DFC"	"scvi_rf"	0.854356873736863	0.0559369346400925	Inf	0.708499047419918	0.934027874146161	"family"
"Dissection Primary auditory cortexA1"	"scvi_rf"	0.958657101286371	0.0178202931937196	Inf	0.905713380787965	0.982448041991008	"family"
"Dissection Primary somatosensory cortex S1"	"scvi_rf"	0.961203319366761	0.016767430867078	Inf	0.911217316658979	0.983554363646512	"family"
"Dissection Primary visual cortexV1"	"scvi_rf"	0.95421945088199	0.0196413651769706	Inf	0.896209697574184	0.980511825377726	"family"
"Human Multiple Cortical Areas SMART-seq"	"scvi_rf"	0.936350265876673	0.0267944856300086	Inf	0.859050585536881	0.972608854639369	"family"
"Single-nucleus transcriptome data from the dlPFC"	"scvi_rf"	0.913034336699271	0.0356967834796707	Inf	0.813076465135702	0.962035312849165	"family"
"whole cortex"	"scvi_rf"	0.937298352981892	0.0264227305539196	Inf	0.860976604181336	0.973032964838192	"family"
"Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD"	"scvi_rf"	0.96626999245567	0.014654507351534	Inf	0.922284194426377	0.985745366732954	"family"
"Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD"	"scvi_rf"	0.966314466322981	0.0146362276919745	Inf	0.922380414950668	0.985764851982916	"family"
"Dissection Angular gyrus AnG"	"scvi_knn"	0.936889905245926	0.0265835856730526	Inf	0.860143881171018	0.972850837633024	"family"
"Dissection Anterior cingulate cortex ACC"	"scvi_knn"	0.913941273518916	0.0353584325649745	Inf	0.814818797090649	0.962451196381535	"family"
"Dissection Dorsolateral prefrontal cortex DFC"	"scvi_knn"	0.72214956651554	0.0901984807112824	Inf	0.518512039371642	0.862500637446248	"family"
"Dissection Primary auditory cortexA1"	"scvi_knn"	0.933204050539948	0.0280248125524587	Inf	0.852683184285423	0.971200091069553	"family"
"Dissection Primary somatosensory cortex S1"	"scvi_knn"	0.928698326598267	0.0297699891395607	Inf	0.843659019638365	0.96917201716935	"family"
