"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"	"key"
"seurat"	0.830060876337892	0.0582769074955209	Inf	0.68488792178233	0.916505760024294	"class"
"scvi_rf"	0.851709802688861	0.0521790488432287	Inf	0.718765202532527	0.928096087141742	"class"
"scvi_knn"	0.790551916590571	0.0684064846644565	Inf	0.626803619374995	0.894540421411586	"class"
"seurat"	0.934270881313243	0.0276045218056395	Inf	0.85485271238599	0.971674779980893	"family"
"scvi_rf"	0.94824252447741	0.0220619402173113	Inf	0.883602269830859	0.97788398077186	"family"
"scvi_knn"	0.906412255340966	0.0381316053076404	Inf	0.80052348947746	0.958972514337923	"family"
"seurat"	0.974175934832797	0.00662225981502582	Inf	0.957480937130481	0.984422335888649	"global"
"scvi_rf"	0.981691585984903	0.00473123154274396	Inf	0.969704131679924	0.988989705772526	"global"
"scvi_knn"	0.941889369706587	0.0144058006170813	Inf	0.906334745001665	0.964476705719273	"global"
"seurat"	0.806473615047181	0.0682913626590238	Inf	0.638684670010101	0.907614933013894	"subclass"
"scvi_rf"	0.826840114733378	0.0626474814148762	Inf	0.669472388845104	0.918414124026855	"subclass"
"scvi_knn"	0.780156439284071	0.0750462506116221	Inf	0.600844340614136	0.893230473028566	"subclass"
