name	mean duration (hours)	std duration (hours)	mean realtime (hours)	std realtime (hours)	mean %cpu	std %cpu	mean peak virtual memory (GB)	std peak virtual memory (GB)
SCVI Random Forest	0.028905764966740573	0.35856527836244523	0.014307027593003202	0.34748089718321445	106.95023651145603	25.94894087143436	0.013082299750554324	0.0013564811749001233
SCVI pre-process query	0.04618847006651885	0.024879770583309646	0.032584380389258434	0.02418067080220763	449.26252771618624	237.14485975671232	0.02344551171008869	0.0018647232799192314
Seurat TransferData	0.017955830664367248	0.0011615909754143971	0.007093058635131806	0.002321723210572316	214.89416112342943	33.53611031324319	0.014781078217387288	0.01071207772272147
Seurat pre-process query	0.03468563685636856	0.014156682053533574	0.025210027100271003	0.011726419805519797	673.9008869179601	237.94827719004587	0.03210746951219512	0.018921106443421636
Seurat pre-process reference	1.152787037037037	3.308633242906749	1.0836166666666667	3.1225439522339684	385.87333333333333	198.70968193813655	0.036796875	0.017640257318112328
