"method"	"cutoff"	"fit"	"se"	"lower"	"upper"
"seurat"	0	0.899010470320119	0.0244274283902255	0.840091083505699	0.937827295012099
"scvi"	0	0.802577479710845	0.042619485687838	0.705836192768272	0.873218200923827
"seurat"	0.05	0.88852635334247	0.026641372492896	0.82470464539931	0.931054351903175
"scvi"	0.05	0.753898058149152	0.0498902015724635	0.643925201927281	0.838428408493741
"seurat"	0.1	0.877102626368167	0.028987371322611	0.80817119058244	0.92360577098577
"scvi"	0.1	0.69773608983616	0.0566973267018743	0.576786462905319	0.796325615566894
"seurat"	0.15	0.864686490095152	0.0314587714214361	0.790469621003286	0.915427866684554
"scvi"	0.15	0.63496335490951	0.0623020353796238	0.506676316613072	0.746575770327287
"seurat"	0.2	0.851228734714088	0.0340453453141063	0.771591017097537	0.906465696061087
"scvi"	0.2	0.567239868909025	0.0659777721925133	0.436292293997516	0.68942248760528
"seurat"	0.25	0.836685319592525	0.0367328538202814	0.751540559906781	0.896663752142257
"scvi"	0.25	0.496906983237407	0.0671905419298384	0.368374710970431	0.625849362090281
"seurat"	0.5	0.746732437742582	0.0508688940403335	0.635073575917399	0.83319966323342
"scvi"	0.5	0.193531173215194	0.0419997264637689	0.12404339069843	0.289098143230821
"seurat"	0.75	0.629191932183333	0.0628764748939478	0.500126444424654	0.742116391066122
"scvi"	0.75	0.0550921037042626	0.0140529257262901	0.0332071766817256	0.0900566101679977
