key	study	reference	method	macro_f1_mean	cutoff	subsample_ref
subclass	GSE181021.2	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_rf	0.7077	0.0	100
subclass	GSE181021.2	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	seurat	0.8653	0.0	100
subclass	GSE181021.2	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_knn	0.8875	0.0	100
subclass	GSE181021.2	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_rf	0.8845	0.0	100
subclass	GSE181021.2	Single-cell RNA-seq for all cortical  hippocampal regions 10x	seurat	0.9031	0.0	100
subclass	GSE181021.2	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_knn	0.8833	0.0	100
subclass	GSE181021.2	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_rf	0.8065	0.0	100
subclass	GSE181021.2	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	seurat	0.8842	0.0	100
subclass	GSE181021.2	whole cortex	scvi_knn	0.6624	0.0	100
subclass	GSE181021.2	whole cortex	scvi_rf	0.6151	0.0	100
subclass	GSE181021.2	whole cortex	seurat	0.5484	0.0	100
subclass	GSE185454	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_knn	0.6667	0.0	100
subclass	GSE185454	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_rf	0.641	0.0	100
subclass	GSE185454	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	seurat	0.6443	0.0	100
subclass	GSE185454	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_knn	0.8073	0.0	100
subclass	GSE185454	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_rf	0.8327	0.0	100
subclass	GSE185454	Single-cell RNA-seq for all cortical  hippocampal regions 10x	seurat	0.9553	0.0	100
subclass	GSE185454	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_knn	0.9015	0.0	100
subclass	GSE185454	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_rf	0.8385	0.0	100
subclass	GSE185454	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	seurat	0.7587	0.0	100
subclass	GSE185454	whole cortex	scvi_knn	0.6176	0.0	100
subclass	GSE185454	whole cortex	scvi_rf	0.6012	0.0	100
subclass	GSE185454	whole cortex	seurat	0.7545	0.0	100
subclass	GSE199460.2	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_knn	0.9434	0.0	100
subclass	GSE199460.2	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_rf	0.9407	0.0	100
subclass	GSE199460.2	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	seurat	0.9434	0.0	100
subclass	GSE199460.2	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_knn	0.9405	0.0	100
subclass	GSE199460.2	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_rf	0.9437	0.0	100
subclass	GSE199460.2	Single-cell RNA-seq for all cortical  hippocampal regions 10x	seurat	0.9434	0.0	100
subclass	GSE199460.2	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_knn	0.9378	0.0	100
subclass	GSE199460.2	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_rf	0.9407	0.0	100
subclass	GSE199460.2	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	seurat	0.9251	0.0	100
subclass	GSE199460.2	whole cortex	scvi_knn	0.9407	0.0	100
subclass	GSE199460.2	whole cortex	scvi_rf	0.9352	0.0	100
subclass	GSE199460.2	whole cortex	seurat	0.9464	0.0	100
subclass	GSE214244.1	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_knn	0.6842	0.0	100
subclass	GSE214244.1	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_rf	0.6867	0.0	100
subclass	GSE214244.1	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	seurat	0.6785	0.0	100
subclass	GSE214244.1	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_knn	0.9475	0.0	100
subclass	GSE214244.1	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_rf	0.9273	0.0	100
subclass	GSE214244.1	Single-cell RNA-seq for all cortical  hippocampal regions 10x	seurat	0.9475	0.0	100
subclass	GSE214244.1	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_knn	0.924	0.0	100
subclass	GSE214244.1	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_rf	0.8426	0.0	100
subclass	GSE214244.1	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	seurat	0.9245	0.0	100
subclass	GSE214244.1	whole cortex	scvi_knn	0.5923	0.0	100
subclass	GSE214244.1	whole cortex	scvi_rf	0.5256	0.0	100
subclass	GSE214244.1	whole cortex	seurat	0.6886	0.0	100
subclass	GSE247339.1	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_knn	0.5581	0.0	100
subclass	GSE247339.1	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_rf	0.5348	0.0	100
subclass	GSE247339.1	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	seurat	0.6574	0.0	100
subclass	GSE247339.1	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_knn	0.7529	0.0	100
subclass	GSE247339.1	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_rf	0.7185	0.0	100
subclass	GSE247339.1	Single-cell RNA-seq for all cortical  hippocampal regions 10x	seurat	0.7765	0.0	100
subclass	GSE247339.1	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_knn	0.6869	0.0	100
subclass	GSE247339.1	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_rf	0.5695	0.0	100
subclass	GSE247339.1	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	seurat	0.6369	0.0	100
subclass	GSE247339.1	whole cortex	scvi_knn	0.5113	0.0	100
subclass	GSE247339.1	whole cortex	scvi_rf	0.483	0.0	100
subclass	GSE247339.1	whole cortex	seurat	0.4853	0.0	100
subclass	GSE247339.2	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_knn	0.604	0.0	100
subclass	GSE247339.2	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_rf	0.5553	0.0	100
subclass	GSE247339.2	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	seurat	0.7187	0.0	100
subclass	GSE247339.2	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_knn	0.7583	0.0	100
subclass	GSE247339.2	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_rf	0.7352	0.0	100
subclass	GSE247339.2	Single-cell RNA-seq for all cortical  hippocampal regions 10x	seurat	0.7526	0.0	100
subclass	GSE247339.2	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_knn	0.714	0.0	100
subclass	GSE247339.2	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_rf	0.5861	0.0	100
subclass	GSE247339.2	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	seurat	0.6452	0.0	100
subclass	GSE247339.2	whole cortex	scvi_knn	0.5465	0.0	100
subclass	GSE247339.2	whole cortex	scvi_rf	0.4954	0.0	100
subclass	GSE247339.2	whole cortex	seurat	0.4356	0.0	100
