key	study	reference	method	macro_f1_mean	cutoff	subsample_ref
class	GSE214244.1	Single-cell RNA-seq for all cortical  hippocampal regions 10x	seurat	0.9537	0.0	100
class	GSE214244.1	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_knn	0.8214	0.0	100
class	GSE214244.1	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_rf	0.8409	0.0	100
class	GSE214244.1	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	seurat	0.764	0.0	100
class	GSE214244.1	whole cortex	scvi_knn	0.5722	0.0	100
class	GSE214244.1	whole cortex	scvi_rf	0.5055	0.0	100
class	GSE214244.1	whole cortex	seurat	0.7378	0.0	100
class	GSE247339.1	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_knn	0.552	0.0	100
class	GSE247339.1	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_rf	0.5317	0.0	100
class	GSE247339.1	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	seurat	0.6489	0.0	100
class	GSE247339.1	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_knn	0.7433	0.0	100
class	GSE247339.1	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_rf	0.7166	0.0	100
class	GSE247339.1	Single-cell RNA-seq for all cortical  hippocampal regions 10x	seurat	0.7674	0.0	100
class	GSE247339.1	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_knn	0.668	0.0	100
class	GSE247339.1	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_rf	0.5693	0.0	100
class	GSE247339.1	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	seurat	0.6214	0.0	100
class	GSE247339.1	whole cortex	scvi_knn	0.5064	0.0	100
class	GSE247339.1	whole cortex	scvi_rf	0.4913	0.0	100
class	GSE247339.1	whole cortex	seurat	0.4817	0.0	100
class	GSE247339.2	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_knn	0.6006	0.0	100
class	GSE247339.2	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_rf	0.5538	0.0	100
class	GSE247339.2	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	seurat	0.7175	0.0	100
class	GSE247339.2	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_knn	0.7554	0.0	100
class	GSE247339.2	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_rf	0.7326	0.0	100
class	GSE247339.2	Single-cell RNA-seq for all cortical  hippocampal regions 10x	seurat	0.7531	0.0	100
class	GSE247339.2	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_knn	0.7085	0.0	100
class	GSE247339.2	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_rf	0.5869	0.0	100
class	GSE247339.2	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	seurat	0.6366	0.0	100
class	GSE247339.2	whole cortex	scvi_knn	0.545	0.0	100
