metric	method	key	n	mean	std	median	q25	q75
label_f1	scvi_knn	class	707328	0.6462211579590158	0.3814232114303616	0.8444444444444444	0.25	0.9523809523809524
label_f1	scvi_knn	family	815616	0.8259391057305199	0.2529653330558152	0.9230769230769232	0.8	0.989010989010989
label_f1	scvi_knn	global	349056	0.7683022319033704	0.26593287736304433	0.9090909090909092	0.6	0.9696969696969696
label_f1	scvi_knn	subclass	722304	0.649742046445162	0.3803172196905855	0.8461538461538461	0.2666666666666666	0.9565217391304348
label_f1	scvi_rf	class	707328	0.5254459898075801	0.39610284568583765	0.6363636363636364	0.0	0.912280701754386
label_f1	scvi_rf	family	815616	0.6885145210922647	0.35016847417069474	0.8571428571428571	0.4827586206896552	0.9655172413793104
label_f1	scvi_rf	global	349056	0.6511491291093698	0.33433354803531223	0.7894736842105263	0.4	0.9418604651162792
label_f1	scvi_rf	subclass	722304	0.5257694082691474	0.3935997103773201	0.6363636363636364	0.0	0.9090909090909092
label_f1	seurat	class	707328	0.6552222364706587	0.3860968861181199	0.8571428571428571	0.2666666666666666	0.9714285714285714
label_f1	seurat	family	815616	0.802407007542954	0.3024324552945722	0.9411764705882352	0.7777777777777778	1.0
label_f1	seurat	global	349056	0.7431529073803309	0.31958420148461225	0.9078014184397164	0.544	0.9888888888888888
label_f1	seurat	subclass	722304	0.6612806737907367	0.3889698571940679	0.8571428571428571	0.2666666666666666	0.981132075471698
