study	query	query_region	count
pineda	pineda 200721 FTLD 210 snRNA-A11	primary motor cortex	15360
pineda	pineda 191113 FTLD 225 snRNA-H5	primary motor cortex	15360
pineda	pineda 191113 FTLD 228 snRNA-E5	primary motor cortex	15360
pineda	pineda 191113 FTLD 229 snRNA-E6	primary motor cortex	15360
pineda	pineda 191114 PN 301 snRNA-E7	primary motor cortex	15360
pineda	pineda 191114 PN 303 snRNA-E8	primary motor cortex	15360
pineda	pineda 191114 PN 306 snRNA-E10	primary motor cortex	15360
pineda	pineda 191114 PN 318 snRNA-F3	primary motor cortex	15360
pineda	pineda 191114 PN 328 snRNA-F9	primary motor cortex	15360
pineda	pineda 200721 FTLD 206 snRNA-A10	primary motor cortex	15360
pineda	pineda 200721 FTLD 214 snRNA-A12	primary motor cortex	15360
pineda	pineda 200721 PN 302 snRNA-B4	primary motor cortex	15360
pineda	pineda 201019 ALS 101 snRNA-B1	primary motor cortex	15360
pineda	pineda 201019 ALS 103 snRNA-B3	primary motor cortex	15360
pineda	pineda 201019 ALS 104 snRNA-B4	primary motor cortex	15360
pineda	pineda 201019 ALS 106 snRNA-B5	primary motor cortex	15360
pineda	pineda 201019 ALS 108 snRNA-B6	primary motor cortex	15360
pineda	pineda 201019 ALS 113 snRNA-B7	primary motor cortex	15360
pineda	pineda 201019 PN 311 snRNA-B8	primary motor cortex	15360
pineda	pineda 191113 FTLD 226 snRNA-E4	primary motor cortex	15360
pineda	pineda 191113 FTLD 218 snRNA-H4	primary motor cortex	15360
pineda	pineda 201025 FTLD 237 snRNA-C9	primary motor cortex	15360
pineda	pineda 191113 FTLD 217 snRNA-D11	primary motor cortex	15360
pineda	pineda 191112 ALS 118 snRNA-C4	primary motor cortex	15360
pineda	pineda 191112 ALS 117 snRNA-C3	primary motor cortex	15360
pineda	pineda 191112 ALS 116 snRNA-C2	primary motor cortex	15360
pineda	pineda 191112 ALS 115 snRNA-C1	primary motor cortex	15360
pineda	pineda 191112 ALS 114 snRNA-B12	primary motor cortex	15360
pineda	pineda 191112 ALS 112 snRNA-D1	primary motor cortex	15360
pineda	pineda 191112 ALS 111 snRNA-B10	primary motor cortex	15360
pineda	pineda 191112 ALS 110 snRNA-B9	primary motor cortex	15360
pineda	pineda 191112 ALS 126 snRNA-A6	primary motor cortex	15360
pineda	pineda 191112 ALS 128 snRNA-A7	primary motor cortex	15360
pineda	pineda 191112 ALS 129 snRNA-A2	primary motor cortex	15360
pineda	pineda 191112 ALS 130 snRNA-A5	primary motor cortex	15360
pineda	pineda 191113 FTLD 204 snRNA-D4	primary motor cortex	15360
pineda	pineda 191113 FTLD 207 snRNA-D5	primary motor cortex	15360
pineda	pineda 191113 FTLD 209 snRNA-D6	primary motor cortex	15360
pineda	pineda 191113 FTLD 211 snRNA-D7	primary motor cortex	15360
pineda	pineda 191113 FTLD 214 snRNA-D9	primary motor cortex	15360
pineda	pineda 201025 FTLD 234 snRNA-C6	primary motor cortex	15360
pineda	pineda 191112 ALS 120 snRNA-A1	primary motor cortex	15360
pineda	pineda 201025 FTLD 239 snRNA-C11	primary motor cortex	15360
pineda	pineda 201025 FTLD 240 snRNA-C12	primary motor cortex	15360
pineda	pineda 201025 FTLD 238 snRNA-C10	primary motor cortex	15360
pineda	pineda 191113 FTLD 202 snRNA-D3	primary motor cortex	14880
pineda	pineda 191114 PN 307 snRNA-E11	primary motor cortex	14880
pineda	pineda 191114 PN 322 snRNA-F5	primary motor cortex	14880
pineda	pineda 191112 ALS 122 snRNA-D2	primary motor cortex	14880
pineda	pineda 191114 PN 317 snRNA-F2	primary motor cortex	14880
pineda	pineda 191114 PN 309 snRNA-F1	primary motor cortex	14880
pineda	pineda 191114 PN 304 snRNA-E9	primary motor cortex	14880
pineda	pineda 191114 PN 324 snRNA-F7	primary motor cortex	14880
pineda	pineda 191112 ALS 124 snRNA-A3	primary motor cortex	14880
pineda	pineda 191112 ALS 127 snRNA-A4	primary motor cortex	14880
pineda	pineda 191113 FTLD 222 snRNA-E1	primary motor cortex	14880
pineda	pineda 191113 FTLD 216 snRNA-H3	primary motor cortex	14880
pineda	pineda 191114 PN 325 snRNA-F8	primary motor cortex	14880
pineda	pineda 191114 PN 323 snRNA-F6	primary motor cortex	14400
pineda	pineda 191114 PN 319 snRNA-F4	primary motor cortex	13920
pineda	pineda 201025 FTLD 235 snRNA-C7	primary motor cortex	13920
pineda	pineda 201025 FTLD 232 snRNA-C5	primary motor cortex	13920
pineda	pineda 200721 FTLD 229 snRNA-B2	primary motor cortex	12480
pineda	pineda 201019 ALS 102 snRNA-B2	primary motor cortex	12480
nagy	nagy B6	dorsolateral prefrontal cortex	11520
nagy	nagy B1	dorsolateral prefrontal cortex	11520
lim	lim C5227Cin	cingulate cortex	11520
lim	lim C5596Cin	cingulate cortex	11520
lim	lim C5700Cin	cingulate cortex	11520
lim	lim H5109Cin	cingulate cortex	11520
lim	lim H5286Cin	cingulate cortex	11520
nagy	nagy B5	dorsolateral prefrontal cortex	11520
nagy	nagy B2	dorsolateral prefrontal cortex	11520
nagy	nagy B3	dorsolateral prefrontal cortex	11520
nagy	nagy B4	dorsolateral prefrontal cortex	11520
velmeshev	velmeshev 5958 BA9	prefrontal cortex	11040
velmeshev	velmeshev 5936 PFC Nova	prefrontal cortex	11040
velmeshev	velmeshev 5978 BA24	anterior cingulate cortex	11040
velmeshev	velmeshev 6032 BA24	anterior cingulate cortex	11040
velmeshev	velmeshev 6033 BA24	anterior cingulate cortex	11040
velmeshev	velmeshev 5893 BA24	anterior cingulate cortex	11040
velmeshev	velmeshev 5958 BA24	anterior cingulate cortex	11040
velmeshev	velmeshev 5879 PFC Nova	prefrontal cortex	11040
velmeshev	velmeshev 5945 PFC	prefrontal cortex	11040
velmeshev	velmeshev 5864 BA9	prefrontal cortex	11040
velmeshev	velmeshev 5939 BA9	prefrontal cortex	11040
velmeshev	velmeshev 5893 PFC	prefrontal cortex	11040
velmeshev	velmeshev 5531 BA9	prefrontal cortex	11040
velmeshev	velmeshev 5841 BA9	prefrontal cortex	11040
velmeshev	velmeshev 5577 BA9	prefrontal cortex	11040
velmeshev	velmeshev 1823 BA24	anterior cingulate cortex	11040
velmeshev	velmeshev 4341 BA24	anterior cingulate cortex	11040
velmeshev	velmeshev 4341 BA46	prefrontal cortex	11040
velmeshev	velmeshev 4849 BA24	anterior cingulate cortex	11040
velmeshev	velmeshev 4899 BA24	anterior cingulate cortex	11040
velmeshev	velmeshev 5144 PFC	prefrontal cortex	11040
velmeshev	velmeshev 5163 BA24	anterior cingulate cortex	11040
velmeshev	velmeshev 5242 BA24	anterior cingulate cortex	11040
