"effect"	"component"	"group"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	NA	"(Intercept)"	1.64730397582509	0.285018729013336	5.77963413677287	7.48632462479326e-09	9.62527451759134e-09	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"class"	13941.1087175276	-27838.2174350552	-27664.481961391
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	0.387782254715626	0.0226480015543263	17.1221400610311	1.01475254345746e-65	2.60936368317632e-65	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"class"	13941.1087175276	-27838.2174350552	-27664.481961391
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	-0.269579104144575	0.0211204097458565	-12.7639144973247	2.60760405154107e-37	5.21520810308215e-37	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"class"	13941.1087175276	-27838.2174350552	-27664.481961391
"fixed"	"cond"	NA	"referencewhole cortex"	-1.0464225798264	0.0208475672485353	-50.1939898958677	0	0	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"class"	13941.1087175276	-27838.2174350552	-27664.481961391
"fixed"	"cond"	NA	"methodscvi_rf"	-0.275750059566925	0.0242990874128086	-11.3481652574973	7.57352142239163e-30	1.23930350548227e-29	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"class"	13941.1087175276	-27838.2174350552	-27664.481961391
"fixed"	"cond"	NA	"methodscvi_knn"	-0.568059868583684	0.0239519724926717	-23.7166216167577	2.42964115247887e-124	8.74670814892393e-124	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"class"	13941.1087175276	-27838.2174350552	-27664.481961391
"fixed"	"cond"	NA	"cutoff"	-0.218776607067504	0.0312586943371018	-6.99890419952161	2.57972172386907e-12	3.86958258580361e-12	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"class"	13941.1087175276	-27838.2174350552	-27664.481961391
"fixed"	"cond"	NA	"subsample_ref100"	0.00431323457020798	0.0104762903797049	0.411713919133415	0.680549121583825	0.680549121583825	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"class"	13941.1087175276	-27838.2174350552	-27664.481961391
"fixed"	"cond"	NA	"subsample_ref50"	-0.0487684026439297	0.0104228718365661	-4.67897940305065	2.88306399621635e-06	3.24344699574339e-06	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"class"	13941.1087175276	-27838.2174350552	-27664.481961391
"fixed"	"cond"	NA	"treatment_statetreatment"	0.11202998212657	0.0206301091058539	5.43041151899585	5.62242503310838e-08	6.74691003973006e-08	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"class"	13941.1087175276	-27838.2174350552	-27664.481961391
"fixed"	"cond"	NA	"methodscvi_rf:cutoff"	-2.75095938570101	0.0453104649427512	-60.7135545657453	0	0	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"class"	13941.1087175276	-27838.2174350552	-27664.481961391
"fixed"	"cond"	NA	"methodscvi_knn:cutoff"	-0.169168894389546	0.04399294796421	-3.84536390985144	0.000120373658154891	0.000127454461575767	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"class"	13941.1087175276	-27838.2174350552	-27664.481961391
