"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"	"key"
"subsample_ref500 / subsample_ref100"	0.995696054066532	0.0104312009923273	Inf	1	-0.411713919133415	0.910809563961563	"class"
"subsample_ref500 / subsample_ref50"	1.04997715064684	0.0109437772725149	Inf	1	4.67897940305065	8.60511792788454e-06	"class"
"subsample_ref100 / subsample_ref50"	1.05451572933188	0.0109609051461386	Inf	1	5.1068247224743	9.80530772465293e-07	"class"
"subsample_ref500 / subsample_ref100"	0.995244754042903	0.0115691611791323	Inf	1	-0.410048899624618	0.911496409081335	"family"
"subsample_ref500 / subsample_ref50"	1.10569673108716	0.0126788441202735	Inf	1	8.76228228148785	2.33146835171283e-14	"family"
"subsample_ref100 / subsample_ref50"	1.11097971287523	0.0125956316477416	Inf	1	9.28274248070614	3.1641356201817e-14	"family"
"subsample_ref500 / subsample_ref100"	1.04342862595226	0.0124547663656545	Inf	1	3.56155105242186	0.00107379755014581	"global"
"subsample_ref500 / subsample_ref50"	1.23136665680032	0.0145388267479899	Inf	1	17.627128094643	0	"global"
"subsample_ref100 / subsample_ref50"	1.18011584709643	0.0138459224706923	Inf	1	14.1154960940493	0	"global"
"subsample_ref500 / subsample_ref100"	1.00176634491937	0.0101459939771572	Inf	1	0.174246504862672	0.983401018319293	"subclass"
"subsample_ref500 / subsample_ref50"	1.05524721597448	0.0106377812915043	Inf	1	5.33438210694164	2.87170416113369e-07	"subclass"
"subsample_ref100 / subsample_ref50"	1.05338657195497	0.010558133273144	Inf	1	5.18907365739416	6.32745052908668e-07	"subclass"
