"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"	"key"
"seurat"	0.810988454933228	0.0435888775900998	Inf	0.710765545477038	0.88223698353843	"class"
"scvi_rf"	0.815032759523988	0.0428689125307368	Inf	0.716203921142776	0.884972991600434	"class"
"scvi_knn"	0.801605182996085	0.0452228050661737	Inf	0.698259648272974	0.875848454002751	"class"
"seurat"	0.886146106255092	0.0207327532186578	Inf	0.838782998159694	0.920906729521303	"family"
"scvi_rf"	0.90713515276845	0.0173127738717816	Inf	0.867190680173758	0.935952999766632	"family"
"scvi_knn"	0.900516378593158	0.0184121035148437	Inf	0.858168150436392	0.931233465210708	"family"
"seurat"	0.913124074882061	0.0276684183482252	Inf	0.841414300648372	0.954173920162185	"global"
"scvi_rf"	0.93873122412911	0.0200602419790992	Inf	0.885507957400111	0.96810408275511	"global"
"scvi_knn"	0.92382073804035	0.0245439883084929	Inf	0.859589078249266	0.960035410366519	"global"
"seurat"	0.80614065105733	0.0423972537473602	Inf	0.709591090826001	0.876191837557375	"subclass"
"scvi_rf"	0.800684493015655	0.0432947060316721	Inf	0.702422660956431	0.872394108957028	"subclass"
"scvi_knn"	0.791833504385484	0.0447169813282347	Inf	0.690893895209922	0.86619472844932	"subclass"
