"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"	"key"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.844026869443476	0.0374789119356846	Inf	0.755932498607541	0.904347676970325	"class"
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.888576534154003	0.0281927221793151	Inf	0.820270438758106	0.933042012497624	"class"
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.805169281778986	0.0446489662071861	Inf	0.702885156028698	0.878336225863708	"class"
"whole cortex"	"seurat"	0.655223043650524	0.0642896322324135	Inf	0.521062445002884	0.76849922412473	"class"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi_rf"	0.804199410081835	0.0448229520158615	Inf	0.701579774918078	0.877682959388059	"class"
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi_rf"	0.895821202889451	0.0265707996875371	Inf	0.831123299490341	0.937593973420802	"class"
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi_rf"	0.791582884292732	0.0469513911595168	Inf	0.684970227315586	0.869015058756886	"class"
"whole cortex"	"scvi_rf"	0.737559508701943	0.0550931055533266	Inf	0.616678184113708	0.830780989985765	"class"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi_knn"	0.754070454282685	0.0527830844567522	Inf	0.637050940571656	0.842678534638997	"class"
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi_knn"	0.881645753371987	0.0297109304832085	Inf	0.810004754743062	0.928652689431201	"class"
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi_knn"	0.831380662686161	0.0399027343817313	Inf	0.738379051854549	0.895979305477751	"class"
"whole cortex"	"scvi_knn"	0.702960513414263	0.0594264117171066	Inf	0.575329791217939	0.805219361154311	"class"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.908271227798511	0.0171668431528929	Inf	0.868625431530058	0.936823023099131	"family"
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.934281964848541	0.0126641510620264	Inf	0.904662962487667	0.955155178247598	"family"
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.869645089984828	0.0233446827625562	Inf	0.816709330544151	0.908996125723772	"family"
"whole cortex"	"seurat"	0.796235030292727	0.0333911769962181	Inf	0.723032129741575	0.853997212919898	"family"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi_rf"	0.929680800584443	0.0134706019131039	Inf	0.898250924248823	0.951921759561208	"family"
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi_rf"	0.938416296621348	0.0119090671610791	Inf	0.910512207659129	0.958020496195217	"family"
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi_rf"	0.871838695502542	0.0229986956996705	Inf	0.819637581707658	0.910579847700085	"family"
"whole cortex"	"scvi_rf"	0.869174268087769	0.0234099580376341	Inf	0.816104193816278	0.908643408047581	"family"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi_knn"	0.91923041313668	0.0153049326083433	Inf	0.883696674569599	0.944588404940593	"family"
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi_knn"	0.926403638678616	0.0140577587404372	Inf	0.893651745048622	0.949637423265794	"family"
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi_knn"	0.891888637304514	0.0198614490071418	Inf	0.846376882856317	0.925110289434352	"family"
"whole cortex"	"scvi_knn"	0.850314659916282	0.0262042346221682	Inf	0.791428102927623	0.894785885442134	"family"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.910412193100161	0.0284687038722762	Inf	0.836793860953719	0.952700135059579	"global"
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.959626376352688	0.0135355358693142	Inf	0.922986265210969	0.979226891356518	"global"
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.873522344621944	0.038565667611382	Inf	0.777005900704906	0.931924440092021	"global"
"whole cortex"	"seurat"	0.879748390920738	0.0369204448592702	Inf	0.786848850573534	0.935478802779033	"global"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi_rf"	0.942757195315618	0.018839710541069	Inf	0.892571171899308	0.970279177330656	"global"
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi_rf"	0.950087249326093	0.0165552125084872	Inf	0.905683885790608	0.974181752434398	"global"
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi_rf"	0.916011071894141	0.0268517918586657	Inf	0.84622262442113	0.955782528334307	"global"
"whole cortex"	"scvi_rf"	0.941580373337456	0.0192010123180717	Inf	0.890489451923366	0.969647838763986	"global"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi_knn"	0.925644463244272	0.0240237269765404	Inf	0.862654447734134	0.96105008640941	"global"
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi_knn"	0.934912138400568	0.0212430822126496	Inf	0.878734022975123	0.966069877892427	"global"
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi_knn"	0.906503214515895	0.0295800372646306	Inf	0.830282209440897	0.95053249637699	"global"
"whole cortex"	"scvi_knn"	0.925786736838254	0.0239822573507014	Inf	0.862896654179144	0.961128325019361	"global"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.83971765551525	0.0365573914996064	Inf	0.754687369240112	0.899210906128626	"subclass"
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.885809631004854	0.0274820469611424	Inf	0.819967259447501	0.929638170457413	"subclass"
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.800400758695154	0.0433831282934148	Inf	0.701942910328078	0.872253798874509	"subclass"
"whole cortex"	"seurat"	0.647241654507444	0.0619907060069787	Inf	0.518688873032399	0.757511166571712	"subclass"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi_rf"	0.791195817004416	0.04486500681264	Inf	0.689948338975641	0.865811235909434	"subclass"
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi_rf"	0.882317378959212	0.0282043701211999	Inf	0.814900668707762	0.927368166718571	"subclass"
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi_rf"	0.779150124625807	0.0467206103770486	Inf	0.674490377413023	0.857279490171681	"subclass"
"whole cortex"	"scvi_rf"	0.722095953452079	0.0544905062297731	Inf	0.604123627140268	0.815640701531037	"subclass"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi_knn"	0.747226924342122	0.051288321926065	Inf	0.634522143304097	0.834254778171584	"subclass"
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi_knn"	0.869218712269296	0.0308808375799901	Inf	0.796025859272305	0.918825746324683	"subclass"
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi_knn"	0.82474378719185	0.0392524903839497	Inf	0.734302967934226	0.889050863104491	"subclass"
"whole cortex"	"scvi_knn"	0.693659236768692	0.0576960787253554	Inf	0.570801322176728	0.794038747844121	"subclass"
