"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"	"key"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	0.678560080436663	0.0153680297564333	Inf	1	-17.1221400610311	0	"class"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	1.30941320814118	0.0276553434825781	Inf	1	12.7639144973247	0	"class"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex seurat"	2.84744636353497	0.0593623295503924	Inf	1	50.1939898958677	0	"class"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi_rf"	1.31751852172113	0.0320144977272962	Inf	1	11.3481652574973	0	"class"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi_rf)"	0.629309785221483	0.0156252620143729	Inf	1	-18.6526966474724	0	"class"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi_rf)"	1.42476576008002	0.0334822847874103	Inf	1	15.0640153714166	0	"class"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex scvi_rf"	1.92548553001435	0.0461962126340299	Inf	1	27.308214102912	0	"class"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi_knn"	1.76483970679939	0.0422713921112337	Inf	1	23.7166216167577	0	"class"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi_knn)"	0.726434077186005	0.0182525814472278	Inf	1	-12.720053287884	0	"class"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi_knn)"	1.09752378986781	0.0264645195502763	Inf	1	3.85919603103995	0.0063838029064297	"class"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex scvi_knn"	2.28659757458046	0.0542299058280702	Inf	1	34.8730954080899	0	"class"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	1.92969384125655	0.0421893228013106	Inf	1	30.0669951884879	0	"class"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex seurat"	4.19630692348214	0.0907150063541463	Inf	1	66.3436394788411	0	"class"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi_rf"	1.94163871366157	0.0484901565607302	Inf	1	26.5691043410617	0	"class"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi_rf)"	0.927419403771163	0.0235833806225118	Inf	1	-2.96312400445724	0.119534703132451	"class"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi_rf)"	2.09968991863353	0.050811754283039	Inf	1	30.652913415224	0	"class"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex scvi_rf"	2.83760507805774	0.0700461828273204	Inf	1	42.2508357718647	0	"class"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi_knn"	2.6008599056751	0.0641110774256977	Inf	1	38.7766288521001	0	"class"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi_knn)"	1.07055233299096	0.0275406803194905	Inf	1	2.65006523612749	0.251778715393886	"class"
