"subsample_ref"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"	"key"
"500"	0.811548356040282	0.0434780909612665	Inf	0.71154742051801	0.882600881840859	"class"
"100"	0.812207125614484	0.0433613825274749	Inf	0.71243160914187	0.883047210743407	"class"
"50"	0.803976285326968	0.044802730693237	Inf	0.70143644086474	0.877452144114962	"class"
"500"	0.901137884544553	0.0182961550287417	Inf	0.859048898542068	0.93165865284538	"family"
"100"	0.901561721038316	0.0182264838797502	Inf	0.859624538752028	0.931961799935661	"family"
"50"	0.891818909858967	0.0198125433805479	Inf	0.846441786913871	0.924975417061394	"family"
"500"	0.931453784767667	0.0222630100668964	Inf	0.872785942995385	0.964176062209638	"global"
"100"	0.928689199661329	0.0230920718463891	Inf	0.86799087011411	0.962678235060137	"global"
"50"	0.916912191316396	0.0265636427809138	Inf	0.847834989315481	0.956249129003164	"global"
"500"	0.802567417697027	0.0429752105141663	Inf	0.70492091515036	0.873690965301014	"subclass"
"100"	0.802287632690704	0.0430210194827582	Inf	0.704553922599869	0.87349596216639	"subclass"
"50"	0.793907788692311	0.0443754274401937	Inf	0.693615179517796	0.867635455886865	"subclass"
