"method"	"cutoff"	"fit"	"se"	"lower"	"upper"
"seurat"	0	0.98154810412829	0.00421804651619857	0.971181473033923	0.98823083037417
"scvi"	0	0.987302031711207	0.00291991026875166	0.980101994801399	0.991918238613348
"seurat"	0.05	0.979908576791351	0.0045848051452504	0.968651337487172	0.98717687939279
"scvi"	0.05	0.982814567855086	0.00393344806070355	0.973140467832078	0.989043540338295
"seurat"	0.1	0.978126617053111	0.0049820719742399	0.965906571260196	0.98603000248796
"scvi"	0.1	0.976778533482474	0.00528189590681204	0.963833011134443	0.985161703697373
"seurat"	0.15	0.976190450917728	0.00541212146049763	0.962930361851871	0.984782266155952
"scvi"	0.15	0.968690003461726	0.00706221946528814	0.951460854475826	0.979932586426187
"seurat"	0.2	0.974087441473151	0.00587734791561832	0.959704835043688	0.98342510674893
"scvi"	0.2	0.957905483486233	0.009388526082427	0.935140762590081	0.972911544749004
"seurat"	0.25	0.971804046149631	0.0063802619740103	0.956211035246234	0.981949289129974
"scvi"	0.25	0.943622499363853	0.0123861340676546	0.913829851524506	0.963525708187414
"seurat"	0.5	0.957139048857075	0.0095551323939754	0.933978641835236	0.972414710246045
"scvi"	0.5	0.782752292245555	0.0395933385041936	0.695388008377491	0.850448747011105
"seurat"	0.75	0.935354027680467	0.014094720211308	0.901600029054399	0.958067943855981
"scvi"	0.75	0.436814636048071	0.057301561635896	0.329459409626909	0.55043571313051
