label	key	cutoff	n_studies	n_studies_total	frac_studies	mean_f1	std_f1	min_f1	max_f1	mean_precision	std_precision	min_precision	max_precision	mean_recall	std_recall	min_recall	max_recall
Glutamatergic	subclass	0.0	1	8	0.125	0.9920618523264112		0.9920618523264112	0.9920618523264112	0.9916720203597246		0.9916720203597246	0.9916720203597246	0.9932162540754292		0.9932162540754292	0.9932162540754292
Oligodendrocyte	subclass	0.0	8	8	1.0	0.9822281711634425	0.010281011732467923	0.9664665476077661	0.9963765911993732	0.9834427496402872	0.012307998213615733	0.9648522140739076	0.9992313601731269	0.9867028257802981	0.012389090025029368	0.9628103493424731	0.9954698312919754
Non-neuron	subclass	0.0	6	8	0.75	0.9750794299201161	0.027086698032008763	0.925	0.9986111111111111	1.0	0.0	1.0	1.0	0.9720349661855483	0.026997693699957043	0.925	0.9983072916666667
Astrocyte	subclass	0.0	8	8	1.0	0.9741791583781332	0.013214915285405597	0.9520071152135947	0.9909184226850078	0.9765301930301986	0.016354552610277507	0.9521141215486454	0.9942202778880846	0.9805199803994094	0.010790025381589864	0.9562694936092969	0.990435625740827
L2/3-6 IT	subclass	0.0	7	8	0.875	0.9557793721629672	0.02247004823446662	0.9152119054520038	0.9769511480339594	0.989983330800434	0.007791494721370888	0.9792152202260284	0.9973553337240416	0.9381054242135693	0.0279960171281582	0.8889806481647363	0.9671076142691574
OPC	subclass	0.0	8	8	1.0	0.9514994303593093	0.019418832414466305	0.9108412947919526	0.9728316596544151	0.990043526553852	0.017358994014859422	0.9487708121629016	0.9999232186732187	0.9459703653752382	0.018798015285401364	0.9075919312169312	0.966087440824283
Microglia	subclass	0.0	8	8	1.0	0.9359806997260344	0.034036182089445366	0.8895306899460665	0.9894118270510323	0.9658753528104834	0.025438355729361203	0.9141584083685046	0.9864943998555676	0.9432322137205549	0.04339269862399904	0.8830610021786491	0.9967482559528015
L5/6 NP	subclass	0.0	7	8	0.875	0.9288267184440654	0.058989757407187676	0.8368686868686869	0.9997354497354498	0.9999397735485426	0.00015934421290441416	0.9995784148397976	1.0	0.9246985102639865	0.06298399450284235	0.8234848484848485	0.999537037037037
SST	subclass	0.0	7	8	0.875	0.9022749247864007	0.023987181500190954	0.8705219220350799	0.9428199694278125	0.897720929310285	0.03933425179596853	0.8401254750726582	0.949531652841696	0.9476019435373038	0.02872081092758534	0.9152100465353478	0.9923600668337511
LAMP5	subclass	0.0	7	8	0.875	0.8959643968221389	0.03266941292927328	0.8312393011811616	0.9226373626373626	0.9708339632183457	0.025791159677565425	0.9348138523385219	0.9977964743589743	0.8812278822724702	0.035664191922002236	0.8283806527521997	0.9168577297188408
GABAergic	subclass	0.0	2	8	0.25	0.8912687013975839	0.12265709602587649	0.804537037037037	0.9780003657581307	0.9577386845620286	0.028726358675580623	0.9374260815437285	0.9780512875803287	0.9058031641164028	0.11034455956948411	0.8277777777777777	0.983828550455028
VIP	subclass	0.0	7	8	0.875	0.8910847103783143	0.03324715069660611	0.8628050553314243	0.9394278681261368	0.9464053807192551	0.028631491960172614	0.8845860093733727	0.966471924220218	0.8898850795582572	0.044881671395263445	0.8275428456406718	0.935911306042885
PVALB	subclass	0.0	7	8	0.875	0.8892479685334802	0.03688567670097705	0.8463378941021849	0.9377927639103307	0.9629641785244358	0.018352455594660973	0.9357497452969894	0.9856200975850782	0.8655217966619969	0.04882834708797456	0.8017806267806268	0.9308031419638562
Chandelier	subclass	0.0	6	8	0.75	0.8655493353741585	0.024103640410197063	0.83	0.8944444444444445	0.9662560668344096	0.034116194024811176	0.9207858048162231	1.0	0.8832224432655468	0.0068033540297112016	0.8766666666666667	0.8944444444444445
Vascular	subclass	0.0	7	8	0.875	0.8603323885109599	0.11520595723898569	0.6388888888888888	0.95	0.9858199641829535	0.026679005808310917	0.9277671247469905	1.0	0.862989417989418	0.11489526644564911	0.6388888888888888	0.95
PAX6	subclass	0.0	6	8	0.75	0.8263385324808935	0.1424419009875996	0.6092777777777778	0.9568827160493828	0.8426271152187924	0.11720680963915256	0.7067964480874317	0.973700887198986	0.8845646862139919	0.11758905536911322	0.7058333333333333	0.9888888888888889
L6 CT	subclass	0.0	7	8	0.875	0.7955689878825153	0.09951474765923284	0.6614945866099712	0.9667021867021868	0.9440471904820529	0.04268030344600498	0.8652764094143405	0.9898951996607159	0.7871157790494648	0.10090083485770397	0.6494287749287749	0.9678512880562061
Endothelial	subclass	0.0	7	8	0.875	0.7914755223303542	0.10350526226429442	0.6344444444444445	0.9042989601377401	0.9519252274904785	0.06647583926642942	0.8249809087437954	1.0	0.790445587067561	0.1101821706187174	0.63	0.9057613168724279
L6b	subclass	0.0	7	8	0.875	0.7821016663703169	0.11655074615761436	0.6199669312169311	0.9542238576238576	0.8832293975899156	0.07831708720936836	0.7801771871539314	0.9874375096844697	0.8154001704712177	0.10900280920995062	0.6569444444444444	0.9559333333333334
