"cutoff"	"method"	"fit"	"se"	"lower"	"upper"
0	"seurat"	0.504397553752465	0.0620471819862817	0.384862342562749	0.623432150014266
0.05	"seurat"	0.501541602612583	0.0619850096565906	0.382284220091977	0.620623839702742
0.1	"seurat"	0.498685550876079	0.0619355756170083	0.379681704021346	0.617838506295253
0.15	"seurat"	0.495829584913615	0.0618989300120305	0.377055096210096	0.615076648185748
0.2	"seurat"	0.492973891073466	0.0618751038293802	0.37440473520881	0.61233872753397
0.25	"seurat"	0.490118655632888	0.0618641087775158	0.371730996225245	0.609625169733064
0.5	"seurat"	0.475855863040167	0.0620006606373461	0.358027294735943	0.596435102451764
0.75	"seurat"	0.461632346431579	0.0624487804572471	0.343815775220565	0.583896516699177
0	"scvi"	0.563359421396477	0.0610274327449394	0.442377322834041	0.677243831499008
0.05	"scvi"	0.519079299835736	0.0618830465660706	0.399012909123666	0.636981827261227
0.1	"scvi"	0.474497424728361	0.0617754711943715	0.357152372557981	0.594728411731705
0.15	"scvi"	0.430318433096856	0.0607108698235701	0.317341526412094	0.5510494949288
0.2	"scvi"	0.387221833506546	0.0587541809747012	0.280013925008275	0.506595128487305
0.25	"scvi"	0.345821292790608	0.0560208299213754	0.245478484899985	0.462062466992566
0.5	"scvi"	0.17803402959529	0.0363662038641078	0.117443612725522	0.260651675305391
0.75	"scvi"	0.0815111344406046	0.0187705086065603	0.0514921247507738	0.126693135730859
