effect	component	term	estimate	std.error	statistic	p.value	FDR	key	formula	LogLik	AIC	BIC
fixed	cond	(Intercept)	0.4204681153785372	0.011543749976535553	36.42387579713726	1.7834411874368561e-290	4.45860296859214e-290	subclass	macro_f1 ~ ref_type * query_type + cutoff	3820.3656051534776	-7624.731210306955	-7564.798395293955
fixed	cond	ref_typecell_and_nucleus	0.2935636447994402	0.013396173942221978	21.913991716260725	1.910786764257287e-106	3.1846446070954784e-106	subclass	macro_f1 ~ ref_type * query_type + cutoff	3820.3656051534776	-7624.731210306955	-7564.798395293955
fixed	cond	query_typesingle-nucleus	0.24866522369570518	0.029992977064707466	8.290781643957175	1.1250665618546737e-16	1.4063332023183421e-16	subclass	macro_f1 ~ ref_type * query_type + cutoff	3820.3656051534776	-7624.731210306955	-7564.798395293955
fixed	cond	cutoff	-1.5367260701727614	0.027377982859515065	-56.129996065019846	0	0	subclass	macro_f1 ~ ref_type * query_type + cutoff	3820.3656051534776	-7624.731210306955	-7564.798395293955
fixed	cond	ref_typecell_and_nucleus:query_typesingle-nucleus	-0.2879635159104444	0.0423624722593268	-6.7976088399100565	1.0636978525784217e-11	1.0636978525784217e-11	subclass	macro_f1 ~ ref_type * query_type + cutoff	3820.3656051534776	-7624.731210306955	-7564.798395293955
fixed	cond	(Intercept)	0.30717962233098545	0.012017339506590808	25.561366736998266	4.104650193540551e-144	1.0261625483851376e-143	class	macro_f1 ~ ref_type * query_type + cutoff	3188.8939275661824	-6361.787855132365	-6301.855040119364
fixed	cond	ref_typecell_and_nucleus	0.3044304936354969	0.01397019231196714	21.791431845552747	2.7976526665239796e-105	4.6627544442066325e-105	class	macro_f1 ~ ref_type * query_type + cutoff	3188.8939275661824	-6361.787855132365	-6301.855040119364
fixed	cond	query_typesingle-nucleus	0.426634405540483	0.03141078783873851	13.582416580278206	5.091830529531156e-42	6.364788161913945e-42	class	macro_f1 ~ ref_type * query_type + cutoff	3188.8939275661824	-6361.787855132365	-6301.855040119364
fixed	cond	cutoff	-1.5123402859882344	0.028640922651634686	-52.80347649351713	0	0	class	macro_f1 ~ ref_type * query_type + cutoff	3188.8939275661824	-6361.787855132365	-6301.855040119364
fixed	cond	ref_typecell_and_nucleus:query_typesingle-nucleus	-0.20288010000340764	0.044435897292318574	-4.565680280264726	4.978771038882302e-6	4.978771038882302e-6	class	macro_f1 ~ ref_type * query_type + cutoff	3188.8939275661824	-6361.787855132365	-6301.855040119364
fixed	cond	(Intercept)	0.8602858119214168	0.012213538080957825	70.43706796662728	0	0	family	macro_f1 ~ ref_type * query_type + cutoff	4594.963886743953	-9173.927773487905	-9113.994958474905
fixed	cond	ref_typecell_and_nucleus	0.2313479238604138	0.013821047059118227	16.73881312109313	6.833720517641859e-63	8.542150647052324e-63	family	macro_f1 ~ ref_type * query_type + cutoff	4594.963886743953	-9173.927773487905	-9113.994958474905
fixed	cond	query_typesingle-nucleus	0.5972033909904585	0.03302050432355697	18.085834944816728	4.120787995993062e-73	6.86797999332177e-73	family	macro_f1 ~ ref_type * query_type + cutoff	4594.963886743953	-9173.927773487905	-9113.994958474905
fixed	cond	cutoff	-1.7714574495433195	0.02776151764528915	-63.80982020426099	0	0	family	macro_f1 ~ ref_type * query_type + cutoff	4594.963886743953	-9173.927773487905	-9113.994958474905
fixed	cond	ref_typecell_and_nucleus:query_typesingle-nucleus	-0.016444572421967504	0.046561371992723276	-0.35318058120232154	0.7239530649781691	0.7239530649781691	family	macro_f1 ~ ref_type * query_type + cutoff	4594.963886743953	-9173.927773487905	-9113.994958474905
fixed	cond	(Intercept)	0.8717384007522424	0.01748728463445863	49.84984341333846	0	0	global	macro_f1 ~ ref_type * query_type + cutoff	-1113.7041059603682	2243.4082119207364	2303.341026933737
fixed	cond	ref_typecell_and_nucleus	0.23199046760459166	0.018934213028042938	12.25244837274182	1.6299945688658075e-34	2.0374932110822595e-34	global	macro_f1 ~ ref_type * query_type + cutoff	-1113.7041059603682	2243.4082119207364	2303.341026933737
fixed	cond	query_typesingle-nucleus	1.2614065493818203	0.047535184585422226	26.53627119328911	3.6992349230418145e-155	6.165391538403024e-155	global	macro_f1 ~ ref_type * query_type + cutoff	-1113.7041059603682	2243.4082119207364	2303.341026933737
fixed	cond	cutoff	-1.8102540218350827	0.038256228992772784	-47.319196624870386	0	0	global	macro_f1 ~ ref_type * query_type + cutoff	-1113.7041059603682	2243.4082119207364	2303.341026933737
fixed	cond	ref_typecell_and_nucleus:query_typesingle-nucleus	-0.2748575503452213	0.06234954625051577	-4.408332808724292	1.0416938877583853e-5	1.0416938877583853e-5	global	macro_f1 ~ ref_type * query_type + cutoff	-1113.7041059603682	2243.4082119207364	2303.341026933737
