"subsample_ref"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"	"key"
"500"	0.756557876872606	0.0647492884966012	Inf	0.609416122922091	0.860918653946863	"class"
"100"	0.753275195620916	0.0653377513809079	Inf	0.605184524304946	0.858780655240224	"class"
"50"	0.738233541594601	0.0679366411165358	Inf	0.58607611562666	0.848880490295097	"class"
"500"	0.84807764500113	0.0375124187203676	Inf	0.759320509385686	0.908066107236288	"family"
"100"	0.848174678705067	0.0374929756432553	Inf	0.759457522506094	0.908129264868812	"family"
"50"	0.834373921373012	0.0402351179724585	Inf	0.740065050418123	0.899129648714818	"family"
"500"	0.92230139209033	0.0290724209646784	Inf	0.84275821857736	0.963356022715018	"global"
"100"	0.918798081836114	0.0302679764314589	Inf	0.836304495223083	0.961626915908306	"global"
"50"	0.904521493431609	0.0350359563748559	Inf	0.810517455274322	0.954506884335514	"global"
"500"	0.753511197382764	0.0593822552001027	Inf	0.620291967167892	0.851202909013897	"subclass"
"100"	0.75125088887322	0.0597471581653557	Inf	0.617429954154349	0.849659871549017	"subclass"
"50"	0.736955821275867	0.0619782517723945	Inf	0.599544409508403	0.839813989772616	"subclass"
