"method"	"cutoff"	"fit"	"SE"	"df"	"lower"	"upper"	"key"
"seurat"	0	0.727055844522481	0.0697524436580643	Inf	0.572197013987151	0.841395956616071	"class"
"scvi"	0	0.749838736838776	0.0659350576519546	Inf	0.600804927679992	0.856520330477937	"class"
"seurat"	0.05	0.722891151019247	0.0704078634463414	Inf	0.567084190271732	0.838584294137032	"class"
"scvi"	0.05	0.720563618154104	0.0707714568312683	Inf	0.564234911656552	0.837010488259265	"class"
"seurat"	0.1	0.718687498373687	0.0710577305532113	Inf	0.5619553444634	0.835733464577862	"class"
"scvi"	0.1	0.689282210203075	0.0752742033201868	Inf	0.526950241845392	0.815420831986721	"class"
"seurat"	0.15	0.714445267170558	0.0717016625823468	Inf	0.55681152304647	0.83284328081627	"class"
"scvi"	0.15	0.656169957028613	0.079291930432319	Inf	0.489360267696585	0.791684645529239	"class"
"seurat"	0.2	0.710164861995513	0.0723392746069086	Inf	0.551653785958018	0.829913567537728	"class"
"scvi"	0.2	0.62146687252763	0.0826765373476073	Inf	0.451887986270995	0.76577449212117	"class"
"seurat"	0.25	0.705846711550474	0.072970179578544	Inf	0.546483205752695	0.826944161666119	"class"
"scvi"	0.25	0.585473900769662	0.0852937335419539	Inf	0.414951183275811	0.73771110537582	"class"
"seurat"	0.5	0.683706481711222	0.0760104578740481	Inf	0.52047597066097	0.811496946748881	"class"
"scvi"	0.5	0.399588240503888	0.0843319241249945	Inf	0.250468344491264	0.569976156944407	"class"
"seurat"	0.75	0.660700864609824	0.0788245593750925	Inf	0.494314236604563	0.795040745085908	"class"
"scvi"	0.75	0.23873128709558	0.0639135410987665	Inf	0.135999212390339	0.384528431937526	"class"
"seurat"	0	0.811257525345588	0.0445652262364027	Inf	0.708426529791035	0.883772450047505	"family"
"scvi"	0	0.853088569585083	0.0364793508653818	Inf	0.766481066758179	0.911292552422541	"family"
"seurat"	0.05	0.80760298253222	0.045219417215722	Inf	0.703519283596478	0.881311212673254	"family"
"scvi"	0.05	0.830163502491959	0.0410338860309244	Inf	0.734263887520197	0.896340440102625	"family"
"seurat"	0.1	0.803894783460658	0.0458760787066164	Inf	0.698562309264401	0.878806156665617	"family"
"scvi"	0.1	0.804480950170227	0.0457733526487213	Inf	0.69934282154088	0.87920344425922	"family"
"seurat"	0.15	0.800132801436465	0.0465349228603371	Inf	0.693556255588969	0.876256826818543	"family"
"scvi"	0.15	0.775962798736841	0.0505869059227018	Inf	0.661942756301442	0.85967835818274	"family"
"seurat"	0.2	0.796316936687815	0.0471956512319762	Inf	0.688501813451062	0.873662776367938	"family"
"scvi"	0.2	0.744605560483309	0.0553341565761417	Inf	0.622399417844929	0.837581992253953	"family"
"seurat"	0.25	0.792447117239915	0.0478579548305111	Inf	0.68339971597225	0.871023567626967	"family"
"scvi"	0.25	0.710496873560826	0.0598492656340142	Inf	0.581154385802977	0.812765813047711	"family"
"seurat"	0.5	0.772288233914722	0.0511815596036167	Inf	0.657203019950023	0.857135548793338	"family"
"scvi"	0.5	0.509139836143712	0.0727305712578227	Inf	0.3696253554856	0.647245018908253	"family"
"seurat"	0.75	0.750787138854947	0.0544923316844557	Inf	0.629949153641844	0.842059310191682	"family"
"scvi"	0.75	0.304772906311713	0.0617072782142583	Inf	0.198536209646083	0.436869975741567	"family"
