"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"	"key"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.803742432703488	0.055472743199203	Inf	0.672736662277787	0.890816945710805	"class"
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.728586511920479	0.0695378373141953	Inf	0.57401337772959	0.842464553196688	"class"
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.668618825795904	0.077911059389121	Inf	0.503187951060895	0.800773806957749	"class"
"whole cortex"	"seurat"	0.725647772382623	0.0700061509813628	Inf	0.570390497772878	0.840487441555271	"class"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.785013626164863	0.0593517157918509	Inf	0.646993618362307	0.879149695499495	"class"
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.766115089167181	0.0630126359430616	Inf	0.621812592920273	0.867123075139664	"class"
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.682931192480053	0.0761455675579122	Inf	0.519502189411166	0.810997120358023	"class"
"whole cortex"	"scvi"	0.78500457737824	0.0593527274738501	Inf	0.646983500626626	0.879143009004288	"class"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.845471366983338	0.0380619966714721	Inf	0.755565772696066	0.9064049963886	"family"
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.829245365169471	0.0412505266466616	Inf	0.732884496205503	0.895787388716083	"family"
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.768386851331407	0.0518388188446201	Inf	0.652109516031585	0.854473192373429	"family"
"whole cortex"	"seurat"	0.816082760079884	0.0437219907236252	Inf	0.714856387654638	0.887051500755887	"family"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.881211304387465	0.0304988973266544	Inf	0.807352356061771	0.929235519223983	"family"
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.862957872677199	0.0344536604598457	Inf	0.7805839644131	0.91766849117202	"family"
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.798828100549877	0.046809335866531	Inf	0.691701530385892	0.875434194837454	"family"
"whole cortex"	"scvi"	0.875377290725095	0.0317826551926991	Inf	0.798726095599655	0.925558026320539	"family"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.920963510622955	0.0295489040997429	Inf	0.840219968346848	0.962714626141396	"global"
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.925986386189007	0.0278293760272803	Inf	0.849508701848509	0.96519160526373	"global"
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.846301502229306	0.0527980188214097	Inf	0.713066947255927	0.924242653198716	"global"
"whole cortex"	"seurat"	0.893328430111087	0.0386787139388783	Inf	0.790784856148622	0.948862044230012	"global"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.944321466588189	0.02134739456811	Inf	0.884433998264719	0.974084021551899	"global"
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.927332131378236	0.0273541598878758	Inf	0.852055487744168	0.965842235576046	"global"
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.891666982471563	0.0392060868712618	Inf	0.787912251549817	0.948013213585617	"global"
"whole cortex"	"scvi"	0.943900998663388	0.0214979070973766	Inf	0.883621278139124	0.973881041066091	"global"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.793971877005056	0.0523199848063096	Inf	0.67308157377271	0.878245010997849	"subclass"
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.730626028461539	0.0629439332554472	Inf	0.591693111615785	0.835433107772995	"subclass"
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.659814591984573	0.0717818850970646	Inf	0.508917387535924	0.784022391490912	"subclass"
"whole cortex"	"seurat"	0.724301184941122	0.063862535373749	Inf	0.583967554808622	0.830997657503875	"subclass"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.777393321357218	0.0553506387126196	Inf	0.651048097048278	0.867315715238727	"subclass"
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.763202428849222	0.0578025137431753	Inf	0.632613950374099	0.857806305830856	"subclass"
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.686599166655781	0.0688187994347056	Inf	0.539277607868075	0.803939471430706	"subclass"
"whole cortex"	"scvi"	0.780537320560874	0.0547887309898356	Inf	0.655187246895281	0.869401939321034	"subclass"
