"effect"	"component"	"group"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	NA	"(Intercept)"	1.42405293291111	0.351836272657464	4.0474875491235	5.17703349048912e-05	6.11831230694169e-05	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"class"	11944.4659218434	-23854.9318436869	-23727.5746117842
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	-0.422387081992024	0.0152643084118337	-27.6715505606902	1.53640072803546e-168	4.99330236611523e-168	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"class"	11944.4659218434	-23854.9318436869	-23727.5746117842
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	-0.707905222609199	0.0150887568182384	-46.9160734139162	0	0	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"class"	11944.4659218434	-23854.9318436869	-23727.5746117842
"fixed"	"cond"	NA	"referencewhole cortex"	-0.437196829488991	0.015182644317994	-28.7958289960623	2.41905959959966e-182	1.04825915982652e-181	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"class"	11944.4659218434	-23854.9318436869	-23727.5746117842
"fixed"	"cond"	NA	"methodscvi"	-0.114726193379338	0.0177020005766759	-6.4809733161178	9.11327901233069e-11	1.18472627160299e-10	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"class"	11944.4659218434	-23854.9318436869	-23727.5746117842
"fixed"	"cond"	NA	"cutoff"	-0.417756013261974	0.022231049004342	-18.7915564929204	8.85439132541461e-79	1.91845145383983e-78	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"class"	11944.4659218434	-23854.9318436869	-23727.5746117842
"fixed"	"cond"	NA	"subsample_ref100"	-0.0177427460256555	0.00934622845122594	-1.89838565558797	0.0576452978236541	0.0624490726422919	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"class"	11944.4659218434	-23854.9318436869	-23727.5746117842
"fixed"	"cond"	NA	"subsample_ref50"	-0.0970923090520121	0.0093331085190131	-10.4029979780283	2.40253050487892e-25	3.90411207042825e-25	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"class"	11944.4659218434	-23854.9318436869	-23727.5746117842
"fixed"	"cond"	NA	"treatment_statetreatment"	-0.0283324473162464	0.0175164146481121	-1.61747982594715	0.105774746954935	0.105774746954935	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"class"	11944.4659218434	-23854.9318436869	-23727.5746117842
"fixed"	"cond"	NA	"methodscvi:cutoff"	-2.59211092835746	0.0338065566297061	-76.6747988193435	0	0	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"class"	11944.4659218434	-23854.9318436869	-23727.5746117842
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x:methodscvi"	0.313768027504948	0.0218854799970242	14.3368126971678	1.28838035606294e-46	2.39270637554546e-46	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"class"	11944.4659218434	-23854.9318436869	-23727.5746117842
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4:methodscvi"	0.180056010251434	0.0217247231419412	8.28806926905419	1.15101543778817e-16	1.66257785458291e-16	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"class"	11944.4659218434	-23854.9318436869	-23727.5746117842
"fixed"	"cond"	NA	"referencewhole cortex:methodscvi"	0.437146052858932	0.0217939415012695	20.058145647196	1.71355972212121e-89	4.45525527751514e-89	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"class"	11944.4659218434	-23854.9318436869	-23727.5746117842
"ran_pars"	"cond"	"study"	"sd__(Intercept)"	0.929588320034116	NA	NA	NA	NA	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"class"	11944.4659218434	-23854.9318436869	-23727.5746117842
"fixed"	"cond"	NA	"(Intercept)"	1.67215510737162	0.291583721770331	5.73473408329945	9.76654531878404e-09	1.41072321271325e-08	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"family"	11460.7433869814	-22887.4867739628	-22760.1295420602
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	-0.119225170931997	0.0176602878660159	-6.75103213699164	1.46797076143772e-11	2.72623141409863e-11	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"family"	11460.7433869814	-22887.4867739628	-22760.1295420602
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	-0.500285820670383	0.0171374521544899	-29.192543685049	2.41146466454424e-187	1.56745203195376e-186	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"family"	11460.7433869814	-22887.4867739628	-22760.1295420602
"fixed"	"cond"	NA	"referencewhole cortex"	-0.2094828074599	0.0174722240158705	-11.9894758257232	4.03450075696477e-33	1.04897019681084e-32	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"family"	11460.7433869814	-22887.4867739628	-22760.1295420602
"fixed"	"cond"	NA	"methodscvi"	0.304439627559254	0.0203712932765787	14.9445409982524	1.69051961286638e-50	5.49418874181572e-50	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"family"	11460.7433869814	-22887.4867739628	-22760.1295420602
"fixed"	"cond"	NA	"cutoff"	-0.473849662566996	0.025364478595731	-18.6816244133932	6.98604848551045e-78	3.02728767705453e-77	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"family"	11460.7433869814	-22887.4867739628	-22760.1295420602
"fixed"	"cond"	NA	"subsample_ref100"	0.000753319472355564	0.0106413926523062	0.0707914365129928	0.943563747399071	0.943563747399071	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"family"	11460.7433869814	-22887.4867739628	-22760.1295420602
"fixed"	"cond"	NA	"subsample_ref50"	-0.102653686478219	0.0105476652837226	-9.73236102179281	2.19439465559427e-22	4.75452175378758e-22	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"family"	11460.7433869814	-22887.4867739628	-22760.1295420602
"fixed"	"cond"	NA	"treatment_statetreatment"	0.0545243153047693	0.0203998888601555	2.67277511551862	0.00752266618337992	0.00889042367126718	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"family"	11460.7433869814	-22887.4867739628	-22760.1295420602
"fixed"	"cond"	NA	"methodscvi:cutoff"	-2.97109047080172	0.0369432072121905	-80.4231872380944	0	0	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"family"	11460.7433869814	-22887.4867739628	-22760.1295420602
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x:methodscvi"	-0.0446494766553588	0.0250287973274764	-1.78392417626647	0.0744359868310269	0.0806389857336124	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"family"	11460.7433869814	-22887.4867739628	-22760.1295420602
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4:methodscvi"	-0.124679911675677	0.0243219114305199	-5.12623820836815	2.95588582128288e-07	3.84265156766774e-07	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"family"	11460.7433869814	-22887.4867739628	-22760.1295420602
"fixed"	"cond"	NA	"referencewhole cortex:methodscvi"	0.154896709603379	0.0247660217330623	6.25440417007282	3.99036390872649e-10	6.48434135168055e-10	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"family"	11460.7433869814	-22887.4867739628	-22760.1295420602
"ran_pars"	"cond"	"study"	"sd__(Intercept)"	0.769443381878582	NA	NA	NA	NA	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"family"	11460.7433869814	-22887.4867739628	-22760.1295420602
"fixed"	"cond"	NA	"(Intercept)"	2.47980782475985	0.406461732200848	6.10096259574687	1.05431580775089e-09	1.52290061119572e-09	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"global"	6464.43758799494	-12894.8751759899	-12767.5179440873
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	0.0711032198524196	0.0268684827493718	2.64634294819204	0.00813672782496696	0.00961613288405187	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"global"	6464.43758799494	-12894.8751759899	-12767.5179440873
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	-0.74962521879663	0.0256070521931616	-29.2741707691297	2.21178510418542e-188	1.43766031772052e-187	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"global"	6464.43758799494	-12894.8751759899	-12767.5179440873
"fixed"	"cond"	NA	"referencewhole cortex"	-0.330317289620285	0.0253917656201875	-13.0088350121532	1.08990984086327e-38	2.83376558624451e-38	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"global"	6464.43758799494	-12894.8751759899	-12767.5179440873
"fixed"	"cond"	NA	"methodscvi"	0.375363990713792	0.0295728499937872	12.6928581720277	6.47779266332123e-37	1.4035217437196e-36	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"global"	6464.43758799494	-12894.8751759899	-12767.5179440873
"fixed"	"cond"	NA	"cutoff"	-0.672467076172002	0.0372215587718268	-18.0666016781918	5.84020983525544e-73	2.53075759527736e-72	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"global"	6464.43758799494	-12894.8751759899	-12767.5179440873
"fixed"	"cond"	NA	"subsample_ref100"	-0.0479072050837534	0.0156176458845055	-3.06750488761451	0.0021585393067387	0.00280610109876031	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"global"	6464.43758799494	-12894.8751759899	-12767.5179440873
"fixed"	"cond"	NA	"subsample_ref50"	-0.225529811331642	0.0155830989489906	-14.4727189418412	1.80205431801224e-47	5.85667653353978e-47	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"global"	6464.43758799494	-12894.8751759899	-12767.5179440873
"fixed"	"cond"	NA	"treatment_statetreatment"	-0.0486141304528474	0.0335004018576908	-1.45115066557588	0.146737910920259	0.158966070163614	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"global"	6464.43758799494	-12894.8751759899	-12767.5179440873
"fixed"	"cond"	NA	"methodscvi:cutoff"	-3.61440200560101	0.0562392415849815	-64.2683276612007	0	0	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"global"	6464.43758799494	-12894.8751759899	-12767.5179440873
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x:methodscvi"	-0.355566448359215	0.0371895955836434	-9.56091193730536	1.16723597857757e-21	2.16772396021548e-21	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"global"	6464.43758799494	-12894.8751759899	-12767.5179440873
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4:methodscvi"	0.0266218660004288	0.0358757434199919	0.742057542578858	0.458052472439434	0.458052472439434	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"global"	6464.43758799494	-12894.8751759899	-12767.5179440873
"fixed"	"cond"	NA	"referencewhole cortex:methodscvi"	0.322338506692196	0.036151826216903	8.91624408565796	4.82369683615264e-19	7.83850735874804e-19	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"global"	6464.43758799494	-12894.8751759899	-12767.5179440873
"ran_pars"	"cond"	"study"	"sd__(Intercept)"	1.0718094807067	NA	NA	NA	NA	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"global"	6464.43758799494	-12894.8751759899	-12767.5179440873
"fixed"	"cond"	NA	"(Intercept)"	1.35966158162107	0.320051887787574	4.24825359106618	2.15443440456701e-05	2.54614975085193e-05	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"subclass"	11286.9173656237	-22539.8347312475	-22412.4774993449
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	-0.351232962766245	0.0159352676860109	-22.0412339275971	1.15934384890138e-107	3.7678675089295e-107	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"subclass"	11286.9173656237	-22539.8347312475	-22412.4774993449
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	-0.686566881589111	0.0156687520922889	-43.817585315361	0	0	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"subclass"	11286.9173656237	-22539.8347312475	-22412.4774993449
"fixed"	"cond"	NA	"referencewhole cortex"	-0.383138205768626	0.0158423310569595	-24.1844589909839	3.24217558734692e-129	1.404942754517e-128	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"subclass"	11286.9173656237	-22539.8347312475	-22412.4774993449
"fixed"	"cond"	NA	"methodscvi"	-0.0984964832946698	0.0184154244094643	-5.34858611480327	8.86439962533773e-08	1.15237195129391e-07	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"subclass"	11286.9173656237	-22539.8347312475	-22412.4774993449
"fixed"	"cond"	NA	"cutoff"	-0.42255549608239	0.0231040793160736	-18.2892159562669	1.00855259724911e-74	2.62223675284769e-74	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"subclass"	11286.9173656237	-22539.8347312475	-22412.4774993449
"fixed"	"cond"	NA	"subsample_ref100"	-0.0121324451193679	0.00971616092109717	-1.24868713248914	0.211779529033587	0.22942782311972	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"subclass"	11286.9173656237	-22539.8347312475	-22412.4774993449
"fixed"	"cond"	NA	"subsample_ref50"	-0.0872213631002655	0.00968542666521138	-9.00542290135258	2.14836196961558e-19	3.10318951166695e-19	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"subclass"	11286.9173656237	-22539.8347312475	-22412.4774993449
"fixed"	"cond"	NA	"treatment_statetreatment"	-0.0210926629436453	0.0182371514618344	-1.15657661712065	0.247445380137448	0.247445380137448	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"subclass"	11286.9173656237	-22539.8347312475	-22412.4774993449
"fixed"	"cond"	NA	"methodscvi:cutoff"	-2.58314858289939	0.0349268317018827	-73.9588579046564	0	0	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"subclass"	11286.9173656237	-22539.8347312475	-22412.4774993449
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x:methodscvi"	0.271012577910819	0.0227655192702285	11.9045199318267	1.12106612379645e-32	2.08197994419341e-32	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"subclass"	11286.9173656237	-22539.8347312475	-22412.4774993449
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4:methodscvi"	0.220292724590553	0.0224988091941086	9.79130596157228	1.22700687260835e-22	1.99388616798856e-22	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"subclass"	11286.9173656237	-22539.8347312475	-22412.4774993449
"fixed"	"cond"	NA	"referencewhole cortex:methodscvi"	0.401397017508931	0.022647262826548	17.7238644944941	2.74397731712979e-70	5.94528418711455e-70	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"subclass"	11286.9173656237	-22539.8347312475	-22412.4774993449
"ran_pars"	"cond"	"study"	"sd__(Intercept)"	0.845260940139139	NA	NA	NA	NA	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + method:cutoff + reference:method + (1 | study )"	"subclass"	11286.9173656237	-22539.8347312475	-22412.4774993449
