"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"Dissection Angular gyrus AnG seurat / Dissection Anterior cingulate cortex ACC seurat"	1.16762178589087	0.0113451904738955	Inf	1	15.9490669262492	0
"Dissection Angular gyrus AnG seurat / Dissection Dorsolateral prefrontal cortex DFC seurat"	3.17036803611312	0.0374708569956783	Inf	1	97.6257843901616	0
"Dissection Angular gyrus AnG seurat / Dissection Primary auditory cortexA1 seurat"	1.15782724199732	0.0112479127717048	Inf	1	15.0849323565226	0
"Dissection Angular gyrus AnG seurat / Dissection Primary somatosensory cortex S1 seurat"	1.02336225581415	0.0100379326433283	Inf	1	2.35437449790784	0.695724421001507
"Dissection Angular gyrus AnG seurat / Dissection Primary visual cortexV1 seurat"	1.34014899444901	0.0128784505779725	Inf	1	30.4671660006374	0
"Dissection Angular gyrus AnG seurat / (Human Multiple Cortical Areas SMART-seq seurat)"	4.26381910153573	0.0381383658788789	Inf	1	162.126567285361	0
"Dissection Angular gyrus AnG seurat / whole cortex seurat"	1.20098993670914	0.0115990947192131	Inf	1	18.9632643925246	0
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.39190888990934	0.0169201071195467	Inf	1	27.2026063385562	0
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.16977014750835	0.0113636167304631	Inf	1	16.1417331156903	0
"Dissection Angular gyrus AnG seurat / Dissection Angular gyrus AnG scvi"	0.862288257669793	0.00838547446501897	Inf	1	-15.2360499227462	0
"Dissection Angular gyrus AnG seurat / Dissection Anterior cingulate cortex ACC scvi"	1.05882014449135	0.0102424783564907	Inf	1	5.90844256434834	6.50879030672513e-07
"Dissection Angular gyrus AnG seurat / Dissection Dorsolateral prefrontal cortex DFC scvi"	2.29357409332724	0.0268903708152478	Inf	1	70.8031093294141	0
"Dissection Angular gyrus AnG seurat / Dissection Primary auditory cortexA1 scvi"	0.912782885148194	0.00889909449716632	Inf	1	-9.36028245628922	1.92512672470002e-13
"Dissection Angular gyrus AnG seurat / Dissection Primary somatosensory cortex S1 scvi"	0.886258018230974	0.00868712248919136	Inf	1	-12.3185938006073	0
"Dissection Angular gyrus AnG seurat / Dissection Primary visual cortexV1 scvi"	1.201969609456	0.0115583157998984	Inf	1	19.1304857226641	0
"Dissection Angular gyrus AnG seurat / (Human Multiple Cortical Areas SMART-seq scvi)"	2.37869979259554	0.0220696716665582	Inf	1	93.3983943744348	0
"Dissection Angular gyrus AnG seurat / whole cortex scvi"	0.803327725818305	0.00793291720870365	Inf	1	-22.1763015595387	0
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.994708711389012	0.0120463529358144	Inf	1	-0.43807989150827	0.99999999999062
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.783397205294792	0.00768098289037509	Inf	1	-24.8977695394752	0
"Dissection Anterior cingulate cortex ACC seurat / Dissection Dorsolateral prefrontal cortex DFC seurat"	2.71523542505179	0.0315076196366775	Inf	1	86.0804707122822	0
"Dissection Anterior cingulate cortex ACC seurat / Dissection Primary auditory cortexA1 seurat"	0.991611544070266	0.0095246785408772	Inf	1	-0.877003250603431	0.999998107802329
"Dissection Anterior cingulate cortex ACC seurat / Dissection Primary somatosensory cortex S1 seurat"	0.876450121246541	0.00850729132515265	Inf	1	-13.5862613169801	0
"Dissection Anterior cingulate cortex ACC seurat / Dissection Primary visual cortexV1 seurat"	1.14775949767545	0.0108945708222011	Inf	1	14.5186791654347	0
"Dissection Anterior cingulate cortex ACC seurat / (Human Multiple Cortical Areas SMART-seq seurat)"	3.65171252631479	0.0321137517721892	Inf	1	147.279096432406	0
"Dissection Anterior cingulate cortex ACC seurat / whole cortex seurat"	1.02857787617658	0.0098206385560636	Inf	1	2.95117148038251	0.258728407468969
"Dissection Anterior cingulate cortex ACC seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.19208883109983	0.0142531137400984	Inf	1	14.6956280351096	0
"Dissection Anterior cingulate cortex ACC seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.00183994649933	0.00962198911776235	Inf	1	0.191398903193546	1
"Dissection Anterior cingulate cortex ACC seurat / Dissection Angular gyrus AnG scvi"	0.738499630693245	0.00710365845881105	Inf	1	-31.5140217364892	0
"Dissection Anterior cingulate cortex ACC seurat / Dissection Anterior cingulate cortex ACC scvi"	0.906817736090368	0.00866687091247627	Inf	1	-10.2342922812056	1.67310609811011e-13
"Dissection Anterior cingulate cortex ACC seurat / Dissection Dorsolateral prefrontal cortex DFC scvi"	1.96431252057985	0.0226148397770609	Inf	1	58.642490018423	0
"Dissection Anterior cingulate cortex ACC seurat / Dissection Primary auditory cortexA1 scvi"	0.781745335842429	0.00753729844281765	Inf	1	-25.537826736047	0
"Dissection Anterior cingulate cortex ACC seurat / Dissection Primary somatosensory cortex S1 scvi"	0.75902833343828	0.00735825008854977	Inf	1	-28.4410538189666	0
"Dissection Anterior cingulate cortex ACC seurat / Dissection Primary visual cortexV1 scvi"	1.02941690878004	0.00977998280848348	Inf	1	3.05168273530383	0.204467277424069
"Dissection Anterior cingulate cortex ACC seurat / (Human Multiple Cortical Areas SMART-seq scvi)"	2.0372177201033	0.0186376107972405	Inf	1	77.7810855785072	0
"Dissection Anterior cingulate cortex ACC seurat / whole cortex scvi"	0.688003371918403	0.00672154843091895	Inf	1	-38.2779062210898	0
"Dissection Anterior cingulate cortex ACC seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.851910030635539	0.0101505915535221	Inf	1	-13.4513668929962	0
"Dissection Anterior cingulate cortex ACC seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.67093404282199	0.0065071538464312	Inf	1	-41.148456843707	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Primary auditory cortexA1 seurat"	0.36520278680857	0.00427426707791673	Inf	1	-86.0661426220551	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Primary somatosensory cortex S1 seurat"	0.322789734238173	0.0038123305329416	Inf	1	-95.7408668805974	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Primary visual cortexV1 seurat"	0.422710858545002	0.00489557124190281	Inf	1	-74.3493054185939	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / (Human Multiple Cortical Areas SMART-seq seurat)"	1.34489720214413	0.0145571461843439	Inf	1	27.3760172436521	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / whole cortex seurat"	0.37881719820187	0.00441567386414173	Inf	1	-83.2757219478495	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat)"	0.439037005815836	0.0040637888838098	Inf	1	-88.9324700041492	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat)"	0.368969827535384	0.00432147481594551	Inf	1	-85.1278423439886	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Angular gyrus AnG scvi"	0.271983646014473	0.00318556559447402	Inf	1	-111.165921629368	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Anterior cingulate cortex ACC scvi"	0.333973889602251	0.0038493364857461	Inf	1	-95.1505926343493	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Dorsolateral prefrontal cortex DFC scvi"	0.723440959283442	0.00630158370874435	Inf	1	-37.1659156786225	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Primary auditory cortexA1 scvi"	0.287910701455111	0.00337297087385744	Inf	1	-106.27990629306	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Primary somatosensory cortex S1 scvi"	0.279544206898303	0.00328610581779004	Inf	1	-108.427914964808	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Primary visual cortexV1 scvi"	0.37912620735655	0.00438609814914301	Inf	1	-83.8351621239086	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / (Human Multiple Cortical Areas SMART-seq scvi)"	0.750291374849914	0.00841528177163156	Inf	1	-25.6145845221777	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / whole cortex scvi"	0.253386268303154	0.00299697419923423	Inf	1	-116.070020203651	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.31375181053381	0.00293272181937928	Inf	1	-124.009838115957	0
"Dissection Dorsolateral prefrontal cortex DFC seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.247099767715056	0.00291013940848495	Inf	1	-118.700965928858	0
"Dissection Primary auditory cortexA1 seurat / Dissection Primary somatosensory cortex S1 seurat"	0.88386437863458	0.00857810322559928	Inf	1	-12.72012115825	0
"Dissection Primary auditory cortexA1 seurat / Dissection Primary visual cortexV1 seurat"	1.1574688743177	0.0109839063798769	Inf	1	15.4101071321308	0
"Dissection Primary auditory cortexA1 seurat / (Human Multiple Cortical Areas SMART-seq seurat)"	3.68260388672525	0.0323890551132874	Inf	1	148.220328014756	0
"Dissection Primary auditory cortexA1 seurat / whole cortex seurat"	1.0372790457386	0.00990072226659544	Inf	1	3.8346123804553	0.0181682161086847
"Dissection Primary auditory cortexA1 seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.20217320807568	0.0144869177600634	Inf	1	15.2798041125499	0
"Dissection Primary auditory cortexA1 seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.01031492875433	0.00970193223910133	Inf	1	1.06864750235179	0.99995608524169
"Dissection Primary auditory cortexA1 seurat / Dissection Angular gyrus AnG scvi"	0.744746907303971	0.00716144987246555	Inf	1	-30.648121622418	0
"Dissection Primary auditory cortexA1 seurat / Dissection Anterior cingulate cortex ACC scvi"	0.914488885807194	0.00873970440271121	Inf	1	-9.35342035543808	1.93400850889702e-13
"Dissection Primary auditory cortexA1 seurat / Dissection Dorsolateral prefrontal cortex DFC scvi"	1.98092946005544	0.0229972410684379	Inf	1	58.8808169596126	0
"Dissection Primary auditory cortexA1 seurat / Dissection Primary auditory cortexA1 scvi"	0.788358445922888	0.00759867008572153	Inf	1	-24.6718883432843	0
"Dissection Primary auditory cortexA1 seurat / Dissection Primary somatosensory cortex S1 scvi"	0.765449270913788	0.00741824502721934	Inf	1	-27.5804752234576	0
"Dissection Primary auditory cortexA1 seurat / Dissection Primary visual cortexV1 scvi"	1.03812517606904	0.00985860982208984	Inf	1	3.93999533616762	0.0122192240659161
"Dissection Primary auditory cortexA1 seurat / (Human Multiple Cortical Areas SMART-seq scvi)"	2.0544513950908	0.0187906005832067	Inf	1	78.7214428002245	0
"Dissection Primary auditory cortexA1 seurat / whole cortex scvi"	0.693823479600043	0.00677621058006627	Inf	1	-37.4277980320391	0
"Dissection Primary auditory cortexA1 seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.859116693154565	0.0103140303310023	Inf	1	-12.6485293490016	0
"Dissection Primary auditory cortexA1 seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.676609753924413	0.00655996217533387	Inf	1	-40.2936434495017	0
"Dissection Primary somatosensory cortex S1 seurat / Dissection Primary visual cortexV1 seurat"	1.30955483929083	0.0125726619646432	Inf	1	28.0903328353585	0
