"method"	"cutoff"	"fit"	"se"	"lower"	"upper"
"seurat"	0	0.926362157350204	0.0259350189403187	0.856551451488789	0.96364090811081
"scvi"	0	0.943234673370281	0.0203566932449868	0.887476686890447	0.972227864556942
"seurat"	0.05	0.924200726986987	0.0266338079301634	0.852667425133861	0.962529257298046
"scvi"	0.05	0.931772574010948	0.024169648876403	0.8663517354413	0.966411460136452
"seurat"	0.1	0.921981197136982	0.0273477159439813	0.848696681682879	0.961385017969438
"scvi"	0.1	0.918196760987474	0.0285565152822684	0.841966940816114	0.959427771311039
"seurat"	0.15	0.919702322415953	0.0280768489294286	0.844638289896964	0.960207320165146
"scvi"	0.15	0.902203171165282	0.0335448630521424	0.814087655565107	0.951065600614001
"seurat"	0.2	0.917362849516441	0.0288212989154198	0.840491364644716	0.958995275939763
"scvi"	0.2	0.883479443066568	0.0391376076499157	0.782560105048058	0.941085810732516
"seurat"	0.25	0.914961518404005	0.0295811429959299	0.836255070297527	0.957747979323117
"scvi"	0.25	0.861720388327184	0.0453021269969023	0.747345197186012	0.92922223440827
"seurat"	0.5	0.901982586413161	0.0336127932813166	0.813707719408624	0.950949740266863
"scvi"	0.5	0.700339836610211	0.0797870286932911	0.525918253597537	0.831187572571521
"seurat"	0.75	0.887266823316076	0.0380303618595424	0.78883541586129	0.943123990734245
"scvi"	0.75	0.467092705354813	0.094636836037524	0.293802067422185	0.648704557727639
