"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"	"key"
"subsample_ref500 / subsample_ref100"	0.971899387730236	0.00414172292358306	Inf	1	-6.68853022594308	6.76456668458059e-11	"class"
"subsample_ref500 / subsample_ref50"	1.14998997463756	0.00430735469413158	Inf	1	37.3117188300105	0	"class"
"subsample_ref100 / subsample_ref50"	1.18323973567185	0.00378392093976087	Inf	1	52.6140589670335	0	"class"
"subsample_ref500 / subsample_ref100"	0.845278412222353	0.00539829330093387	Inf	1	-26.3198356277503	0	"family"
"subsample_ref500 / subsample_ref50"	0.973106832391791	0.00565414988528272	Inf	1	-4.69182121004571	8.08302733545929e-06	"family"
"subsample_ref100 / subsample_ref50"	1.15122641051882	0.00525321983379921	Inf	1	30.8619682047361	0	"family"
"subsample_ref500 / subsample_ref100"	0.820452192660861	0.00557244779992151	Inf	1	-29.1374986938572	0	"global"
"subsample_ref500 / subsample_ref50"	1.05897750473122	0.0068411513701422	Inf	1	8.87035788186415	2.17603712826531e-14	"global"
"subsample_ref100 / subsample_ref50"	1.29072420575388	0.00561260005126558	Inf	1	58.6888930358943	0	"global"
"subsample_ref500 / subsample_ref100"	0.971572202575228	0.00401433246398896	Inf	1	-6.97995084713685	8.88145113009386e-12	"subclass"
"subsample_ref500 / subsample_ref50"	1.11564454609567	0.00406086546118665	Inf	1	30.0644177161633	0	"subclass"
"subsample_ref100 / subsample_ref50"	1.14828784020227	0.00361769686174123	Inf	1	43.888711635359	0	"subclass"
