"subsample_ref"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"	"key"
"500"	0.941250247592153	0.00934149046637025	Inf	0.920035297875677	0.957099237557497	"class"
"100"	0.942806731008195	0.00910885050598608	Inf	0.922107821281217	0.958254173389181	"class"
"50"	0.933028517971303	0.0105545131886194	Inf	0.909134517913172	0.950978146020269	"class"
"500"	0.962673775285803	0.00268885878119794	Inf	0.95703090957494	0.967600685489078	"family"
"100"	0.968265676840869	0.00229888744065124	Inf	0.963437031258352	0.972474851630706	"family"
"50"	0.963641097894936	0.00261898676644562	Inf	0.958144439260474	0.968439687708515	"family"
"500"	0.98356360797012	0.00155347190893422	Inf	0.980224627639797	0.986346669532455	"global"
"100"	0.986474811690957	0.00128183420383367	Inf	0.983718077591796	0.988770124356112	"global"
"50"	0.98261108700049	0.00164082381738482	Inf	0.979085265860391	0.985551294196431	"global"
"500"	0.915592566629306	0.0152600963017162	Inf	0.880471823592841	0.941084360279965	"subclass"
"100"	0.917794831312279	0.0148975047737868	Inf	0.883474305812338	0.942662906126575	"subclass"
"50"	0.906741626477695	0.0166959723015775	Inf	0.868470651686721	0.934714037693178	"subclass"
