"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"	"key"
"Dissection Angular gyrus AnG seurat / Dissection Anterior cingulate cortex ACC seurat"	1.02700616800802	0.00943458486782026	Inf	1	2.90077367680553	0.289056887568937	"class"
"Dissection Angular gyrus AnG seurat / Dissection Dorsolateral prefrontal cortex DFC seurat"	2.0817349298443	0.0173093813640798	Inf	1	88.1794355864857	0	"class"
"Dissection Angular gyrus AnG seurat / Dissection Primary auditory cortexA1 seurat"	1.05423141394182	0.0096592859045558	Inf	1	5.76399259181946	1.54391916162844e-06	"class"
"Dissection Angular gyrus AnG seurat / Dissection Primary somatosensory cortex S1 seurat"	1.05257250912028	0.00963331799952409	Inf	1	5.59836635804515	4.04974313805706e-06	"class"
"Dissection Angular gyrus AnG seurat / Dissection Primary visual cortexV1 seurat"	0.968005910806425	0.00891385149336239	Inf	1	-3.53121554787406	0.0520902275790235	"class"
"Dissection Angular gyrus AnG seurat / (Human Multiple Cortical Areas SMART-seq seurat)"	2.86350171261666	0.0233290425324938	Inf	1	129.132319665988	0	"class"
"Dissection Angular gyrus AnG seurat / whole cortex seurat"	0.980890911908013	0.00901291512424921	Inf	1	-2.09980178401799	0.857533964693013	"class"
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat)"	0.931390525184831	0.00870588784519363	Inf	1	-7.60405976667374	5.5694338030321e-12	"class"
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat)"	0.995203408918387	0.00915943159548689	Inf	1	-0.522419863255768	0.999999999768091	"class"
"Dissection Angular gyrus AnG seurat / Dissection Angular gyrus AnG scvi"	0.770467038280979	0.00713570002402877	Inf	1	-28.1550170502278	0	"class"
"Dissection Angular gyrus AnG seurat / Dissection Anterior cingulate cortex ACC scvi"	0.788690919218581	0.00726797229825951	Inf	1	-25.7596000353832	0	"class"
"Dissection Angular gyrus AnG seurat / Dissection Dorsolateral prefrontal cortex DFC scvi"	1.32292033410092	0.0113797212336402	Inf	1	32.5322759928908	0	"class"
"Dissection Angular gyrus AnG seurat / Dissection Primary auditory cortexA1 scvi"	0.823404443201518	0.00758210008031632	Inf	1	-21.1015262725443	0	"class"
"Dissection Angular gyrus AnG seurat / Dissection Primary somatosensory cortex S1 scvi"	0.779976511740607	0.00726409452200162	Inf	1	-26.6815790525126	0	"class"
"Dissection Angular gyrus AnG seurat / Dissection Primary visual cortexV1 scvi"	0.965746029021228	0.00871859889452405	Inf	1	-3.86076804560993	0.0164883522367523	"class"
"Dissection Angular gyrus AnG seurat / (Human Multiple Cortical Areas SMART-seq scvi)"	2.157285102922	0.0181975931829903	Inf	1	91.1455590546475	0	"class"
"Dissection Angular gyrus AnG seurat / whole cortex scvi"	0.695724519396627	0.00658756643119394	Inf	1	-38.3161071048794	0	"class"
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.678751726799987	0.00642813571293247	Inf	1	-40.9164045894778	0	"class"
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.682026068540685	0.00648050547348597	Inf	1	-40.2750653855568	0	"class"
"Dissection Anterior cingulate cortex ACC seurat / Dissection Dorsolateral prefrontal cortex DFC seurat"	2.02699360012806	0.0167888047837316	Inf	1	85.3056466541252	0	"class"
"Dissection Anterior cingulate cortex ACC seurat / Dissection Primary auditory cortexA1 seurat"	1.02650933050052	0.00937597173168583	Inf	1	2.86451785482586	0.312106807695565	"class"
"Dissection Anterior cingulate cortex ACC seurat / Dissection Primary somatosensory cortex S1 seurat"	1.02489404826249	0.00935065880426296	Inf	1	2.69514329911114	0.431627433455863	"class"
"Dissection Anterior cingulate cortex ACC seurat / Dissection Primary visual cortexV1 seurat"	0.94255121435538	0.00865295515205066	Inf	1	-6.44474201404121	2.19452424010669e-08	"class"
"Dissection Anterior cingulate cortex ACC seurat / (Human Multiple Cortical Areas SMART-seq seurat)"	2.78820303306522	0.0226233271620954	Inf	1	126.37468754919	0	"class"
"Dissection Anterior cingulate cortex ACC seurat / whole cortex seurat"	0.955097391294686	0.0087488761995747	Inf	1	-5.01539263856997	9.62243796814866e-05	"class"
"Dissection Anterior cingulate cortex ACC seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat)"	0.906898667406598	0.00845186779439391	Inf	1	-10.4859983035544	1.79078973872038e-13	"class"
"Dissection Anterior cingulate cortex ACC seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat)"	0.969033526691161	0.00889122919438204	Inf	1	-3.42832068006013	0.0721368395163304	"class"
"Dissection Anterior cingulate cortex ACC seurat / Dissection Angular gyrus AnG scvi"	0.750206826678924	0.00692578958975705	Inf	1	-31.1320747876697	0	"class"
"Dissection Anterior cingulate cortex ACC seurat / Dissection Anterior cingulate cortex ACC scvi"	0.767951492198265	0.00705400440025668	Inf	1	-28.7441330593622	0	"class"
"Dissection Anterior cingulate cortex ACC seurat / Dissection Dorsolateral prefrontal cortex DFC scvi"	1.28813280320103	0.0110385838355013	Inf	1	29.5461043379989	0	"class"
"Dissection Anterior cingulate cortex ACC seurat / Dissection Primary auditory cortexA1 scvi"	0.801752188887621	0.00735891201696819	Inf	1	-24.0730863410139	0	"class"
"Dissection Anterior cingulate cortex ACC seurat / Dissection Primary somatosensory cortex S1 scvi"	0.759466238896548	0.00705076626172978	Inf	1	-29.6363664441243	0	"class"
"Dissection Anterior cingulate cortex ACC seurat / Dissection Primary visual cortexV1 scvi"	0.940350758452003	0.00846070360716499	Inf	1	-6.83557321174835	1.55035340121401e-09	"class"
"Dissection Anterior cingulate cortex ACC seurat / (Human Multiple Cortical Areas SMART-seq scvi)"	2.1005571048383	0.0176486567362018	Inf	1	88.3375410858642	0	"class"
"Dissection Anterior cingulate cortex ACC seurat / whole cortex scvi"	0.677429738076504	0.00639493102056389	Inf	1	-41.25527402433	0	"class"
"Dissection Anterior cingulate cortex ACC seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.660903262262283	0.00624015180207922	Inf	1	-43.8629765817481	0	"class"
"Dissection Anterior cingulate cortex ACC seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.664091501868525	0.00629107697225386	Inf	1	-43.2097904022244	0	"class"
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Primary auditory cortexA1 seurat"	0.506419620878758	0.00418027510174211	Inf	1	-82.4258372586766	0	"class"
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Primary somatosensory cortex S1 seurat"	0.505622735166869	0.00416819377001966	Inf	1	-82.7256984350487	0	"class"
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Primary visual cortexV1 seurat"	0.464999600539357	0.00386359992161	Inf	1	-92.1572916293354	0	"class"
"Dissection Dorsolateral prefrontal cortex DFC seurat / (Human Multiple Cortical Areas SMART-seq seurat)"	1.37553617973391	0.00974207688405205	Inf	1	45.0192416059077	0	"class"
"Dissection Dorsolateral prefrontal cortex DFC seurat / whole cortex seurat"	0.47118914989882	0.00390390212165421	Inf	1	-90.8239463034173	0	"class"
"Dissection Dorsolateral prefrontal cortex DFC seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat)"	0.447410720660048	0.00378696684074323	Inf	1	-95.021354731643	0	"class"
"Dissection Dorsolateral prefrontal cortex DFC seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat)"	0.478064423405157	0.00396955826252668	Inf	1	-88.8804738280368	0	"class"
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Angular gyrus AnG scvi"	0.370108137801486	0.00309120679599309	Inf	1	-119.006177220716	0	"class"
"Dissection Dorsolateral prefrontal cortex DFC seurat / Dissection Anterior cingulate cortex ACC scvi"	0.378862317152728	0.00314404687785819	Inf	1	-116.956622659996	0	"class"
