"effect"	"component"	"group"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	NA	"(Intercept)"	2.51674563834582	0.169019860789207	14.8902361331641	3.81420055280941e-50	9.91692143730448e-50	"macro_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	261951.215282611	-523842.430565223	-523523.389152134
"fixed"	"cond"	NA	"referenceDissection Anterior cingulate cortex ACC"	-0.0266479367784547	0.0091864928972331	-2.90077367680553	0.00372242625424864	0.00460871821954594	"macro_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	261951.215282611	-523842.430565223	-523523.389152134
"fixed"	"cond"	NA	"referenceDissection Dorsolateral prefrontal cortex DFC"	-0.733201646931077	0.00831488251262346	-88.1794355864857	0	0	"macro_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	261951.215282611	-523842.430565223	-523523.389152134
"fixed"	"cond"	NA	"referenceDissection Primary auditory cortexA1"	-0.0528119838394405	0.00916239620335284	-5.76399259181946	8.21470224630282e-09	1.42388172269249e-08	"macro_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	261951.215282611	-523842.430565223	-523523.389152134
"fixed"	"cond"	NA	"referenceDissection Primary somatosensory cortex S1"	-0.0512371764772393	0.00915216568555016	-5.59836635804515	2.16381110202397e-08	3.51619304078895e-08	"macro_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	261951.215282611	-523842.430565223	-523523.389152134
"fixed"	"cond"	NA	"referenceDissection Primary visual cortexV1"	0.0325170855192187	0.00920846804120902	3.53121554787406	0.000413654510940631	0.000597500960247578	"macro_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	261951.215282611	-523842.430565223	-523523.389152134
"fixed"	"cond"	NA	"referenceHuman Multiple Cortical Areas SMART-seq"	-1.05204525093669	0.00814703285481043	-129.132319665988	0	0	"macro_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	261951.215282611	-523842.430565223	-523523.389152134
"fixed"	"cond"	NA	"referencewhole cortex"	0.0192940265093169	0.00918849896031501	2.09980178401799	0.0357462812583646	0.0422456051235218	"macro_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	261951.215282611	-523842.430565223	-523523.389152134
"fixed"	"cond"	NA	"referenceWhole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD"	0.0710766211452212	0.00934719391038037	7.60405976667374	2.86982613411755e-14	6.21795662392135e-14	"macro_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	261951.215282611	-523842.430565223	-523523.389152134
"fixed"	"cond"	NA	"referenceWhole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD"	0.00480813164297272	0.00920357739272778	0.522419863255768	0.601378028994484	0.625433150154263	"macro_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	261951.215282611	-523842.430565223	-523523.389152134
