"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"	"key"
"Dissection Angular gyrus AnG"	"seurat"	0.929751235382899	0.0110377351832322	Inf	0.904792741803458	0.948539014092069	"class"
"Dissection Anterior cingulate cortex ACC"	"seurat"	0.92799069788645	0.011292833262734	Inf	0.902472576814923	0.947222452399219	"class"
"Dissection Dorsolateral prefrontal cortex DFC"	"seurat"	0.864088668710002	0.0198412495322718	Inf	0.820323266896423	0.898512611494617	"class"
"Dissection Primary auditory cortexA1"	"seurat"	0.926222614505461	0.0115479736512442	Inf	0.900145596212181	0.94589890897997	"class"
"Dissection Primary somatosensory cortex S1"	"seurat"	0.926330155631418	0.0115323918990062	Inf	0.900287282540484	0.945979313039131	"class"
"Dissection Primary visual cortexV1"	"seurat"	0.931845600527617	0.0107328234099325	Inf	0.90755712090201	0.950103367555486	"class"
"Human Multiple Cortical Areas SMART-seq"	"seurat"	0.822127587306936	0.0247042595541117	Inf	0.768474831779831	0.86552278831633	"class"
"whole cortex"	"seurat"	0.931001001660572	0.0108559032048327	Inf	0.906441949292359	0.949472645039539	"class"
"Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD"	"seurat"	0.934254088632625	0.0103807619846571	Inf	0.910740517008659	0.951900629723919	"class"
"Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD"	"seurat"	0.930064624934575	0.0109921524333457	Inf	0.905206240816561	0.948773139722327	"class"
"Dissection Angular gyrus AnG"	"scvi"	0.944988616444501	0.00878466161305002	Inf	0.925008625091764	0.959876234200751	"class"
"Dissection Anterior cingulate cortex ACC"	"scvi"	0.94376060837747	0.00896891626049214	Inf	0.923371227013195	0.958965877073398	"class"
"Dissection Dorsolateral prefrontal cortex DFC"	"scvi"	0.909127892300299	0.0139575499105631	Inf	0.877815073009149	0.93302828104306	"class"
"Dissection Primary auditory cortexA1"	"scvi"	0.941430261179005	0.00931744755317238	Inf	0.920267509667017	0.957236968048993	"class"
"Dissection Primary somatosensory cortex S1"	"scvi"	0.944347426392326	0.00888113353822164	Inf	0.924152956248396	0.959401275118588	"class"
"Dissection Primary visual cortexV1"	"scvi"	0.931993891486653	0.01070949344608	Inf	0.907757381896475	0.950211595356335	"class"
