"method"	"cutoff"	"fit"	"SE"	"df"	"lower"	"upper"	"key"
"seurat"	0	0.914273370658534	0.0132347225305015	Inf	0.884526301508299	0.936903959747557	"class"
"scvi"	0	0.934121837605685	0.0103914050237971	Inf	0.910588228681632	0.95178923482067	"class"
"seurat"	0.05	0.911486288060148	0.0136230407448225	Inf	0.88089886149253	0.934799709227941	"class"
"scvi"	0.05	0.925365981653039	0.0116618762583171	Inf	0.89904334862095	0.945243463713186	"class"
"seurat"	0.1	0.908617650538332	0.0140200708927159	Inf	0.877173046187337	0.932630472757724	"class"
"scvi"	0.1	0.915551593063344	0.0130552036404353	Inf	0.886193904169134	0.937867074831377	"class"
"seurat"	0.15	0.905665665343543	0.0144258294462163	Inf	0.873347180225383	0.930394587928918	"class"
"scvi"	0.15	0.904579691655309	0.0145744038004743	Inf	0.871941759560805	0.929571157308597	"class"
"seurat"	0.2	0.902628539387009	0.0148403191951335	Inf	0.869419623526686	0.928090372827965	"class"
"scvi"	0.2	0.892349885049594	0.0162199343287047	Inf	0.856194188188756	0.920261891864514	"class"
"seurat"	0.25	0.899504482249951	0.0152635283291748	Inf	0.86538877619875	0.925716127484639	"class"
"scvi"	0.25	0.878762693099892	0.0179889608300305	Inf	0.838867711512177	0.909841630940706	"class"
"seurat"	0.5	0.882518171011774	0.0175088101879703	Inf	0.843632654164101	0.912733897017292	"class"
"scvi"	0.5	0.787468010417084	0.0282609384231164	Inf	0.72686384276703	0.837629035941548	"class"
"seurat"	0.75	0.863097716238506	0.0199602382257587	Inf	0.819086802504873	0.897738749082265	"class"
"scvi"	0.75	0.654458497951146	0.0381948730750528	Inf	0.576314665739754	0.725065292651228	"class"
"seurat"	0	0.949758878676545	0.00355250533158594	Inf	0.942321165543374	0.956281991453548	"family"
"scvi"	0	0.960682415080251	0.00281267259711564	Inf	0.954783527480368	0.965839274544209	"family"
"seurat"	0.05	0.946694087405924	0.0037557931245086	Inf	0.938834687993926	0.953593516765966	"family"
"scvi"	0.05	0.953089891557389	0.00332788507247701	Inf	0.946118936762369	0.959197861407142	"family"
"seurat"	0.1	0.943453469835559	0.00396941410451933	Inf	0.935151381248775	0.950748680522791	"family"
"scvi"	0.1	0.944116482499531	0.00392571693148671	Inf	0.935904927967072	0.951330719688759	"family"
"seurat"	0.15	0.940028325995078	0.0041937182665884	Inf	0.931261889245318	0.947739486066987	"family"
"scvi"	0.15	0.933546238395077	0.00461458776981526	Inf	0.923909789493303	0.942038840604079	"family"
"seurat"	0.2	0.936409697591906	0.0044290438018779	Inf	0.927156629857189	0.944557662955352	"family"
"scvi"	0.2	0.921143648593248	0.00540176431250134	Inf	0.909885230971458	0.931102011810207	"family"
"seurat"	0.25	0.932588382891902	0.00467571316611291	Inf	0.922825818480257	0.941194675062947	"family"
"scvi"	0.25	0.906657747845541	0.00629236062632034	Inf	0.893572660511547	0.918281169610901	"family"
"seurat"	0.5	0.91010509602255	0.00608881459537296	Inf	0.897435812606701	0.921346559483318	"family"
"scvi"	0.5	0.794295081026104	0.012148290947559	Inf	0.769463874387183	0.817087488386969	"family"
"seurat"	0.75	0.881079336088315	0.0078159294211109	Inf	0.864887077606064	0.895565391832107	"family"
"scvi"	0.75	0.605523183151592	0.0177866780573569	Inf	0.570180344211602	0.639795799033024	"family"
"seurat"	0	0.97580449438207	0.00226218717714803	Inf	0.970951297170971	0.979863678430274	"global"
"scvi"	0	0.983193129812	0.00158294501703457	Inf	0.979792049570282	0.986029956017914	"global"
"seurat"	0.05	0.974032000444776	0.00242275567178093	Inf	0.968836364564814	0.978380743601074	"global"
"scvi"	0.05	0.978510820064689	0.00201366646489192	Inf	0.974188593269403	0.982122554182217	"global"
"seurat"	0.1	0.972133366785282	0.00259414970551022	Inf	0.96657247386298	0.976791380530684	"global"
"scvi"	0.1	0.972560448190386	0.00255489453551365	Inf	0.967083343910835	0.977147735473731	"global"
"seurat"	0.15	0.970100177013443	0.00277700465872125	Inf	0.964149909552115	0.975088358389693	"global"
"scvi"	0.15	0.965021312147763	0.00323081794114441	Inf	0.958106036270222	0.970829862977755	"global"
"seurat"	0.2	0.967923537548035	0.00297197814527991	Inf	0.961558440200694	0.97326401555101	"global"
"scvi"	0.2	0.955505532387764	0.00406836048975755	Inf	0.946814674055791	0.962831992110219	"global"
"seurat"	0.25	0.965594063458326	0.00317974824598561	Inf	0.958787309179832	0.971310243084144	"global"
"scvi"	0.25	0.943552455151936	0.0050958297028976	Inf	0.932693404903785	0.95274829523761	"global"
"seurat"	0.5	0.951289945819294	0.00443536864653627	Inf	0.941823019489711	0.959282953934518	"global"
"scvi"	0.5	0.826878269431011	0.0136913781558947	Inf	0.798380865030603	0.852093971054875	"global"
"seurat"	0.75	0.931461069525692	0.00611833331988286	Inf	0.918453384652242	0.942523714318691	"global"
"scvi"	0.75	0.577125629049709	0.0233546457022812	Inf	0.530817158131736	0.622117241830977	"global"
"seurat"	0	0.885477148571217	0.0200180394114407	Inf	0.840029963047652	0.919253960245565	"subclass"
"scvi"	0	0.908681159862665	0.0163805374695489	Inf	0.871101380493663	0.9361083255931	"subclass"
"seurat"	0.05	0.882192803560099	0.0205154259403863	Inf	0.835684955959306	0.916846855589189	"subclass"
"scvi"	0.05	0.897989155590091	0.0180828148408984	Inf	0.856704077964799	0.928374034504559	"subclass"
"seurat"	0.1	0.878827157838568	0.021020803792094	Inf	0.831245369600227	0.914374828603725	"subclass"
"scvi"	0.1	0.88620206168667	0.0199071904930254	Inf	0.840991988206027	0.919783834240693	"subclass"
"seurat"	0.15	0.875378941556149	0.0215340444061609	Inf	0.826710427608533	0.911836533945991	"subclass"
"scvi"	0.15	0.873245246354915	0.0218493935414282	Inf	0.823910968829143	0.91026311756111	"subclass"
"seurat"	0.2	0.871846908363905	0.0220550011006693	Inf	0.822079419852601	0.909230622668595	"subclass"
"scvi"	0.2	0.859047832354129	0.0239015432959521	Inf	0.805419343521361	0.899735732447688	"subclass"
"seurat"	0.25	0.868229838445674	0.0225835083748198	Inf	0.817351706465101	0.906555743883538	"subclass"
"scvi"	0.25	0.843545118868063	0.0260515799413115	Inf	0.785491150650446	0.888125290384276	"subclass"
"seurat"	0.5	0.848828506455732	0.0253321093553486	Inf	0.792245589934157	0.892099652264308	"subclass"
"scvi"	0.5	0.744987388726478	0.0375036946465734	Inf	0.664885561095545	0.811374434267816	"subclass"
"seurat"	0.75	0.827139328722706	0.0282327037052122	Inf	0.764673336980602	0.87571902697504	"subclass"
"scvi"	0.75	0.612839291291589	0.04684622736299	Inf	0.518063670762993	0.699777713140992	"subclass"
