query	count
GSE152715.2 1052351	3480
GSE152715.2 1052352	3480
GSE152715.2 1052248	3480
GSE152715.2 1052353	3480
GSE152715.1 1051992	2760
GSE152715.1 1051991	2760
GSE152715.1 1051990	2760
GSE152715.1 1051989	2760
GSE247339.2 1051961	2400
GSE247339.1 1051949	2400
GSE247339.1 1051956	2400
GSE247339.1 1051941	2400
GSE247339.2 1051976	2400
GSE247339.2 1051977	2400
GSE199460 1011256	2400
GSE247339.1 1051951	2400
GSE247339.2 1051963	2400
GSE214244 1011518	2400
GSE247339.2 1051967	2400
GSE247339.1 1051944	2400
GSE214244 1011521	2400
GSE247339.1 1051953	2400
GSE247339.1 1051940	2400
GSE214244 1011520	2400
GSE247339.2 1051979	2400
GSE199460 1011264	2400
GSE247339.1 1051943	2400
GSE247339.1 1051959	2400
GSE247339.1 1051954	2400
GSE247339.1 1051960	2400
GSE247339.2 1051966	2400
GSE247339.1 1051950	2400
GSE247339.1 1051957	2400
GSE247339.1 1051948	2400
GSE214244 1011516	2400
GSE247339.2 1051974	2400
GSE199460 1011263	2400
GSE247339.1 1051947	2400
GSE247339.2 1051971	2400
GSE247339.1 1051952	2400
GSE247339.2 1051970	2400
GSE199460 1011266	2400
GSE247339.2 1051978	2400
GSE247339.2 1051964	2400
GSE247339.1 1051942	2400
GSE247339.2 1051969	2400
GSE247339.2 1051965	2400
GSE247339.1 1051946	2400
GSE247339.2 1051973	2400
GSE247339.1 1051955	2400
GSE247339.2 1051962	2400
GSE247339.2 1051980	2400
GSE247339.1 1051945	2400
GSE247339.1 1051958	2400
GSE214244 1011517	2400
GSE199460 1011257	2400
GSE247339.2 1051975	2400
GSE247339.2 1051968	2400
GSE214244 1011519	2400
GSE214244 1011515	2400
GSE199460 1011261	2400
GSE247339.2 1051972	2280
GSE181021.2 1051985	1920
GSE181021.2 1051987	1920
GSE181021.2 1051986	1920
GSE181021.2 1051988	1920
GSE199460 1011262	840
GSE199460 1011260	840
GSE199460 1011265	840
GSE199460 1011258	840
GSE199460 1011259	840
