process	method	step	subsample_ref	mean_duration	sd_duration	mean_realtime	sd_realtime	mean_memory	sd_memory	count
MAP_QUERY	scVI RF/kNN	Query Processing	50	0.018467391304347824	0.008419769455203773	0.004245169082125604	0.0017660872712161302	0.01962041440217391	0.0016595140470831563	552
MAP_QUERY	scVI RF/kNN	Query Processing	100	0.018467391304347824	0.008419769455203773	0.004245169082125604	0.0017660872712161302	0.01962041440217391	0.0016595140470831563	552
MAP_QUERY	scVI RF/kNN	Query Processing	500	0.018467391304347824	0.008419769455203773	0.004245169082125604	0.0017660872712161302	0.01962041440217391	0.0016595140470831563	552
PREPARE_REFERENCES:REF_PROCESS_SEURAT	Seurat	Ref Processing	50	0.04609722222222222	0.018474491870160144	0.02	0.008494264469214446	0.04365234375	0.010826681538685849	32
PREPARE_REFERENCES:REF_PROCESS_SEURAT	Seurat	Ref Processing	100	0.05152777777777778	0.020798956105287914	0.030875	0.01720161213305617	0.039990234375	0.017271134835522662	32
PREPARE_REFERENCES:REF_PROCESS_SEURAT	Seurat	Ref Processing	500	0.11708333333333333	0.05249054076472254	0.0961111111111111	0.05435000220739872	0.0498046875	0	32
SCVI_PIPELINE:CLASSIFY_ALL	scVI RF/kNN	Prediction	50	0.017290572161835747	0.004743596125014758	0.0028421522745571658	0.0011975857080724925	0.01331917583078578	0.0011038107806138821	4416
SCVI_PIPELINE:CLASSIFY_ALL	scVI RF/kNN	Prediction	100	0.01742666188607085	0.0045461242907070985	0.00287728336352657	0.0013859097381234498	0.013352767280910326	0.0012134440274275543	4416
SCVI_PIPELINE:CLASSIFY_ALL	scVI RF/kNN	Prediction	500	0.017112960446859903	0.005180289555229921	0.0028128459641706925	0.0016985810660036986	0.013396951426630435	0.0011948773678319576	4416
SCVI_PIPELINE:SCVI_PREDICT	scVI RF/kNN	Embedding	50	0.021328099838969404	0.008603120549096979	0.0038413848631239935	0.0038081523676555197	0.015502575860507246	0.0016033627912051846	2208
SCVI_PIPELINE:SCVI_PREDICT	scVI RF/kNN	Embedding	100	0.016639392109500804	0.0059869737895041535	0.0026766304347826085	5.080243210803389e-4	0.016236059216485507	0.0013194669786119604	2208
SCVI_PIPELINE:SCVI_PREDICT	scVI RF/kNN	Embedding	500	0.020173812399355878	0.0071473819047847865	0.003840780998389694	8.180266340711116e-4	0.01642889492753623	0.0031439206418646414	2208
SEURAT_PIPELINE:PREDICT_SEURAT	Seurat	Prediction	50	0.018124295491143316	0.0028251524877070714	0.0035870571658615136	7.922150963357723e-4	0.02045013870018116	0.017742654046638138	2208
SEURAT_PIPELINE:PREDICT_SEURAT	Seurat	Prediction	100	0.018562701288244766	0.0050410945381442135	0.004064110305958132	9.445796587906613e-4	0.020579639379528985	0.017516321961445824	2208
SEURAT_PIPELINE:PREDICT_SEURAT	Seurat	Prediction	500	0.023485305958132044	0.00761483044294928	0.007318639291465379	0.002723844727659541	0.02136619678442029	0.01594996585878591	2208
SEURAT_PIPELINE:QUERY_PROCESS_SEURAT	Seurat	Query Processing	50	0.03198429951690821	0.014733431208179567	0.010044283413848632	0.007241798462684123	0.02505378170289855	0.01810240054412521	552
SEURAT_PIPELINE:QUERY_PROCESS_SEURAT	Seurat	Query Processing	100	0.03198429951690821	0.014733431208179567	0.010044283413848632	0.007241798462684123	0.02505378170289855	0.01810240054412521	552
SEURAT_PIPELINE:QUERY_PROCESS_SEURAT	Seurat	Query Processing	500	0.03198429951690821	0.014733431208179567	0.010044283413848632	0.007241798462684123	0.02505378170289855	0.01810240054412521	552
