study	query	query_region	count
GSE152715.2	GSE152715.2 1052352	neocortex	8640
GSE247339.1	GSE247339.1 1051959	Ammon's horn	8064
GSE247339.1	GSE247339.1 1051946	Ammon's horn	8064
GSE152715.2	GSE152715.2 1052248	neocortex	7776
GSE247339.1	GSE247339.1 1051945	Ammon's horn	7776
GSE152715.2	GSE152715.2 1052351	neocortex	7776
GSE152715.1	GSE152715.1 1051990	Ammon's horn	7488
GSE152715.1	GSE152715.1 1051989	Ammon's horn	7488
GSE247339.2	GSE247339.2 1051974	cerebral cortex	7488
GSE247339.1	GSE247339.1 1051948	Ammon's horn	7488
GSE152715.2	GSE152715.2 1052353	neocortex	7488
GSE247339.1	GSE247339.1 1051941	Ammon's horn	7200
GSE247339.1	GSE247339.1 1051951	Ammon's horn	7200
GSE247339.1	GSE247339.1 1051950	Ammon's horn	6912
GSE152715.1	GSE152715.1 1051992	Ammon's horn	6912
GSE247339.1	GSE247339.1 1051958	Ammon's horn	6912
GSE247339.1	GSE247339.1 1051960	Ammon's horn	6912
GSE152715.1	GSE152715.1 1051991	Ammon's horn	6912
GSE247339.2	GSE247339.2 1051971	cerebral cortex	6912
GSE247339.2	GSE247339.2 1051967	cerebral cortex	6912
GSE247339.1	GSE247339.1 1051943	Ammon's horn	6912
GSE247339.2	GSE247339.2 1051972	cerebral cortex	6624
GSE247339.1	GSE247339.1 1051954	Ammon's horn	6624
GSE247339.2	GSE247339.2 1051969	cerebral cortex	6624
GSE247339.1	GSE247339.1 1051947	Ammon's horn	6624
GSE247339.1	GSE247339.1 1051940	Ammon's horn	6624
GSE247339.2	GSE247339.2 1051964	cerebral cortex	6624
GSE247339.2	GSE247339.2 1051961	cerebral cortex	6624
GSE247339.2	GSE247339.2 1051973	cerebral cortex	6624
GSE247339.1	GSE247339.1 1051944	Ammon's horn	6624
GSE247339.1	GSE247339.1 1051949	Ammon's horn	6336
GSE247339.2	GSE247339.2 1051977	cerebral cortex	6336
GSE247339.1	GSE247339.1 1051957	Ammon's horn	6336
GSE199460.1	GSE199460.1 1161373	brain	6048
GSE247339.1	GSE247339.1 1051952	Ammon's horn	6048
GSE214244.2	GSE214244.2 1161369	nucleus of cerebellar nuclear complex	6048
GSE199460.1	GSE199460.1 1161372	brain	6048
GSE247339.1	GSE247339.1 1051953	Ammon's horn	6048
GSE247339.2	GSE247339.2 1051962	cerebral cortex	6048
GSE247339.2	GSE247339.2 1051966	cerebral cortex	6048
GSE247339.2	GSE247339.2 1051968	cerebral cortex	6048
GSE247339.2	GSE247339.2 1051975	cerebral cortex	6048
GSE247339.2	GSE247339.2 1051976	cerebral cortex	6048
GSE247339.2	GSE247339.2 1051978	cerebral cortex	6048
GSE247339.2	GSE247339.2 1051979	cerebral cortex	6048
GSE247339.1	GSE247339.1 1051955	Ammon's horn	5760
GSE247339.2	GSE247339.2 1051970	cerebral cortex	5760
GSE247339.2	GSE247339.2 1051965	cerebral cortex	5760
GSE247339.2	GSE247339.2 1051980	cerebral cortex	5760
GSE199460.1	GSE199460.1 small samples	brain	5760
GSE199460.1	GSE199460.1 1161374	brain	5760
GSE214244.2	GSE214244.2 1161370	nucleus of cerebellar nuclear complex	5472
GSE247339.1	GSE247339.1 1051956	Ammon's horn	5472
GSE185454	GSE185454 1010394	hippocampus (DG)	5472
GSE185454	GSE185454 1010395	hippocampus (DG)	5472
GSE185454	GSE185454 1010397	hippocampus (DG)	5472
GSE214244.1	GSE214244.1 1161365	entorhinal cortex	5472
GSE214244.1	GSE214244.1 1161364	entorhinal cortex	5472
GSE199460.1	GSE199460.1 1161377	brain	5184
GSE181021.1	GSE181021.1 1051983	nucleus accumbens	5184
GSE181021.1	GSE181021.1 1051984	nucleus accumbens	5184
GSE185454	GSE185454 1010393	hippocampus (DG)	5184
GSE181021.1	GSE181021.1 1051981	nucleus accumbens	5184
GSE124952	GSE124952 483967	core of nucleus accumbens	4896
GSE124952	GSE124952 483966	core of nucleus accumbens	4896
GSE181021.1	GSE181021.1 1051982	nucleus accumbens	4896
GSE124952	GSE124952 483958	core of nucleus accumbens	4896
GSE247339.2	GSE247339.2 1051963	cerebral cortex	4896
GSE181021.2	GSE181021.2 1051985	prefrontal cortex	4896
GSE181021.2	GSE181021.2 1051986	prefrontal cortex	4896
GSE181021.2	GSE181021.2 1051987	prefrontal cortex	4896
GSE181021.2	GSE181021.2 1051988	prefrontal cortex	4896
GSE124952	GSE124952 483961	core of nucleus accumbens	4896
GSE124952	GSE124952 483963	core of nucleus accumbens	4896
GSE124952	GSE124952 483964	core of nucleus accumbens	4896
GSE214244.2	GSE214244.2 1161368	nucleus of cerebellar nuclear complex	4896
GSE214244.1	GSE214244.1 1161366	entorhinal cortex	4896
GSE124952	GSE124952 483965	core of nucleus accumbens	4896
GSE124952	GSE124952 483969	core of nucleus accumbens	4896
GSE124952	GSE124952 483959	core of nucleus accumbens	4608
GSE124952	GSE124952 483968	core of nucleus accumbens	4608
GSE214244.2	GSE214244.2 1161371	nucleus of cerebellar nuclear complex	4608
GSE247339.1	GSE247339.1 1051942	Ammon's horn	4608
GSE124952	GSE124952 483957	core of nucleus accumbens	4608
GSE124952	GSE124952 483970	core of nucleus accumbens	4320
GSE124952	GSE124952 483962	core of nucleus accumbens	4320
GSE124952	GSE124952 483960	core of nucleus accumbens	4032
GSE124952	GSE124952 483956	core of nucleus accumbens	4032
GSE231868	GSE231868 1011388	forebrain	3744
GSE231868	GSE231868 1011391	forebrain	3744
GSE231868	GSE231868 1011390	forebrain	3744
GSE231868	GSE231868 1011389	forebrain	3744
GSE199460.2	GSE199460.2 1161379	brain	1152
GSE199460.2	GSE199460.2 1161381	brain	1152
GSE199460.2	GSE199460.2 small samples	brain	1152
