"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"Dissection Angular gyrus AnG seurat / Dissection Anterior cingulate cortex ACC seurat"	1.06104416190956	0.0114833288367257	Inf	1	5.47494212703653	8.15808104093207e-06
"Dissection Angular gyrus AnG seurat / Dissection Dorsolateral prefrontal cortex DFC seurat"	4.45069303619917	0.0607579300483598	Inf	1	109.370924082613	0
"Dissection Angular gyrus AnG seurat / Dissection Primary auditory cortexA1 seurat"	1.00964596513633	0.0109353429914211	Inf	1	0.886331466576401	0.999997748685252
"Dissection Angular gyrus AnG seurat / Dissection Primary somatosensory cortex S1 seurat"	1.00504158367782	0.010881821790151	Inf	1	0.464469208786388	0.999999999972642
"Dissection Angular gyrus AnG seurat / Dissection Primary visual cortexV1 seurat"	1.0467495798299	0.0113332109060702	Inf	1	4.21996028596694	0.00396388824942662
"Dissection Angular gyrus AnG seurat / (Human Multiple Cortical Areas SMART-seq seurat)"	1.9854504991551	0.0214580988106573	Inf	1	63.4591618575018	0
"Dissection Angular gyrus AnG seurat / whole cortex seurat"	1.16685435550516	0.0125806898001874	Inf	1	14.3123389063171	0
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.11483470444904	0.0153973992936526	Inf	1	7.87076977863605	9.57789403344123e-13
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.01451284231203	0.0109857599433421	Inf	1	1.33059960284385	0.998955084457542
"Dissection Angular gyrus AnG seurat / Dissection Angular gyrus AnG scvi"	0.966531911078306	0.0107198186015952	Inf	1	-3.06923829103069	0.195855450161464
"Dissection Angular gyrus AnG seurat / Dissection Anterior cingulate cortex ACC scvi"	1.14864240209972	0.0127770059081548	Inf	1	12.4582940719503	0
"Dissection Angular gyrus AnG seurat / Dissection Dorsolateral prefrontal cortex DFC scvi"	2.83250066116011	0.0386963241252626	Inf	1	76.211017606363	0
"Dissection Angular gyrus AnG seurat / Dissection Primary auditory cortexA1 scvi"	0.98287691676351	0.010956326851099	Inf	1	-1.54939146040354	0.992768151730598
"Dissection Angular gyrus AnG seurat / Dissection Primary somatosensory cortex S1 scvi"	0.927038073332186	0.0103635615136327	Inf	1	-6.77691739025045	2.32987307224874e-09
"Dissection Angular gyrus AnG seurat / Dissection Primary visual cortexV1 scvi"	1.29619558048227	0.0144388447593527	Inf	1	23.2897131575746	0
"Dissection Angular gyrus AnG seurat / (Human Multiple Cortical Areas SMART-seq scvi)"	2.61022858052382	0.0283705618203291	Inf	1	88.2729067140945	0
"Dissection Angular gyrus AnG seurat / whole cortex scvi"	0.84663570288222	0.00950113534092225	Inf	1	-14.8352753041999	0
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.987886638292787	0.0136443745136359	Inf	1	-0.882392731340738	0.999997907351389
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.913494167767478	0.0102431215025045	Inf	1	-8.06896492254849	3.9013237085328e-13
"Dissection Anterior cingulate cortex ACC seurat / Dissection Dorsolateral prefrontal cortex DFC seurat"	4.19463505476459	0.0567797338826851	Inf	1	105.92325690508	0
"Dissection Anterior cingulate cortex ACC seurat / Dissection Primary auditory cortexA1 seurat"	0.951558852479121	0.0102991224223641	Inf	1	-4.58761976710729	0.00077865647163855
"Dissection Anterior cingulate cortex ACC seurat / Dissection Primary somatosensory cortex S1 seurat"	0.947219371028864	0.0102491741180601	Inf	1	-5.01138501808572	9.82202595234405e-05
"Dissection Anterior cingulate cortex ACC seurat / Dissection Primary visual cortexV1 seurat"	0.98652781609586	0.0106735585770234	Inf	1	-1.25366096390974	0.999540250879287
"Dissection Anterior cingulate cortex ACC seurat / (Human Multiple Cortical Areas SMART-seq seurat)"	1.87122324445184	0.0201929089793413	Inf	1	58.0646496789889	0
"Dissection Anterior cingulate cortex ACC seurat / whole cortex seurat"	1.09972270466591	0.0118459057254039	Inf	1	8.82477969687862	1.52322598978571e-13
"Dissection Anterior cingulate cortex ACC seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.05069585646903	0.0143949623445885	Inf	1	3.60957598100751	0.0402053603401027
"Dissection Anterior cingulate cortex ACC seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat)"	0.956145727701109	0.0103470399664156	Inf	1	-4.14401611708443	0.00543390465593419
"Dissection Anterior cingulate cortex ACC seurat / Dissection Angular gyrus AnG scvi"	0.91092524305382	0.0100901519506814	Inf	1	-8.42249609025643	2.08166817117217e-13
"Dissection Anterior cingulate cortex ACC seurat / Dissection Anterior cingulate cortex ACC scvi"	1.08255852426774	0.0120212451272257	Inf	1	7.14371786483381	1.72627800942848e-10
