label	key	method	cutoff	reference	subsample_ref	f1_score_mean	f1_score_std	n_queries	precision_mean	precision_std	recall_mean	recall_std
Astrocyte	class	scvi_knn	0.0	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	50.0	0.9043816677210289	0.1879625857036946	1536	0.9211287603515775	0.15515728935810574	0.9102401706104782	0.19491935533658888
Astrocyte	class	scvi_knn	0.0	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	100.0	0.8548409770700095	0.20163386974972453	1536	0.8259395712237375	0.20068738859995622	0.9221284680178353	0.19032385159124232
Astrocyte	class	scvi_knn	0.0	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	500.0	0.8733792901579549	0.19737890334335192	1536	0.8579896921486188	0.1894866669142025	0.9198963251606923	0.19023511984351918
Astrocyte	class	scvi_knn	0.0	Single-cell RNA-seq for all cortical  hippocampal regions 10x	50.0	0.8869724909572497	0.18261441937247758	1536	0.9411493890485487	0.14012410675301742	0.8609561873052343	0.19886157465779614
Astrocyte	class	scvi_knn	0.0	Single-cell RNA-seq for all cortical  hippocampal regions 10x	100.0	0.8974563844296831	0.1819995545332015	1536	0.9232280467224445	0.1505957182939878	0.8988196731351724	0.19435719879178054
Astrocyte	class	scvi_knn	0.0	Single-cell RNA-seq for all cortical  hippocampal regions 10x	500.0	0.912772914258218	0.180939086683526	1536	0.9399556783549854	0.13798409526051303	0.9098058224025717	0.1946188123795273
Astrocyte	class	scvi_knn	0.0	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	50.0	0.7364579922200473	0.24946328359240114	1536	0.9968703427719822	0.01702411917434257	0.6375969292414242	0.27681751833849616
Astrocyte	class	scvi_knn	0.0	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	100.0	0.8124964232140645	0.20676318937194818	1536	0.997293029551094	0.01488479273669131	0.725733621088449	0.23579157189411282
Astrocyte	class	scvi_knn	0.0	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	500.0	0.8391941541205442	0.19314811524316505	1536	0.9974152191894128	0.01417388973388596	0.7602522988975678	0.2205693339287709
Astrocyte	class	scvi_knn	0.0	whole cortex	50.0	0.8965433616725242	0.18150029734295445	1536	0.9294816810296687	0.14758559183084574	0.8907393589221666	0.1952618556542629
Astrocyte	class	scvi_knn	0.0	whole cortex	100.0	0.904650868737821	0.18229172313376218	1536	0.9237585899147892	0.1505647895259733	0.9100786398628892	0.19058391730339624
Astrocyte	class	scvi_knn	0.0	whole cortex	500.0	0.909807601569502	0.1813916378983895	1536	0.933431128964079	0.14582664868458076	0.909981890636883	0.1903391129487921
Astrocyte	class	scvi_knn	0.05	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	50.0	0.9043816677210289	0.18796258570369448	1536	0.9211287603515775	0.1551572893581057	0.9102401706104782	0.19491935533658888
