study	assay	suspension_type
GSE124952	single-cell RNA sequencing assay	cell
GSE152715.1	single-cell RNA sequencing assay	cell
GSE152715.2	single-cell RNA sequencing assay	cell
GSE164507	single-nucleus RNA sequencing assay	nucleus
GSE181021.1	single-cell RNA sequencing assay	cell
GSE181021.2	single-cell RNA sequencing assay	cell
GSE185454	single-nucleus RNA sequencing assay	nucleus
GSE199460.1	single-cell RNA sequencing assay	cell
GSE199460.2	single-cell RNA sequencing assay	cell
GSE214244.1	single-nucleus RNA sequencing assay	nucleus
GSE214244.2	single-nucleus RNA sequencing assay	nucleus
GSE231868	single-cell RNA sequencing assay	cell
GSE247339.1	single-cell RNA sequencing assay	cell
GSE247339.2	single-cell RNA sequencing assay	cell
