"method"	"cutoff"	"fit"	"se"	"lower"	"upper"
"seurat"	0	0.915294503145081	0.0216699576819945	0.862028957130015	0.949207837511593
"scvi"	0	0.942070631785802	0.0152538004450584	0.903873343066021	0.965666234291415
"seurat"	0.05	0.912533326469573	0.0223081639887471	0.857803235473259	0.947487899660873
"scvi"	0.05	0.930727376582173	0.0180204296235915	0.885957932769502	0.95874018794253
"seurat"	0.1	0.909691023381231	0.0229608429225714	0.853469515005878	0.94571328772554
"scvi"	0.1	0.917357825417926	0.0211889644363064	0.865201085225725	0.95048878443165
"seurat"	0.15	0.906765794063575	0.0236280325547256	0.849026372548182	0.94388249945914
"scvi"	0.15	0.901680540333013	0.0247772218519379	0.841342327137823	0.9406895074605
"seurat"	0.2	0.903755837284933	0.0243097488546047	0.844472450998859	0.941994007137166
"scvi"	0.2	0.883407245454781	0.0287863862277661	0.814167125037453	0.929095684157531
"seurat"	0.25	0.900659353359128	0.025005984171963	0.83980646531815	0.940046258253618
"scvi"	0.25	0.862256557822809	0.0331939748683711	0.783534226008885	0.915439555242162
"seurat"	0.5	0.883816559590511	0.0287028272106802	0.814756424345091	0.929362702729792
"scvi"	0.5	0.706711190453974	0.0579322228669313	0.582160198076619	0.806477305406935
"seurat"	0.75	0.864547604771721	0.0327451398233245	0.786764464603155	0.916952327243811
"scvi"	0.75	0.481200991779018	0.0697933666707663	0.349058185556762	0.61602701964078
